annee;prix_elec;prix_gaz;prix_fioul;prix_urbain;prix_autres;CCE
2009;0.09407;0.0330053;0.061785634;0.0614;0.045263158;0
2010;0.09847;0.038671967;0.076392929;0.0591;0.050947368;0
2011;0.102122;0.044338633;0.094663573;0.0682;0.052631579;0
2012;0.105774;0.0500053;0.101142361;0.0706;0.054736842;0
2013;0.109426;0.0500053;0.097246111;0.0702;0.057684211;0
2014;0.113078;0.0475053;0.09136656;0.0794;0.060842105;7
2015;0.11873;0.0455053;0.06681;0.0803528;0.06;14.5
2016;0.12003603;0.04795472;0.070872177;0.080804157;0.06072;22
2017;0.121356426;0.048722928;0.072986163;0.082053883;0.06144864;30.5
2018;0.122691347;0.049510404;0.075196127;0.082917881;0.062186024;37.3475888
2019;0.124040952;0.050317636;0.077506426;0.083790977;0.062932256;45.73253735
2020;0.125405402;0.051145128;0.079921616;0.084673267;0.063687443;56
2021;0.126784862;0.051993396;0.082446459;0.085564847;0.064451692;59.34296265
2022;0.128179495;0.052862969;0.085085934;0.086465815;0.065225113;62.885486
2023;0.12958947;0.05375439;0.087845244;0.08737627;0.066007814;66.63948297
2024;0.131014954;0.054668214;0.09072983;0.087994389;0.066799908;70.61757766
2025;0.132456118;0.055605012;0.093745381;0.088616882;0.067601507;74.83314774
2026;0.133913136;0.05656537;0.096897841;0.089243778;0.068412725;79.30036948
2027;0.13538618;0.057549888;0.100193428;0.089875109;0.069233677;84.03426543
2028;0.136875428;0.058559182;0.103638639;0.090510906;0.070064482;89.0507549
2029;0.138381058;0.059593883;0.107240267;0.0911512;0.070905255;94.36670753
2030;0.139903249;0.060654638;0.111005414;0.091796025;0.071756118;100
2031;0.141442185;0.061097092;0.111871223;0.092445411;0.072617192;100
2032;0.142998049;0.06154395;0.112745678;0.093099391;0.073488598;100
2033;0.144571028;0.061995258;0.113628866;0.093757997;0.074370461;100
2034;0.146161309;0.062451058;0.114520874;0.094421263;0.075262907;100
2035;0.147769083;0.062911397;0.115421791;0.09508922;0.076166062;100
2036;0.149394543;0.06337632;0.116331705;0.095264744;0.077080054;100
2037;0.151037883;0.063845871;0.117250706;0.095440593;0.078005015;100
2038;0.1526993;0.064320097;0.118178885;0.095616765;0.078941075;100
2039;0.154378992;0.064799045;0.119116333;0.095793263;0.079888368;100
2040;0.156077161;0.065282761;0.120063144;0.095970087;0.080847029;100
2041;0.15779401;0.065771294;0.120500462;0.096147237;0.081817193;100
2042;0.159529744;0.065972831;0.120939778;0.096324714;0.082798999;100
2043;0.161284571;0.066175335;0.1213811;0.096502519;0.083792587;100
2044;0.163058702;0.066378813;0.121824438;0.096680652;0.084798098;100
2045;0.164852347;0.066583271;0.122269801;0.096859114;0.085815676;100
2046;0.166665723;0.066788713;0.122717197;0.097037905;0.086845464;100
2047;0.168499046;0.066995148;0.123166637;0.097217026;0.087887609;100
2048;0.170352536;0.06720258;0.12361813;0.097396478;0.088942261;100
2049;0.172226414;0.067411016;0.124071685;0.097576261;0.090009568;100
2050;0.174120904;0.067620462;0.124527311;0.097756376;0.091089682;100
2051;0.174120904;0.067620462;0.124527311;0.097756376;0.091089682;100
2052;0.174120904;0.067620462;0.124527311;0.097756376;0.091089682;100
2053;0.174120904;0.067620462;0.124527311;0.097756376;0.091089682;100
2054;0.174120904;0.067620462;0.124527311;0.097756376;0.091089682;100
2055;0.174120904;0.067620462;0.124527311;0.097756376;0.091089682;100
2056;0.174120904;0.067620462;0.124527311;0.097756376;0.091089682;100
2057;0.174120904;0.067620462;0.124527311;0.097756376;0.091089682;100
2058;0.174120904;0.067620462;0.124527311;0.097756376;0.091089682;100
2059;0.174120904;0.067620462;0.124527311;0.097756376;0.091089682;100
2060;0.174120904;0.067620462;0.124527311;0.097756376;0.091089682;100
2061;0.174120904;0.067620462;0.124527311;0.097756376;0.091089682;100
2062;0.174120904;0.067620462;0.124527311;0.097756376;0.091089682;100
2063;0.174120904;0.067620462;0.124527311;0.097756376;0.091089682;100
2064;0.174120904;0.067620462;0.124527311;0.097756376;0.091089682;100
2065;0.174120904;0.067620462;0.124527311;0.097756376;0.091089682;100
2066;0.174120904;0.067620462;0.124527311;0.097756376;0.091089682;100
2067;0.174120904;0.067620462;0.124527311;0.097756376;0.091089682;100
2068;0.174120904;0.067620462;0.124527311;0.097756376;0.091089682;100
2069;0.174120904;0.067620462;0.124527311;0.097756376;0.091089682;100
2070;0.174120904;0.067620462;0.124527311;0.097756376;0.091089682;100
