"scenario";"Geste";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026";"2027";"2028";"2029";"2030";"2031";"2032";"2033";"2034";"2035";"2036";"2037";"2038";"2039";"2040";"2041";"2042";"2043";"2044";"2045";"2046";"2047";"2048";"2049";"2050"
"S4 AMS1 GJ";"ENSBBC";189.96961347633;119.53096370352;66.86295260702;57.08650500427;54.69502795336;62.205686263514;184.54983629549;209.493966050902;222.3963725052;135.475167119212;109.894238150136;104.314969264675;117.722973569542;122.452391204698;133.059446086464;139.641037945163;101.650541188332;137.672905390575;153.023996004387;162.725219169342;181.942987958911;220.330648073361;248.744941057414;306.951486492287;410.060989788988;455.858345779384;409.790842207553;410.211943993961;440.111835118165;463.755931150852;829.916987808895;663.467941681239;639.262741110642;518.740194043345;502.383692268814;533.644933737752;1084.32609619106;1071.62777808497;1102.75221548039;1089.86375151669;1025.07500847773
"S4 AMS1 GJ";"FEN_MURBBC";56.07919351453;62.87066062192;70.73371314285;68.56150238035;65.4207366706;66.5033328227608;586.86192038814;574.709886280236;628.732126606317;592.493480731004;558.480659535322;631.785511992428;605.030033577474;575.165108700252;544.831048334505;511.74400440827;484.842501146732;463.040343959343;439.27113557825;427.669877203338;400.827201502181;408.214130529156;407.37955880297;380.251192826579;339.371213537797;339.965587738347;336.282660900025;336.772883467166;358.50644453983;371.991929116879;417.319362770631;418.852463751845;408.090797722339;401.477949203888;404.247757542718;421.901157199223;672.219269292756;700.178588160239;757.687673197995;843.090553969062;993.276023204745
"S4 AMS1 GJ";"FENBBC";10.32326617939;10.87095300528;10.96693339061;11.51026417118;11.359566631;13.13697770747;14.976065247939;14.79896789048;15.230768695892;14.969129429754;14.8517672207;14.97530100587;14.67006271808;14.9178390932;15.24332052292;15.14848219702;15.26712533296;15.52827634992;15.67493082201;16.106319590136;17.71054189032;18.06456361982;18.46532079865;18.749001114579;19.40084330438;20.26658313368;20.940731589661;21.19418560736;21.86912081012;22.391908551848;23.26815019383;23.62562211228;24.11322295616;23.07609984245;21.95969341804;21.60135957826;22.27357206047;23.77875399622;24.375320600361;24.65759646751;24.233739752265
"S4 AMS1 GJ";"ENSMOD";170.6652038658;104.01975202597;95.60396337943;89.76716649828;87.49731522843;96.83308583912;375.42871558149;367.981819754864;399.684948648847;434.655045774189;432.743287761172;757.961605108553;740.622912891628;740.302368668451;731.158589452724;736.202288129133;733.671088529907;735.19543242566;730.988647134172;730.626061223149;724.07676813177;728.60973779117;738.813235823075;731.132011538213;726.179072303062;715.81147185718;714.415662335556;711.608470520982;712.344738596244;712.360042160353;736.213858983157;732.597912661505;702.645478350759;603.790141825744;584.446565474869;567.758027641066;625.481733184116;589.802174611493;567.265449476438;554.149852004019;561.233537538352
"S4 AMS1 GJ";"FEN_MURMOD";19.315082324685;20.6322416434;23.75429897925;21.44833662791;23.25119902144;27.6562107513;59.5491890569;62.48779645003;90.77020570092;82.43890724326;88.189265598475;88.554656669304;91.957568794982;90.76510046349;95.54895659111;102.02496296949;104.43046613821;107.57558349386;110.47114884283;127.69147106117;115.22696263744;121.10319878685;125.333098956694;131.57837128925;135.987059420321;136.52909670266;153.83856001807;167.64185905799;161.97054068109;147.78473853333;155.930696174868;150.311262565453;140.102187217826;139.783219222899;127.744720360388;131.215972331119;146.689322122069;145.396479911046;150.678330809085;147.835703171279;153.35951077948
"S4 AMS1 GJ";"FENMOD";9.92334984559;10.6301090053;11.41857167205;11.53995983766;11.44248939023;12.08552595959;15.95677984879;16.27803053124;19.8176688322;20.30090834743;19.78404597251;19.35651708749;20.85946788218;21.0043164857;21.24151884848;21.331866102784;21.007418043982;21.417303997456;21.34377064616;21.73114171457;23.5097357558812;24.1845671392052;24.3321241721494;24.9518164658956;25.840385693192;26.345307287744;27.793611168835;28.8663815069206;29.6722699050586;31.2105025573252;33.050439612281;33.718472453396;32.945163702475;28.52789565126;25.76989835916;24.1118130339039;23.38655469206;22.72905517039;22.332876240026;22.026429916189;22.54180540722
"S4 AMS1 GJ";"GTB";67.711374020288;70.516879022111;67.910897790889;69.542413840689;73.752926111634;78.758456984764;75.786052869191;77.945068924847;79.188723307252;106.046615469554;106.434105463321;107.182987799501;108.983995459414;108.400044747132;111.581536421502;114.751002734942;119.331612254124;122.461612289271;120.507026033964;106.756912219963;110.41716967436;115.862687315418;123.962993896749;133.028329430364;133.648375702196;136.932781386959;146.754037242893;146.365997571344;149.725193889914;154.676278686226;165.602030983923;172.191219098948;170.266004251544;126.222817667772;121.250209583155;117.798808691957;114.982742852402;113.579854228153;110.914934938292;104.430272623812;101.382563339368
