"scenario";"Type_Inv";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026";"2027";"2028";"2029";"2030";"2031";"2032";"2033";"2034";"2035";"2036";"2037";"2038";"2039";"2040";"2041";"2042";"2043";"2044";"2045";"2046";"2047";"2048";"2049";"2050"
"S7 AMS1 Dec0";"Changement de système seul";0.69545565125546;0.725510096571474;0.747229832449664;0.743670905410332;0.736954114077523;0.737664007354634;0.712391116148078;0.715076927340688;0.736257681797894;0.723775005869352;0.734409425337452;0.718007513659619;0.736570725498245;0.742461001906353;0.753803807281873;0.760725061639897;0.785506006912636;0.824729913041847;0.829178726350695;0.872810306602581;0.925913042231489;0.943220894258781;0.954028140434341;0.970068961427623;0.986680225012324;0.998610187357993;1.00942628022289;1.01675395537447;1.02049309383717;1.0284291576454;1.02710659578075;1.02303713079647;1.02215571061278;1.40180140164976;1.40599065250064;1.42180821394277;1.43213662802544;1.45051752671712;1.4543373178281;1.32349284483734;1.34118556153471
"S7 AMS1 Dec0";"Geste sur le bâti";0.522139325316613;0.398539158380101;0.347213424175599;0.329433500244839;0.326935599919383;0.356319257608618;0.976015420386704;0.995662101126785;1.14826485266873;1.04667169639596;1.03490067239204;1.33348139568503;1.32295192548273;1.3021712772495;1.32624908239144;1.36434214934491;1.3708161630424;1.43128141025163;1.49530676307042;1.51813120224119;1.57231697421905;1.54960675573667;1.62491782479723;1.615094993608;1.66039904362492;1.6656303333457;1.61144528442102;1.59223633759294;1.59735533379454;1.64078347957215;2.10307026022221;1.92390765825676;1.86331149267779;1.76367815060275;1.69916427266253;1.72104128824711;2.60177535616571;2.6275207501287;2.7284870277832;2.81496037326992;2.90398293688285
"S7 AMS1 Dec0";"Geste sur le bâti et Changement de système";0.00184775791;0.0005324006474;3.79067865e-05;2.26481155e-05;1.24169736e-05;0.0005601930931783;0.33821534771901;0.327923500126352;0.306738969579874;0.364591252890111;0.353752431987062;0.472921314687614;0.482697200602775;0.487730563658855;0.48350651667662;0.46881285927254;0.451376788010558;0.444542823920003;0.442965686615653;0.440224892424371;0.460121656361539;0.463990671598148;0.452907405550148;0.443442987405521;0.424265727958702;0.42247548764638;0.419918553456939;0.414006086397377;0.426972290831345;0.420866287800959;0.4251384799551;0.423155521860784;0.453961357046131;0.062614436436114;0.0555199159432704;0.0522366792723265;0.0805371378545307;0.081396008498343;0.0819884849716133;0.0645643932086027;0.0643779151164227
