"scenario";"SYSTEME_CHAUD";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026";"2027";"2028";"2029";"2030";"2031";"2032";"2033";"2034";"2035";"2036";"2037";"2038";"2039";"2040";"2041";"2042";"2043";"2044";"2045";"2046";"2047";"2048";"2049";"2050"
"S2 AME new";"nr";23.2266706348;23.186414633;23.1461740894;23.1060405254;23.0659387148;23.0259868645;29.3300371978;28.907515593;30.7631070564;30.3635994737;30.0096142425;34.8111016553;34.2211083048;33.6295843432;33.0775655735;32.5375925901;32.0052000611;31.4680390552;30.9248215977;30.3119669777;30.15688904523;29.7527757693;29.3500560779;29.24004825782;29.351926012;28.95211675672;28.37993110534;28.28730665667;28.08712914735;27.431500837;27.02849117812;26.50144736892;25.95179116812;32.39472870305;32.2334566239;32.387328122;32.426763735495;32.272895563215;32.262178699095;33.120308038393;33.076541458246
"S2 AME new";"Autre système centralisé performant";0.006679904;0.750498407;1.40402704;3.64780635;7.34448135508;6.90921712671;4.5036820451;4.7656591866;2.741169792;3.827091444;3.9702100222;8.29083093202;10.02846790669;11.41267921776;12.10609085379;14.3219065006;15.8908507699;19.84334134;23.8006415755;29.5338861739;33.801197689782;40.443097643383;49.13068634698;52.827126958306;57.462704032233;59.45823223026;66.780461060534;74.61720122301;78.71467631565;82.1452043475;85.1832723687;87.89280248708;87.2246562729;68.7990070086;66.61427170615;60.75429844191;59.62576038276;61.19361667467;59.9481865786;50.0783430275;47.7217229643
"S2 AME new";"Autre système centralisé";76.7688819672;92.5826724347;104.0259527205;99.448618024;91.191458447;102.060067507;110.8908261564;117.751009075789;65.4451824181;70.79222146947;81.912404074654;181.51524632732;181.553714496085;170.413795128686;171.430161729306;171.186064123199;167.47087714906;162.639464725502;178.631444256096;168.787121647457;167.043786316435;164.118629792151;160.701899117417;159.715277473096;155.14664597049;150.5319874327;145.771279817422;145.6066839629;143.0360482157;143.00528450816;146.08424882711;145.54209665724;143.11846425286;176.129202276406;175.702964346933;177.75458053257;174.37234861297;170.416660834132;167.06696436772;133.41599564493;133.26475848137
"S2 AME new";"DRV performant";2.29697381;4.530563373;4.188850134;4.10491381;3.912772259;3.347423299;3.566503321083;3.547130980963;3.850674111635;3.71020330985;3.483496119276;3.32545109535;3.092865408761;3.053244961575;2.924565480182;2.867192787759;3.05950910477;3.211045382974;3.38996563423;3.83928084716;4.61933394433;5.95560557544;5.963246882248;7.896394478403;8.396341959106;8.595493863407;8.37828616926;8.247642762612;7.83510628317;7.445679092525;7.3585507105;7.609849023575;7.09397589578;8.427667037;9.194503988;8.70606216601;8.5678883556;8.24653817967;8.02264585474;7.61347657654;7.42139591212
"S2 AME new";"DRV";NA;NA;0.00276736981;0.01730422;NA;NA;0.02085599;0.045912;0.06968577;0.231349332;0.4947749312;0.5323373348;0.7180870465;0.7530047969;0.9784861834;1.2021579065;1.3124889274;1.5918613701;1.6879609131;1.9345275589;2.97087864924;4.0472716527;5.1181485452;6.4503598829;6.416457169;6.5586069915;6.32666430403;5.98182379521;5.74595781833;5.35298132138;5.17896896375;4.88784187477;4.17122899522;5.5288111654;5.4940929609;5.2195002591;4.9880049631;4.7290922901;4.5872037407;4.1250053769;3.836452963
"S2 AME new";"Cassette rayonnante performant";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0159409115;0.0583818051;0.0597073267;0.06085174;0.065672252;0.081996093;0.180453984;0.23561453;0.2669080043;0.2656509598;0.2924385972;0.291499258811;0.291835228;0.28191618;0.276496305;0.270783873;0.257354915;0.2355496668;0.2155213528;0.1960997629;0.630299588;0.413645905;0.336413155;0.3632242104;0.3770580113;0.4061172629;0.409862339;0.446475626;0.481470474;0.56752487;0.5673695431
"S2 AME new";"Cassette rayonnante";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0138559183;0.0065704889;0.005372307;0.0029561344;0.001945639;0.0010761175;0.0058803613;0.0378264043;0.0517972596;0.0792229794;0.0797209151;0.087498214;0.0935575779;0.0974716975;0.0989564407;0.4578235052;0.2353627133;0.2054829085;0.1829436741;0.175427311;0.182548063;0.209212447;0.23389497;0.2566522;0.295225745;0.2697820015
"S2 AME new";"Tube radiant performant";10.792079419;10.351268991;10.108924702;9.855976891;9.850914815;10.176065911;14.500192985;13.999619049;12.811787462;11.654553066;11.041375568;14.878960015;14.335311063;13.50221247;12.426575745;11.828921427;11.172444836;10.015467019;7.953738895;7.66779642;6.770480184633;6.562062874528;6.518932663943;6.457146826025;6.331002335428;6.51208863146;6.5491886994;6.427159542;6.30240155205;6.0742270402;6.57552415151;6.1217882228;5.9464968968;8.57512979032;8.7568966828;8.7767952601;8.8995110615;9.0768250884;9.50897058263;7.83924666189;10.2739035235
"S2 AME new";"Tube radiant";1.8173014457;1.5876100876;1.0004264122;1.3893101901;1.663489161;1.6853172671;1.4922033358;1.4360987198;1.4160869163;1.3947006616;1.3187151181;1.5238653231;1.5476349377;1.5321587353;1.5144163286;1.4925408696;1.4395842988;1.4091189955;1.356818185;1.293447808;1.220762126;1.2579614848;1.2473743134;1.2186877432;1.2164754985;1.1821030205;1.1697995952;1.144563419;1.1558581571;1.3282264415;1.9344410154;1.6767278519;1.4702820889;2.2852590233;2.2599905336;2.2214847776;2.3033158659;2.3271600817;2.1411713601;4.133067354;2.078454317
"S2 AME new";"Rooftop performant";11.82045346405;10.49540659575;9.92938295196;10.08363007569;10.64038683077;11.23323287146;20.14300759403;20.30471644224;20.85425279606;21.30944884925;24.09063133253;28.32240227879;29.40967901989;30.4711685694;30.831229037906;33.270397047086;36.245164338524;38.011888079763;40.859080756611;42.32754152659;46.882905927548;50.972001230879;56.456853858197;60.372595224915;63.25839975783;61.271961099;59.710828391603;56.847233164058;55.624586140322;53.70927151895;53.733088562079;52.79696736673;48.63752004569;43.86984644371;39.50039741504;37.88385330227;37.609376934676;38.281947245479;38.376170324468;32.734898375973;32.341094731851
