"PERIODE_SIMPLE";"PM_PERIODE";"SurfaceMm2"
"1981-1998";0.262337461123393;234.876674712095
"1999-2008";0.169080159071228;151.381298547228
"Av 1980";0.568582379805378;509.064691320471
