"BRANCHE";"SurfaceMm2";"PM_BRANCHE"
"Santé Action Sociale";103.999913913653;0.116159143544595
"Habitat Communautaire";58.7903733007735;0.0656638948466315
"Commerce";200.599539795828;0.224052788711628
"Sport Loisir Culture";69.431418467026;0.07754904596279
"Bureaux Administration";196.952652463697;0.21997952275243
"Café Hôtel Restaurant";61.160231161312;0.0683108264549705
"Enseignement Recherche";179.320550879202;0.200285950499604
"Transport";25.067984598301;0.0279988272273508
