Libellé;;Emplois salariés trimestriels - Industrie - Sections B, C, D et E - CVS;Codes;Emplois salariés trimestriels - Construction - Section F - CVS;Codes;Emplois salariés trimestriels - Tertiaire marchand - Sections G, H, I, J, K, L, M, N, R, S, T - CVS;Codes;Emplois salariés trimestriels - Industries extractives, énergie, eau, gestion des déchets et dépollution - A17 : DE - CVS;Codes;Emplois salariés trimestriels - Fabrication de denrées alimentaires, de boissons et de produits à base de tabac - A17 : C1 - CVS;Codes;Emplois salariés trimestriels - Cokéfaction et raffinage - A17 : C2 - CVS;Codes;Emplois salariés trimestriels - Fabrication d'équipements électriques, électroniques, informatiques, fabrication de machines - A17 : C3 - CVS;Codes;Emplois salariés trimestriels - Fabrication de matériels de transport - A17 : C4 - CVS;Codes;Emplois salariés trimestriels - Fabrication d'autres produits industriels - A17 : C5 - CVS;Codes;Emplois salariés trimestriels - Construction - A17 : FZ - CVS;Codes;
IdBank;;001577235;;001577236;;001577237;;001577241;;001577242;;001577243;;001577244;;001577245;;001577246;;001577247;;
Année;Trimestre;
2014;T4;3 202,4;A;1 376,4;A;11 591,6;A;378,1;A;562,5;A;9,7;A;435,8;A;353,2;A;1 463,1;A;1 376,4;A;
2014;T3;3 210,7;A;1 391,5;A;11 561,3;A;376,4;A;561,9;A;9,8;A;437,9;A;354,8;A;1 469,9;A;1 391,5;A;
2014;T2;3 221,7;A;1 406,1;A;11 574,9;A;376,5;A;561,7;A;9,9;A;440,9;A;356,6;A;1 476,1;A;1 406,1;A;
2014;T1;3 231,5;A;1 417,3;A;11 551,1;A;376,6;A;561,3;A;9,9;A;442,6;A;359,7;A;1 481,3;A;1 417,3;A;
2013;T4;3 236,0;A;1 423,8;A;11 550,5;A;376,5;A;561,2;A;9,9;A;441,4;A;361,8;A;1 485,2;A;1 423,8;A;
2013;T3;3 241,1;A;1 430,1;A;11 528,8;A;376,6;A;560,5;A;10,0;A;442,2;A;362,1;A;1 489,7;A;1 430,1;A;
2013;T2;3 249,1;A;1 435,3;A;11 488,0;A;376,8;A;558,3;A;10,1;A;443,4;A;364,2;A;1 496,4;A;1 435,3;A;
2013;T1;3 265,4;A;1 440,2;A;11 513,1;A;376,5;A;561,6;A;10,5;A;446,0;A;365,3;A;1 505,6;A;1 440,2;A;
2012;T4;3 274,0;A;1 451,5;A;11 511,5;A;376,0;A;561,7;A;10,4;A;447,7;A;366,0;A;1 512,3;A;1 451,5;A;
2012;T3;3 281,8;A;1 458,1;A;11 540,5;A;375,0;A;563,6;A;10,6;A;449,0;A;366,5;A;1 517,1;A;1 458,1;A;
2012;T2;3 284,1;A;1 463,5;A;11 569,6;A;373,6;A;563,7;A;10,6;A;449,5;A;365,9;A;1 520,9;A;1 463,5;A;
2012;T1;3 288,7;A;1 469,9;A;11 574,6;A;371,6;A;563,8;A;10,7;A;449,7;A;366,6;A;1 526,3;A;1 469,9;A;
