usage;energie;Conso;scenario;Conso_cum
Autres usages;Autres;0,4903194390724;AMS2;0,4903194390724
Autres usages;Electricité;56,894240116403;AMS2;57,3845595554754
Autres usages;Fioul;0;AMS2;57,3845595554754
Autres usages;Gaz;1,0245015203148;AMS2;58,4090610757902
Autres usages;Urbain;0;AMS2;58,4090610757902
Cuisson;Autres;0,2590004152361;AMS2;0,2590004152361
Cuisson;Electricité;12,4604688265881;AMS2;12,7194692418242
Cuisson;Fioul;0;AMS2;12,7194692418242
Cuisson;Gaz;1,4389085055322;AMS2;14,1583777473564
Cuisson;Urbain;0;AMS2;14,1583777473564
ECS;Autres;3,6985997008178;AMS2;3,6985997008178
ECS;Electricité;4,3449212918341;AMS2;8,0435209926519
ECS;Fioul;0,0057266901029;AMS2;8,0492476827548
ECS;Gaz;3,1245588616923;AMS2;11,1738065444471
ECS;Urbain;0,8959262951343;AMS2;12,0697328395814
Chauffage;Autres;4,5026431743287;AMS2;4,5026431743287
Chauffage;Electricité;15,0109676589716;AMS2;19,5136108333003
Chauffage;Fioul;0,0079239730116;AMS2;19,5215348063119
Chauffage;Gaz;2,3263299278698;AMS2;21,8478647341817
Chauffage;Urbain;10,4677035583051;AMS2;32,3155682924868
