BRANCHE;ENERGIE;USAGE;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Café Hôtel Restaurant;Autres comb.;Chauffage;978;1015;1082;1061;1062;1018;1014;1009;974;980;983;981;995;986;994;1024;1025;997;978;986;990
Café Hôtel Restaurant;Autres comb.;Climatisation;19;22;24;24;24;24;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23
Café Hôtel Restaurant;Autres comb.;Cuisson;792;794;800;802;775;741;709;714;704;698;701;702;704;701;707;705;707;700;697;693;695
Café Hôtel Restaurant;Autres comb.;ECS;312;316;320;329;322;325;322;319;314;308;307;306;313;312;314;312;312;306;303;301;304
Café Hôtel Restaurant;Autres comb.;Electricité spécifique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Commerce;Electricité;Autres usages thermiques;1738;1738;1738;1738;1738;1738;1738;1738;1738;1738;1738;1738;1738;1738;1738;1738;1738;1738;1738;1738;1738
Commerce;Electricité;Chauffage;3584;3602;3705;3835;3959;4071;4132;4132;4120;4135;4174;4246;4288;4375;4355;4353;4389;4382;4410;4468;4402
Commerce;Electricité;Climatisation;1971;2043;2212;2311;2480;2604;2735;2928;3005;3166;3352;3531;3672;3850;4077;4213;4342;4503;4666;4763;4897
Commerce;Electricité;Cuisson;629;676;686;696;700;717;722;738;739;734;730;725;725;717;697;694;698;692;685;680;680
Commerce;Electricité;ECS;1349;1362;1367;1371;1384;1427;1454;1479;1505;1520;1535;1551;1577;1585;1567;1574;1591;1593;1599;1602;1611
Commerce;Electricité;Electricité spécifique;12557;12652;12837;12988;13318;13688;14072;14531;14779;14838;15067;15273;15488;15680;15649;15899;16086;16028;15957;16109;15763
Commerce;Fioul;Autres usages thermiques;2056;2056;2056;2056;2056;2056;2056;2056;2056;2056;2056;2056;2056;2056;2056;2056;2056;2056;2056;2056;2056
Commerce;Fioul;Chauffage;6477;6451;7067;7159;7258;7219;7558;7514;7349;6971;6936;6830;6687;6509;6211;6034;5713;5374;5057;4944;4785
