"scenario";"annee";"surface";"surface_lag";"raccordement"
"S0 Nopol";"2009";56476789.6076;0;56476789.6076
"S0 Nopol";"2010";54501911.4817;56476789.6076;-1974878.12590001
"S0 Nopol";"2011";52472724.1478;54501911.4817;-2029187.3339
"S0 Nopol";"2012";50498054.3238;52472724.1478;-1974669.824
"S0 Nopol";"2013";48702004.1649;50498054.3238;-1796050.15889999
"S0 Nopol";"2014";46756170.3889;48702004.1649;-1945833.77600001
"S0 Nopol";"2015";44812826.3675;46756170.3889;-1943344.02139999
"S0 Nopol";"2016";42817207.6601;44812826.3675;-1995618.70740001
"S0 Nopol";"2017";40854074.4001;42817207.6601;-1963133.26
"S0 Nopol";"2018";38922861.58;40854074.4001;-1931212.8201
"S0 Nopol";"2019";37006944.0492;38922861.58;-1915917.53079999
"S0 Nopol";"2020";35114910.2771;37006944.0492;-1892033.77210001
"S0 Nopol";"2021";33160705.231;35114910.2771;-1954205.04609999
"S0 Nopol";"2022";31319018.0235;33160705.231;-1841687.2075
"S0 Nopol";"2023";29511804.6635;31319018.0235;-1807213.36
"S0 Nopol";"2024";27756113.7042;29511804.6635;-1755690.9593
"S0 Nopol";"2025";26098253.4136;27756113.7042;-1657860.2906
"S0 Nopol";"2026";24451726.0936;26098253.4136;-1646527.32
"S0 Nopol";"2027";22891675.6113;24451726.0936;-1560050.4823
"S0 Nopol";"2028";21443348.2801;22891675.6113;-1448327.3312
"S0 Nopol";"2029";20075259.9026;21443348.2801;-1368088.3775
"S0 Nopol";"2030";18700584.8408;20075259.9026;-1374675.0618
"S0 Nopol";"2031";17281593.4615;18700584.8408;-1418991.3793
"S0 Nopol";"2032";15900410.4835;17281593.4615;-1381182.978
"S0 Nopol";"2033";14541808.9857;15900410.4835;-1358601.4978
"S0 Nopol";"2034";13190324.1203;14541808.9857;-1351484.8654
"S0 Nopol";"2035";13376556.9412;13190324.1203;186232.820900001
"S0 Nopol";"2036";13527384.9865;13376556.9412;150828.045299999
"S0 Nopol";"2037";13571291.4302;13527384.9865;43906.4436999988
"S0 Nopol";"2038";13440656.2634;13571291.4302;-130635.1668
"S0 Nopol";"2039";13505663.3774;13440656.2634;65007.1140000001
"S0 Nopol";"2040";13586641.883;13505663.3774;80978.5055999998
"S0 Nopol";"2041";13640751.149;13586641.883;54109.2660000008
"S0 Nopol";"2042";13658788.6636;13640751.149;18037.5145999994
"S0 Nopol";"2043";13643646.2446;13658788.6636;-15142.4189999998
"S0 Nopol";"2044";13632329.2653;13643646.2446;-11316.9792999998
"S0 Nopol";"2045";13611070.078;13632329.2653;-21259.1873000003
"S0 Nopol";"2046";13669366.3342;13611070.078;58296.2562000006
"S0 Nopol";"2047";13641204.4738;13669366.3342;-28161.8604000006
"S0 Nopol";"2048";13591599.155;13641204.4738;-49605.3188000005
"S0 Nopol";"2049";13508234.1968;13591599.155;-83364.9582000002
"S0 Nopol";"2050";13347762.0217;13508234.1968;-160472.175100001
"S1 Prix";"2009";56476789.6076;0;56476789.6076
"S1 Prix";"2010";54501911.4817;56476789.6076;-1974878.1259
"S1 Prix";"2011";52472724.1478;54501911.4817;-2029187.3339
"S1 Prix";"2012";50498054.3238;52472724.1478;-1974669.824
"S1 Prix";"2013";48702004.1649;50498054.3238;-1796050.15889999
"S1 Prix";"2014";46756170.3889;48702004.1649;-1945833.77600001
"S1 Prix";"2015";44812826.3675;46756170.3889;-1943344.02139999
"S1 Prix";"2016";42817207.6601;44812826.3675;-1995618.70740001
"S1 Prix";"2017";40854074.5097;42817207.6601;-1963133.1504
"S1 Prix";"2018";38922862.8315;40854074.5097;-1931211.6782
"S1 Prix";"2019";37011123.4537;38922862.8315;-1911739.3778
"S1 Prix";"2020";35128863.3724;37011123.4537;-1882260.0813
"S1 Prix";"2021";33192358.7042;35128863.3724;-1936504.6682
"S1 Prix";"2022";31387420.9727;33192358.7042;-1804937.7315
"S1 Prix";"2023";29606259.6758;31387420.9727;-1781161.2969
"S1 Prix";"2024";27937491.7041;29606259.6758;-1668767.9717
"S1 Prix";"2025";26337957.3188;27937491.7041;-1599534.3853
"S1 Prix";"2026";24845467.6145;26337957.3188;-1492489.7043
"S1 Prix";"2027";23482465.4138;24845467.6145;-1363002.2007
"S1 Prix";"2028";22251050.9241;23482465.4138;-1231414.4897
"S1 Prix";"2029";21054451.6666;22251050.9241;-1196599.2575
"S1 Prix";"2030";19886041.8014;21054451.6666;-1168409.8652
"S1 Prix";"2031";18712710.5943;19886041.8014;-1173331.2071
"S1 Prix";"2032";17589219.4295;18712710.5943;-1123491.1648
"S1 Prix";"2033";16494174.0152;17589219.4295;-1095045.4143
"S1 Prix";"2034";15421177.4166;16494174.0152;-1072996.5986
"S1 Prix";"2035";15872895.918;15421177.4166;451718.501399999
"S1 Prix";"2036";16309253.9806;15872895.918;436358.0626
"S1 Prix";"2037";16638921.2725;16309253.9806;329667.2919
