ID_AGREG;ID;BESOIN
04118805;0411880508010202;0
01018404;0101840411020102;2056157.597
08326004;0832600417030102;27651008.46
02185404;0218540417030202;0
05225201;0522520109010202;0
07085904;0708590411020202;0
07296105;0729610517030202;0
07084304;0708430411020102;74495.14562
01028302;0102830207010102;422496.2329
07293301;0729330107010202;0
04100202;0410020212020202;0
07299501;0729950117030202;0
07293306;0729330617030102;1462370.482
02262905;0226290511020102;6029748.879
07209101;0720910107010102;9822018.709
06173604;0617360413030202;0
07299503;0729950317030202;0
07299105;0729910517030202;0
07085901;0708590117030102;48073343.27
01024404;0102440417030102;22538541.93
07299106;0729910611020102;194159.2415
03069605;0306960511020102;19304057.51
07298102;0729810211020202;0
07134304;0713430411020202;0
07299101;0729910111020102;16470840.07
07296101;0729610107010202;0
07291601;0729160111020202;0
01024502;0102450211020202;0
02183705;0218370517030202;0
07088004;0708800417030102;494820.0052
07081805;0708180507010202;0
03164105;0316410507010202;0
04100205;0410020512020202;0
01024405;0102440511020102;135820739.2
02195805;0219580507010102;114699.5205
07299503;0729950307010202;0
02182205;0218220507010202;0
04090601;0409060112020202;0
07209105;0720910517030202;0
02047902;0204790207010102;6518.814479
07291605;0729160511020202;0
04100405;0410040508010202;0
01028504;0102850411020202;0
07081804;0708180407010102;63241.41578
01014203;0101420317030102;21430198.07
05215102;0521510216030202;0
01018406;0101840611020202;0
08336002;0833600217030102;14947.78126
01018403;0101840311020202;0
03242605;0324260507010102;7849168.078
01024205;0102420507010102;163045644
03247603;0324760307010102;5887.920779
04104602;0410460208010202;0
02195705;0219570511020102;4162440.027
07086505;0708650511020102;10722168.39
02182005;0218200507010202;0
06050701;0605070112020202;0
01024505;0102450517030202;0
03066405;0306640517030202;0
07134302;0713430207010202;0
06151403;0615140314030202;0
06050705;0605070508010202;0
03247605;0324760507010102;34094983.12
01028504;0102850407010202;0
02186805;0218680511020102;3402228.917
07298103;0729810317030102;1765613.273
07084303;0708430307010102;19886.14783
02046205;0204620507010202;0
04118703;0411870312020102;9585967.581
04100805;0410080503030202;0
02192405;0219240511020102;329158.7474
05225204;0522520409010102;20871327.81
07134301;0713430107010102;2062406.512
08356005;0835600511020102;489584.7512
07086501;0708650107010202;0
04118703;0411870308010102;9695033.516
02197105;0219710507010102;194823.2604
07081804;0708180417030102;1569947.327
07209505;0720950511020202;0
01018403;0101840307010202;0
01024203;0102420311020102;469691.2004
02047904;0204790417030202;0
07296101;0729610111020102;1700834.352
01014402;0101440207010102;1285492.828
01014201;0101420107010202;0
04100405;0410040503030202;0
02185301;0218530117030202;0
07134302;0713430207010102;41620.88831
06173401;0617340101030202;0
06030103;0603010308010202;0
01018403;0101840307010102;261809542
01024201;0102420107010102;325428.6994
04091105;0409110518030202;0
