ID_AGREG;EXIGENCE;GESTE;GAIN;COUT;CEE
0101841703;RT par element;FEN_MURMOD;0.507199384;25.18272;0
0101841703;BBC renovation;ENSBBC;0.944797437;240.9195312;3550.7214
0101841703;RT par element;ENSMOD;0.603808791;35.37806889;0
0101841904;BBC renovation;ENSBBC;0.380351815;159.5413975;459.7158
0101841904;BBC renovation;FENBBC;0.124609553;50.83499308;459.7158
0101841904;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;459.7158
0101842005;BBC renovation;ENSBBC;0.380351815;159.5413975;459.7158
0101842005;BBC renovation;FENBBC;0.124609553;50.83499308;459.7158
0101842005;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;459.7158
0101842106;BBC renovation;ENSBBC;0.380351815;159.5413975;459.7158
0101842106;BBC renovation;FENBBC;0.124609553;50.83499308;459.7158
0101842106;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;459.7158
0101842207;BBC renovation;ENSBBC;0.380351815;159.5413975;459.7158
0101842207;BBC renovation;FENBBC;0.124609553;50.83499308;459.7158
0101842207;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;459.7158
0101842308;BBC renovation;ENSBBC;0.380351815;159.5413975;459.7158
0101842308;BBC renovation;FENBBC;0.124609553;50.83499308;459.7158
0101842308;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;459.7158
0102420701;BBC renovation;FENBBC;0.127609353;102.8571426;375.5357133
0102420701;RT par element;FENMOD;0.082131149;102.8571426;375.5357133
0102420701;BBC renovation;FEN_MURBBC;0.178653094;136.285714;923.5714273
0102420701;RT par element;FEN_MURMOD;0.114983609;102.8571426;375.5357133
0102420701;BBC renovation;ENSBBC;0.844695482;240.9289737;923.5714273
0102420701;RT par element;ENSMOD;0.489291952;102.8571426;375.5357133
0102421102;BBC renovation;FENBBC;0.100264659;102.8571426;375.5357133
0102421102;RT par element;FENMOD;0;0;0
0102421102;BBC renovation;FEN_MURBBC;0.181611458;137.5714283;923.5714273
0102421102;RT par element;FEN_MURMOD;0;0;0
0102421102;BBC renovation;ENSBBC;0.751347641;213.5714283;923.5714273
0102421102;RT par element;ENSMOD;0;0;0
0102421703;BBC renovation;FENBBC;0.134889989;85.7142855;375.5357133
0102421703;RT par element;FENMOD;0.133335526;85.7142855;375.5357133
0102421703;BBC renovation;FEN_MURBBC;0.188845985;119.1428569;923.5714273
0102421703;RT par element;FEN_MURMOD;0.186669737;116.5714283;375.5357133
0102421703;BBC renovation;ENSBBC;0.892888819;206.3160081;2182.946427
0102421703;RT par element;ENSMOD;0.794339307;125.8823877;1634.910713
0102421904;BBC renovation;ENSBBC;0.380351815;159.5413975;923.5714273
0102421904;BBC renovation;FENBBC;0.124609553;50.83499308;375.5357133
0102421904;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;923.5714273
0102422005;BBC renovation;ENSBBC;0.380351815;159.5413975;923.5714273
0102422005;BBC renovation;FENBBC;0.124609553;50.83499308;375.5357133
0102422005;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;923.5714273
0102422106;BBC renovation;ENSBBC;0.380351815;159.5413975;923.5714273
0102422106;BBC renovation;FENBBC;0.124609553;50.83499308;375.5357133
0102422106;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;923.5714273
0102422207;BBC renovation;ENSBBC;0.380351815;159.5413975;923.5714273
0102422207;BBC renovation;FENBBC;0.124609553;50.83499308;375.5357133
0102422207;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;923.5714273
0102422308;BBC renovation;ENSBBC;0.380351815;159.5413975;923.5714273
0102422308;BBC renovation;FENBBC;0.124609553;50.83499308;375.5357133
0102422308;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;923.5714273
0102440701;BBC renovation;FENBBC;0.173464533;45;197.15625
