BRANCHE;SS_BRANCHE;BAT_TYPE;EQ_CLIM;ID_AGREG;PERIODE;RDT;COUT
Commerce;Petit commerce alimentaire;Petit boulangerie;Non climatisé;03236302;2;0;0
Commerce;Petit commerce alimentaire;Petit librairie;Non climatisé;03237302;2;0;0
Commerce;Petit commerce alimentaire;Petit poissonnerie;Non climatisé;03237502;2;0;0
Commerce;Process;Grand librairie;Non climatisé;03242602;2;0;0
Commerce;Process;Grand process;Non climatisé;03242802;2;0;0
Commerce;Process;Petit process;Non climatisé;03247602;2;0;0
Enseignement Recherche;Enseignement primaire;Cantine élémentaire;Non climatisé;04090302;2;0;0
Enseignement Recherche;Enseignement primaire;Cantine préélémentaire;Non climatisé;04090602;2;0;0
Enseignement Recherche;Enseignement primaire;Elémentaire;Non climatisé;04091102;2;0;0
Enseignement Recherche;Enseignement primaire;Préélémentaire;Non climatisé;04098602;2;0;0
Enseignement Recherche;Enseignement secondaire;Cantine collége;Non climatisé;04100202;2;0;0
Enseignement Recherche;Enseignement secondaire;Cantine LEGT;Non climatisé;04100402;2;0;0
Enseignement Recherche;Enseignement secondaire;Cantine LP;Non climatisé;04100502;2;0;0
Enseignement Recherche;Enseignement secondaire;Collège;Non climatisé;04100802;2;0;0
Enseignement Recherche;Enseignement secondaire;Internat college;Non climatisé;04104602;2;0;0
Enseignement Recherche;Enseignement secondaire;Internat LEGT;Non climatisé;04104702;2;0;0
Enseignement Recherche;Enseignement secondaire;Internat LP;Non climatisé;04104802;2;0;0
Enseignement Recherche;Enseignement secondaire;Lycée d’enseignement général et technologique (LEGT);Non climatisé;04104902;2;0;0
Enseignement Recherche;Enseignement secondaire;Lycée professionnel (LP);Non climatisé;04105002;2;0;0
Enseignement Recherche;Enseignement supérieur et recherche;école;Non climatisé;04111002;2;0;0
