BRANCHE;SS_BRANCHE;BAT_TYPE;EQ_CLIM;ID_AGREG;PERIODE;RDT;COUT
Enseignement Recherche;Enseignement primaire;Cantine préélémentaire;Non climatisé;04090602;1;0;0
Enseignement Recherche;Enseignement primaire;Elémentaire;Non climatisé;04091102;1;0;0
Enseignement Recherche;Enseignement primaire;Préélémentaire;Non climatisé;04098602;1;0;0
Enseignement Recherche;Enseignement secondaire;Cantine collége;Non climatisé;04100202;1;0;0
Enseignement Recherche;Enseignement secondaire;Cantine LEGT;Non climatisé;04100402;1;0;0
Enseignement Recherche;Enseignement secondaire;Cantine LP;Non climatisé;04100502;1;0;0
Enseignement Recherche;Enseignement secondaire;Collège;Non climatisé;04100802;1;0;0
Enseignement Recherche;Enseignement secondaire;Internat college;Non climatisé;04104602;1;0;0
Enseignement Recherche;Enseignement secondaire;Internat LEGT;Non climatisé;04104702;1;0;0
Enseignement Recherche;Enseignement secondaire;Internat LP;Non climatisé;04104802;1;0;0
Enseignement Recherche;Enseignement secondaire;Lycée d’enseignement général et technologique (LEGT);Non climatisé;04104902;1;0;0
Enseignement Recherche;Enseignement secondaire;Lycée professionnel (LP);Non climatisé;04105002;1;0;0
Enseignement Recherche;Enseignement supérieur et recherche;école;Non climatisé;04111002;1;0;0
Enseignement Recherche;Enseignement supérieur et recherche;R&D en sciences humaines et sociales;Non climatisé;04118702;1;0;0
Enseignement Recherche;Enseignement supérieur et recherche;R&D sciences physiques et naturelles;Non climatisé;04118802;1;0;0
Enseignement Recherche;Enseignement supérieur et recherche;université;Non climatisé;04119402;1;0;0
Habitat Communautaire;Foyer;Foyers;Non climatisé;05141302;1;0;0
Habitat Communautaire;Maison de pré-retraite;Maison de pré-retraite;Non climatisé;05215102;1;0;0
Habitat Communautaire;Maison retraite médicalisée;Maison retraite médicalisée;Non climatisé;05225202;1;0;0
Habitat Communautaire;Résidence universitaire;Résidence universitaire;Non climatisé;05258902;1;0;0
Habitat Communautaire;Service à la personne;Résidentiel;Non climatisé;05289002;1;0;0
Santé Action Sociale;Cabinet médical;Cabinet médical;Non climatisé;06030102;1;0;0
Santé Action Sociale;Centre accueil;Centre accueil;Non climatisé;06050702;1;0;0
Santé Action Sociale;Garderie;Garderie;Non climatisé;06151402;1;0;0
Santé Action Sociale;Hôpital;Hopital bloc;Non climatisé;06173402;1;0;0
Santé Action Sociale;Hôpital;Hopital maison;Non climatisé;06173502;1;0;0
Santé Action Sociale;Hôpital;Hopital pavillonnaire;Non climatisé;06173602;1;0;0
Sport Loisir Culture;Culture;Grand cinéma;Non climatisé;07081802;1;0;0
Sport Loisir Culture;Culture;Grande salle de spectacle;Non climatisé;07083202;1;0;0
Sport Loisir Culture;Culture;Immeuble péri urbain;Non climatisé;07084302;1;0;0
Sport Loisir Culture;Culture;Musée;Non climatisé;07085902;1;0;0
Sport Loisir Culture;Culture;Petit cinéma;Non climatisé;07086502;1;0;0
Sport Loisir Culture;Culture;Petite salle de spectacle;Non climatisé;07088002;1;0;0
Sport Loisir Culture;Equipement collectif;Immeuble péri urbain;Non climatisé;07134302;1;0;0
Sport Loisir Culture;Loisir;Grand bar café tabac;Non climatisé;07201602;1;0;0
Sport Loisir Culture;Loisir;Salle non spécialisée;Non climatisé;07209102;1;0;0
Sport Loisir Culture;Loisir;Vestiaire et rangement;Non climatisé;07209502;1;0;0
Sport Loisir Culture;Sport;Grand bar café tabac;Non climatisé;07291602;1;0;0
Sport Loisir Culture;Sport;Grande salle multisport;Non climatisé;07293302;1;0;0
Sport Loisir Culture;Sport;Patinoire;Non climatisé;07296102;1;0;0
Sport Loisir Culture;Sport;Petite salle multisport;Non climatisé;07298102;1;0;0
Sport Loisir Culture;Sport;Piscine;Non climatisé;07298202;1;0;0
Sport Loisir Culture;Sport;Salle non spécialisée;Non climatisé;07299102;1;0;0
Sport Loisir Culture;Sport;Vestiaire et rangement;Non climatisé;07299502;1;0;0
Transport;Service;nr;Non climatisé;08276002;1;0;0
Transport;Transport aérien;nr;Non climatisé;08306002;1;0;0
Transport;Transport autre;nr;Non climatisé;08316002;1;0;0
Transport;Transport ferroviaire;nr;Non climatisé;08326002;1;0;0
Transport;Transport maritime et fluvial;nr;Non climatisé;08336002;1;0;0
Transport;Transport routier;nr;Non climatisé;08346002;1;0;0
Transport;Transport urbain;nr;Non climatisé;08356002;1;0;0
Bureaux Administration;Administration;immeuble peri urbain;Climatisé;01014201;2;3.701030726;80.80050725
Bureaux Administration;Administration;immeuble rénové;Climatisé;01014401;2;3.634505914;81.37823454
Bureaux Administration;Administration;plateau large bureaux cloisonnés;Climatisé;01018401;2;3.636770069;110.3744244
Bureaux Administration;Bureaux;immeuble peri urbain;Climatisé;01024201;2;3.682342987;104.1732425
Bureaux Administration;Bureaux;immeuble rénové;Climatisé;01024401;2;3.633671071;104.7547493
Bureaux Administration;Bureaux;immeuble résidentiel;Climatisé;01024501;2;3.660772014;102.2144947
Bureaux Administration;Bureaux;plateau large bureau paysagés;Climatisé;01028301;2;3.668006152;113.3285618
Bureaux Administration;Bureaux;plateau large bureaux cloisonnés;Climatisé;01028401;2;3.659517357;110.8506257
Bureaux Administration;Bureaux;plateau mince;Climatisé;01028501;2;3.67033184;112.0556117
Café Hôtel Restaurant;Café, cantine, traiteur;Grand bar café tabac;Climatisé;02041601;2;3.904569146;143.3496283
Café Hôtel Restaurant;Café, cantine, traiteur;Grande cantine;Climatisé;02043101;2;3.923709743;142.5058594
Café Hôtel Restaurant;Café, cantine, traiteur;Petit bar café tabac;Climatisé;02046201;2;3.924013295;135.9285275
Café Hôtel Restaurant;Café, cantine, traiteur;Petite cantine;Climatisé;02047901;2;3.917629677;141.2747469
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Bas de gamme;Climatisé;02182001;2;3.935110431;132.0062908
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Haut de gamme;Climatisé;02182101;2;3.957521589;133.2744289
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Luxe;Climatisé;02182201;2;3.917173088;132.2263216
Café Hôtel Restaurant;Hôtel avec restaurant;Hotel d'affaire avec restaurant Haut de gamme;Climatisé;02183701;2;3.985549203;131.9431818
Café Hôtel Restaurant;Hôtel avec restaurant;Hotel d'affaire avec restaurant Luxe;Climatisé;02183801;2;3.947211492;133.2588692
Café Hôtel Restaurant;Hôtel avec restaurant;Moyen Hotel avec restaurant Bas de gamme;Climatisé;02185301;2;3.912577993;135.5062013
Café Hôtel Restaurant;Hôtel avec restaurant;Moyen Hotel avec restaurant Haut de gamme;Climatisé;02185401;2;3.90337483;133.055159
Café Hôtel Restaurant;Hôtel avec restaurant;Moyen Hotel avec restaurant Luxe;Climatisé;02185501;2;3.899647584;131.0756243
Café Hôtel Restaurant;Hôtel avec restaurant;Petit Hotel avec restaurant Bas de gamme;Climatisé;02186701;2;3.917229712;128.9338969
Café Hôtel Restaurant;Hôtel avec restaurant;Petit Hotel avec restaurant Haut de gamme;Climatisé;02186801;2;3.897913684;133.0690476
Café Hôtel Restaurant;Hôtel avec restaurant;Petit Hotel avec restaurant Luxe;Climatisé;02186901;2;3.891571854;135.8290258
Café Hôtel Restaurant;Hôtel sans restaurant;Grand Hotel sans restaurant Bas de gamme;Climatisé;02192301;2;3.95076613;132.7723384
Café Hôtel Restaurant;Hôtel sans restaurant;Grand Hotel sans restaurant Haut de gamme;Climatisé;02192401;2;3.98357662;130.4803922
Café Hôtel Restaurant;Hôtel sans restaurant;Grand Hotel sans restaurant Luxe;Climatisé;02192501;2;3.930916683;130.4423077
Café Hôtel Restaurant;Hôtel sans restaurant;Hotel d'affaire sans restaurant Haut de Gamme;Climatisé;02193901;2;3.912718405;132.1071429
Café Hôtel Restaurant;Hôtel sans restaurant;Hotel d'affaire sans restaurant Luxe;Climatisé;02194001;2;3.991678122;153.75
Café Hôtel Restaurant;Hôtel sans restaurant;Moyen Hotel sans restaurant Bas de gamme;Climatisé;02195601;2;3.934754802;129.8553678
Café Hôtel Restaurant;Hôtel sans restaurant;Moyen Hotel sans restaurant Haut de gamme;Climatisé;02195701;2;3.923702394;130.8619154
Café Hôtel Restaurant;Hôtel sans restaurant;Moyen Hotel sans restaurant Luxe;Climatisé;02195801;2;3.991645771;132.3113208
Café Hôtel Restaurant;Hôtel sans restaurant;Petit Hotel sans restaurant Bas de gamme;Climatisé;02197001;2;3.911927388;127.7249445
Café Hôtel Restaurant;Hôtel sans restaurant;Petit Hotel sans restaurant Haut de gamme;Climatisé;02197101;2;3.882894309;128.1994048
Café Hôtel Restaurant;Hôtel sans restaurant;Petit Hotel sans restaurant Luxe;Climatisé;02197201;2;3.906232059;128.5
Café Hôtel Restaurant;Restaurant;Grand restaurant rapide;Climatisé;02262901;2;3.942087849;133.9828767
Café Hôtel Restaurant;Restaurant;Grand restaurant traditionnel;Climatisé;02263001;2;3.931054054;133.0457089
Café Hôtel Restaurant;Restaurant;Petit restaurant rapide;Climatisé;02267701;2;3.914737324;129.9832523
Café Hôtel Restaurant;Restaurant;Petit restaurant traditionnel;Climatisé;02267801;2;3.918412418;128.9233412
Commerce;Commerce de détail non alimentaire;Complexe brico;Climatisé;03060901;2;4.770672427;115.7171429
Commerce;Commerce de détail non alimentaire;Grand brico;Climatisé;03061701;2;4.75664616;112.9250307
Commerce;Commerce de détail non alimentaire;Grand librairie;Climatisé;03062601;2;4.407308217;156
Commerce;Commerce de détail non alimentaire;Grand Mode;Climatisé;03062701;2;4.420427099;156
Commerce;Commerce de détail non alimentaire;Petit brico;Climatisé;03066401;2;3.294768856;156
Commerce;Commerce de détail non alimentaire;Petit librairie;Climatisé;03067301;2;3.294788039;156
Commerce;Commerce de détail non alimentaire;Petit mode;Climatisé;03067401;2;3.291116534;156
Commerce;Commerce de détail non alimentaire;ZAC Mode;Climatisé;03069601;2;4.760942293;116.4253241
Commerce;Commerce de gros;Grand commerce de gros;Climatisé;03071901;2;4.784537627;114.1803519
Commerce;Commerce de gros;Petit commerce de gros;Climatisé;03076601;2;4.75659859;109.4392225
Commerce;Entrepôt;Entrepôt;Climatisé;03121201;2;4.086635121;142.0528249
Commerce;Grand commerce alimentaire;Grand alimentaire;Climatisé;03161501;2;4.433944032;156
Commerce;Grand commerce alimentaire;Hypermarché;Climatisé;03164101;2;4.759616767;118.2348624
Commerce;Grand commerce alimentaire;Superette;Climatisé;03169201;2;3.284055255;156
Commerce;Grand commerce alimentaire;Supermarché;Climatisé;03169301;2;4.764346292;126.134564
Commerce;Petit commerce alimentaire;Petit boulangerie;Climatisé;03236301;2;3.292019744;156
Commerce;Petit commerce alimentaire;Petit librairie;Climatisé;03237301;2;3.278676824;156
Commerce;Petit commerce alimentaire;Petit poissonnerie;Climatisé;03237501;2;3.291789026;156
Commerce;Process;Grand librairie;Climatisé;03242601;2;4.395948738;156
Commerce;Process;Grand process;Climatisé;03242801;2;4.402556321;156
Commerce;Process;Petit process;Climatisé;03247601;2;3.291943581;156
Enseignement Recherche;Enseignement primaire;Cantine élémentaire;Climatisé;04090301;2;3.676625314;173.25
Enseignement Recherche;Enseignement primaire;Cantine préélémentaire;Climatisé;04090601;2;3.676625314;173.25
