BRANCHE;SS_BRANCHE;BAT_TYPE;PRODUCTION_CHAUD;ENERGIE;ID_AGREG;PERIODE;RDT;COUT;CEE
Café Hôtel Restaurant;Café, cantine, traiteur;Grand bar café tabac;Rooftop;Electricité;0204161002;1;2.804101953;33.07701711;1312.5
Café Hôtel Restaurant;Café, cantine, traiteur;Grand bar café tabac;Autre système centralisé performant;Autres;0204162101;1;0.849277828;30.33611105;119
Café Hôtel Restaurant;Café, cantine, traiteur;Grand bar café tabac;Autre système centralisé performant;Urbain;0204162106;1;0.807524243;30.54825182;2068
Café Hôtel Restaurant;Café, cantine, traiteur;Grand bar café tabac;Chaudière condensation fioul;Fioul;0204162303;1;0.754189753;21.05152192;1043
Café Hôtel Restaurant;Café, cantine, traiteur;Grand bar café tabac;Chaudière condensation gaz;Gaz;0204162404;1;0.981787082;14.99977594;1043
Café Hôtel Restaurant;Café, cantine, traiteur;Grand bar café tabac;Electrique direct performant;Electricité;0204162602;1;1;12;1312.5
Café Hôtel Restaurant;Café, cantine, traiteur;Grand bar café tabac;PAC performant;Electricité;0204162902;1;3.397956279;78.82256483;1312.5
Café Hôtel Restaurant;Café, cantine, traiteur;Grand bar café tabac;Rooftop performant;Electricité;0204163002;1;3.328610233;39.37740132;1312.5
Café Hôtel Restaurant;Café, cantine, traiteur;Grande cantine;Autre système centralisé;Autres;0204310101;1;0.72863858;34.54090104;119
Café Hôtel Restaurant;Café, cantine, traiteur;Grande cantine;Autre système centralisé;Urbain;0204310106;1;0.685993554;34.8104389;2117.5
Café Hôtel Restaurant;Café, cantine, traiteur;Grande cantine;Chaudière fioul;Fioul;0204310303;1;0.570690865;23.66962051;1043
Café Hôtel Restaurant;Café, cantine, traiteur;Grande cantine;Chaudière gaz;Gaz;0204310404;1;0.686435101;17.01956029;1043
Café Hôtel Restaurant;Café, cantine, traiteur;Grande cantine;Electrique direct;Electricité;0204310602;1;0.92;10.4;1312.5
Café Hôtel Restaurant;Café, cantine, traiteur;Grande cantine;PAC;Electricité;0204310902;1;2.944895442;90.69088602;1312.5
Café Hôtel Restaurant;Café, cantine, traiteur;Grande cantine;Rooftop;Electricité;0204311002;1;2.804101953;44.59932756;1312.5
Café Hôtel Restaurant;Café, cantine, traiteur;Grande cantine;Autre système centralisé performant;Autres;0204312101;1;0.840736823;41.12012028;119
