BRANCHE;BAT_TYPE;PRODUCTION_CHAUD;ENERGIE;COUT;DUREE_VIE;BESOIN_U;RDT;PM_2009;COUT_ENERGIE
Sport Loisir Culture;Musée;Electrique direct;Electricité;10;13;111.4630206;0.9;0.106140673;0.0774
Café Hôtel Restaurant;Grand Hotel avec restaurant Haut de gamme;PAC;Electricité;48.60838142;20;65.07442857;2.831630233;0.113801635;0.0774
Café Hôtel Restaurant;Petite cantine;Autre système centralisé performant;Autres;92.225;25;154.8793588;0.848845734;9.993E-05;0.015468227
Café Hôtel Restaurant;Petite cantine;Autre système centralisé performant;Urbain;92.225;25;151.5276467;0.797732058;9.993E-05;0.0616
Café Hôtel Restaurant;Petite cantine;Chaudière condensation fioul;Fioul;100.388;20;124.7804383;0.746208778;9.993E-05;0.074414716
Café Hôtel Restaurant;Petite cantine;Chaudière condensation gaz;Gaz;100.388;20;126.7921685;0.9738116;9.993E-05;0.0513
Bureaux Administration;plateau mince;Electrique direct;Electricité;10;13;99.56893455;0.9;0.100956906;0.0774
Bureaux Administration;plateau large bureau paysagés;Electrique direct;Electricité;10;13;69.24815047;0.9;0.107439865;0.0774
Santé Action Sociale;Hopital maison;Electrique direct;Electricité;10;13;111.5095122;0.894567401;0.132942694;0.0774
Café Hôtel Restaurant;Petite cantine;Electrique direct performant;Electricité;12;13;96.35353236;1;9.993E-05;0.0774
Santé Action Sociale;Hopital pavillonnaire;PAC;Electricité;48.38263731;20;175.6655334;2.791458958;0.126694159;0.0774
Café Hôtel Restaurant;Petite cantine;PAC performant;Electricité;57.00222143;20;112.1643268;3.397956279;9.993E-05;0.0774
Café Hôtel Restaurant;Hotel d'affaire sans restaurant Haut de Gamme;PAC;Electricité;71.17967359;20;74.31014258;2.818468605;0.126358576;0.0774
Café Hôtel Restaurant;Petite cantine;Rooftop performant;Electricité;166.32175;17;120.1616896;3.328610233;9.993E-05;0.0774
Enseignement Recherche;université;Electrique direct;Electricité;10;13;54.31709199;0.9;0.109992257;0.0774
Commerce;Petit poissonnerie;Autre système centralisé;Urbain;45.7471679;25;139.9205787;1.627294043;0.074628585;0.0616
Commerce;Complexe brico;Autre système centralisé performant;Autres;28.39704205;25;56.31605722;1.854462936;9.994E-05;0.015468227
Commerce;Complexe brico;Autre système centralisé performant;Urbain;28.20150772;25;55.69373953;1.850904904;9.994E-05;0.0616
Commerce;Complexe brico;Chaudière condensation fioul;Fioul;11.80135552;20;55.63503076;0.761583139;9.994E-05;0.074414716
Commerce;Complexe brico;Chaudière condensation gaz;Gaz;8.799380921;20;57.31892665;0.989367103;9.994E-05;0.0513
Enseignement Recherche;école;Electrique direct;Electricité;10;13;69.26538328;0.9;0.078393596;0.0774
Café Hôtel Restaurant;Grande cantine;Autre système centralisé;Urbain;33.15279895;25;113.3086817;0.659609187;0.075213058;0.0616
Café Hôtel Restaurant;Moyen Hotel avec restaurant Haut de gamme;PAC;Electricité;77.12647214;20;122.8327924;2.831630233;0.123313182;0.0774
Commerce;Complexe brico;Electrique direct performant;Electricité;12;13;60.84970102;1;9.994E-05;0.0774
Santé Action Sociale;Cabinet médical;Electrique direct;Electricité;10;13;69.22774144;0.9;0.122717463;0.0774
Commerce;Complexe brico;Rooftop performant;Electricité;32.23264313;17;54.66928024;3.328610233;9.994E-05;0.0774
