BRANCHE;BAT_TYPE;PRODUCTION_CHAUD;ENERGIE;COUT;DUREE_VIE;BESOIN_U;RDT;PM_2009;COUT_ENERGIE
Commerce;Superette;Electrique direct;Electricité;10;13;87.99605088;0.9;0.13934116;0.0774
Commerce;Petit librairie;PAC performant;Electricité;92.02920431;20;74.78618016;3.397956279;9.994E-05;0.0774
Sport Loisir Culture;Salle non spécialisée;Autre système centralisé;Autres;54.10857227;25;92.07316825;1.612099574;0.108274008;0.015468227
Habitat Communautaire;Résidence universitaire;Electrique direct;Electricité;10;13;80.09658519;0.9;0.169185605;0.0774
Commerce;Petit mode;Autre système centralisé performant;Autres;41.06492386;25;78.29823199;1.853903608;9.994E-05;0.015468227
Commerce;Petit mode;Autre système centralisé performant;Urbain;40.48268312;25;91.31284703;1.949615604;9.994E-05;0.0616
Commerce;Petit mode;Chaudière condensation fioul;Fioul;30.88861538;20;84.33495441;0.749259862;9.994E-05;0.074414716
Commerce;Petit mode;Chaudière condensation gaz;Gaz;30.88861538;20;93.11608369;0.982567001;9.994E-05;0.0513
Café Hôtel Restaurant;Hotel d'affaire avec restaurant Luxe;Rooftop;Electricité;25.00490309;17;60.06005963;2.672974884;0.150717641;0.0774
Commerce;Grand commerce de gros;Electrique direct;Electricité;10;13;85.48528338;0.9;0.16574667;0.0774
Café Hôtel Restaurant;Grand Hotel avec restaurant Haut de gamme;Rooftop;Electricité;21.56138114;17;65.9860333;2.672974884;0.150365061;0.0774
Commerce;Petit mode;Electrique direct performant;Electricité;12;13;78.17280256;1;9.994E-05;0.0774
Enseignement Recherche;Internat LEGT;Chaudière fioul;Fioul;6.745851849;20;126.3759299;0.732812339;0.02762543;0.074414716
Commerce;Petit mode;PAC performant;Electricité;91.7717187;20;72.95960432;3.397956279;9.994E-05;0.0774
Bureaux Administration;plateau mince;Chaudière fioul;Fioul;4.772419454;20;101.9522445;0.512052006;0.027638199;0.074414716
Habitat Communautaire;Maison de pré-retraite;Electrique direct;Electricité;10;13;90.35449164;0.886431759;0.170370494;0.0774
Commerce;Petit poissonnerie;Autre système centralisé performant;Autres;57.76755074;25;123.3805972;1.872950976;9.994E-05;0.015468227
Commerce;Petit poissonnerie;Autre système centralisé performant;Urbain;57.18395988;25;139.9205787;1.952752851;9.994E-05;0.0616
Commerce;Petit poissonnerie;Chaudière condensation fioul;Fioul;38.53421968;20;127.4466137;0.751367845;9.994E-05;0.074414716
Commerce;Petit poissonnerie;Chaudière condensation gaz;Gaz;30.88861538;20;143.8560897;0.984690855;9.994E-05;0.0513
Habitat Communautaire;Résidentiel;Electrique direct;Electricité;10;13;87.67640216;0.9;0.174088026;0.0774
Café Hôtel Restaurant;Hotel d'affaire sans restaurant Haut de Gamme;Rooftop;Electricité;30.6102781;17;73.05116154;2.660550698;0.163551177;0.0774
Commerce;Supermarché;Rooftop;Electricité;34.90886739;17;103.5457561;2.672974884;0.160122939;0.0774
Commerce;Petit poissonnerie;Electrique direct performant;Electricité;12;13;120.2216309;1;9.994E-05;0.0774
Café Hôtel Restaurant;Moyen Hotel avec restaurant Haut de gamme;Rooftop;Electricité;35.01669526;17;124.3738406;2.672974884;0.161365978;0.0774
Commerce;Petit poissonnerie;PAC performant;Electricité;139.5511845;20;114.3655286;3.397956279;9.994E-05;0.0774
Sport Loisir Culture;Salle non spécialisée;Electrique direct;Electricité;10;13;64.9883637;0.9;0.137650824;0.0774
Café Hôtel Restaurant;Grand Hotel sans restaurant Bas de gamme;Rooftop;Electricité;23.65122978;17;74.72694622;2.672974884;0.151045324;0.0774
Commerce;Petit process;Autre système centralisé performant;Autres;43.89366961;25;104.3906368;1.859785332;9.994E-05;0.015468227
Commerce;Petit process;Autre système centralisé performant;Urbain;43.50453649;25;123.0242192;1.895598895;9.994E-05;0.0616
Commerce;Petit process;Chaudière condensation fioul;Fioul;30.88861538;20;111.5555006;0.749470522;9.994E-05;0.074414716
Commerce;Petit process;Chaudière condensation gaz;Gaz;30.88861538;20;120.2457653;0.977268355;9.994E-05;0.0513
Café Hôtel Restaurant;Moyen Hotel sans restaurant Luxe;Rooftop;Electricité;31.04644356;17;122.2267025;2.679567309;0.151037496;0.0774
Café Hôtel Restaurant;Grand Hotel avec restaurant Luxe;Rooftop;Electricité;27.03278337;17;92.22172893;2.672974884;0.162441982;0.0774
Café Hôtel Restaurant;Moyen Hotel sans restaurant Haut de gamme;Chaudière fioul;Fioul;18.11389882;20;135.1558765;0.523449439;0.02396553;0.074414716
Commerce;Petit process;Electrique direct performant;Electricité;12;13;109.809274;1;9.994E-05;0.0774
Bureaux Administration;immeuble peri urbain;DRV;Electricité;26.32966733;17;162.0223914;2.276943946;0.156316375;0.0774
Commerce;Petit process;PAC performant;Electricité;99.14943959;20;106.9489808;3.397956279;9.994E-05;0.0774
Enseignement Recherche;Internat LP;Chaudière fioul;Fioul;6.516672588;20;126.9802532;0.728748237;0.030297174;0.074414716
Sport Loisir Culture;Grande salle de spectacle;Autre système centralisé;Urbain;26.6501252;25;52.36329754;2.134482198;0.121281828;0.0616
Commerce;Superette;Autre système centralisé performant;Autres;42.04490318;25;86.75390971;1.866654853;9.994E-05;0.015468227
Commerce;Superette;Autre système centralisé performant;Urbain;41.95293603;25;104.0857167;1.861011621;9.994E-05;0.0616
Commerce;Superette;Chaudière condensation fioul;Fioul;29.34705082;20;92.50011719;0.752057912;9.994E-05;0.074414716
Commerce;Superette;Chaudière condensation gaz;Gaz;20.14869354;20;107.3890518;0.979846856;9.994E-05;0.0513
Café Hôtel Restaurant;Grand Hotel sans restaurant Luxe;Rooftop;Electricité;27.55893999;17;95.9776201;2.738053953;0.140001188;0.0774
Café Hôtel Restaurant;Grand Hotel avec restaurant Bas de gamme;Rooftop;Electricité;23.15201072;17;71.57233753;2.672974884;0.170204061;0.0774
Commerce;Petit mode;Autre système centralisé;Urbain;32.38614649;25;91.31284703;1.62467967;0.121515334;0.0616
Commerce;Superette;Electrique direct performant;Electricité;12;13;87.99605088;1;9.994E-05;0.0774
Café Hôtel Restaurant;Petit Hotel sans restaurant Bas de gamme;Chaudière fioul;Fioul;31.18285249;20;221.2584534;0.515390381;0.024303208;0.074414716
Commerce;Superette;PAC performant;Electricité;106.0944858;20;82.88495205;3.397956279;9.994E-05;0.0774
Enseignement Recherche;Cantine LP;Autre système centralisé;Autres;43.2194719;25;314.7442989;0.841754794;0.122097231;0.015468227
Commerce;Hypermarché;Rooftop;Electricité;35.99837908;17;107.6745541;2.672974884;0.180269151;0.0774
Commerce;Supermarché;Autre système centralisé performant;Autres;37.99245624;25;98.63062766;1.870147729;9.994E-05;0.015468227
Commerce;Supermarché;Autre système centralisé performant;Urbain;37.72355284;25;100.0940823;1.885641742;9.994E-05;0.0616
Commerce;Supermarché;Chaudière condensation fioul;Fioul;15.5156505;20;103.9497824;0.761583139;9.994E-05;0.074414716
Commerce;Supermarché;Chaudière condensation gaz;Gaz;11.5329496;20;102.5241681;0.989367103;9.994E-05;0.0513
Commerce;Superette;Chaudière fioul;Fioul;23.47764065;20;92.50011719;0.657877679;0.031124148;0.074414716
Enseignement Recherche;école;Autre système centralisé;Urbain;18.23041881;25;86.45918623;0.867370346;0.126136948;0.0616
Enseignement Recherche;Cantine collége;Chaudière fioul;Fioul;27.57533536;20;283.1692743;0.731578891;0.031716439;0.074414716
Commerce;Supermarché;Electrique direct performant;Electricité;12;13;102.806313;1;9.994E-05;0.0774
Café Hôtel Restaurant;Petit Hotel sans restaurant Haut de gamme;Chaudière fioul;Fioul;28.71886475;20;167.2986419;0.516901603;0.025433084;0.074414716
Commerce;Supermarché;Rooftop performant;Electricité;43.63608424;17;103.5457561;3.328610233;9.994E-05;0.0774
Enseignement Recherche;Cantine LP;Chaudière fioul;Fioul;27.46977145;20;282.1177721;0.731569812;0.032053577;0.074414716
Enseignement Recherche;Cantine collége;Autre système centralisé;Autres;42.51677727;25;305.2150206;0.844222805;0.12892556;0.015468227
Commerce;ZAC Mode;Autre système centralisé performant;Autres;38.20461433;25;101.2027728;1.858093544;9.994E-05;0.015468227
Commerce;ZAC Mode;Autre système centralisé performant;Urbain;37.76583807;25;106.2419086;1.890736136;9.994E-05;0.0616
Commerce;ZAC Mode;Chaudière condensation fioul;Fioul;21.12291093;20;102.96474;0.761583139;9.994E-05;0.074414716
Commerce;ZAC Mode;Chaudière condensation gaz;Gaz;15.51340328;20;107.5577995;0.989367103;9.994E-05;0.0513
Sport Loisir Culture;Salle non spécialisée;Chaudière fioul;Fioul;35.75303446;20;91.48158355;0.671282577;0.02150709;0.074414716
Sport Loisir Culture;Petite salle multisport;Chaudière fioul;Fioul;29.4887063;20;112.2691385;0.678573948;0.018518397;0.074414716
Enseignement Recherche;Internat college;Autre système centralisé;Autres;15.94389423;25;118.1187795;0.838777457;0.130384786;0.015468227
Commerce;ZAC Mode;Electrique direct performant;Electricité;12;13;101.7723028;1;9.994E-05;0.0774
Commerce;Grand alimentaire;Electrique direct;Electricité;10;13;86.32690769;0.9;0.181140817;0.0774
Commerce;ZAC Mode;Rooftop performant;Electricité;44.93867787;17;96.28833269;3.328610233;9.994E-05;0.0774
Café Hôtel Restaurant;Petit Hotel sans restaurant Luxe;Autre système centralisé;Autres;37.7705556;25;157.7100102;0.720037313;0.130806455;0.015468227
Café Hôtel Restaurant;Petit bar café tabac;Electrique direct;Electricité;10;13;105.4526925;0.9;0.161815007;0.0774
Enseignement Recherche;Cantine collége;Autre système centralisé performant;Autres;53.14597159;25;305.2150206;1.013067366;9.994E-05;0.015468227
Enseignement Recherche;Cantine collége;Autre système centralisé performant;Urbain;52.57664665;25;319.7526914;1.011091322;9.994E-05;0.0616
Enseignement Recherche;Cantine collége;Chaudière condensation fioul;Fioul;34.46916921;20;283.1692743;0.760067865;9.994E-05;0.074414716
Enseignement Recherche;Cantine collége;Chaudière condensation gaz;Gaz;24.89154475;20;243.3167195;0.986470316;9.994E-05;0.0513
Café Hôtel Restaurant;Moyen Hotel sans restaurant Haut de gamme;Rooftop;Electricité;35.17710758;17;120.5583024;2.672974884;0.156166232;0.0774
Café Hôtel Restaurant;Moyen Hotel avec restaurant Luxe;Rooftop;Electricité;30.85108809;17;105.4653677;2.672974884;0.182887645;0.0774
Commerce;ZAC Mode;Rooftop;Electricité;35.9509423;17;96.28833269;2.672974884;0.201657953;0.0774
Enseignement Recherche;Cantine collége;Electrique direct performant;Electricité;12;13;299.5415062;1;9.994E-05;0.0774
Bureaux Administration;immeuble rénové;Chaudière fioul;Fioul;8.662417593;20;118.6485177;0.51196395;0.033580209;0.074414716
Enseignement Recherche;Cantine collége;PAC performant;Electricité;147.7526576;20;318.1277205;3.340582326;9.994E-05;0.0774
Bureaux Administration;plateau large bureau paysagés;Chaudière fioul;Fioul;4.192428389;20;74.25193126;0.512052006;0.033948619;0.074414716
Café Hôtel Restaurant;Petit restaurant rapide;Chaudière fioul;Fioul;80.3104;20;150.8650358;0.5060633;0.027172327;0.074414716
Enseignement Recherche;Cantine élémentaire;Autre système centralisé performant;Autres;57.63962778;25;263.6117344;0.910213961;9.994E-05;0.015468227
Enseignement Recherche;Cantine élémentaire;Autre système centralisé performant;Urbain;58.08492117;25;289.7330699;1.085223155;9.994E-05;0.0616
Enseignement Recherche;Cantine élémentaire;Chaudière condensation fioul;Fioul;36.38630851;20;259.5511816;0.760672812;9.994E-05;0.074414716
Enseignement Recherche;Cantine élémentaire;Chaudière condensation gaz;Gaz;26.56057451;20;230.1993086;0.987070626;9.994E-05;0.0513
Sport Loisir Culture;Patinoire;Autre système centralisé;Autres;33.7012953;25;46.45119536;1.6794546;0.13722377;0.015468227
Café Hôtel Restaurant;Moyen Hotel avec restaurant Bas de gamme;Electrique direct;Electricité;10;13;111.6934722;0.9;0.171800263;0.0774
Habitat Communautaire;Foyers;Electrique direct;Electricité;10;13;97.82475324;0.9;0.221897609;0.0774
Enseignement Recherche;Cantine élémentaire;Electrique direct performant;Electricité;12;13;285.5395429;1;9.994E-05;0.0774
Commerce;Complexe brico;Rooftop;Electricité;25.7861145;17;54.66928024;2.672974884;0.20372661;0.0774
Enseignement Recherche;Cantine élémentaire;PAC performant;Electricité;160.0032688;20;291.4951638;3.340582326;9.994E-05;0.0774
Café Hôtel Restaurant;Petit Hotel avec restaurant Bas de gamme;Rooftop;Electricité;58.80893959;17;181.0435141;2.672974884;0.189484798;0.0774
Café Hôtel Restaurant;Grand Hotel sans restaurant Haut de gamme;Rooftop;Electricité;22.11712746;17;72.51293626;2.672974884;0.176047584;0.0774
Enseignement Recherche;Cantine LEGT;Autre système centralisé performant;Autres;58.20809964;25;326.9250512;1.08193983;9.994E-05;0.015468227
Enseignement Recherche;Cantine LEGT;Autre système centralisé performant;Urbain;54.6522689;25;326.4995468;1.010024592;9.994E-05;0.0616
Enseignement Recherche;Cantine LEGT;Chaudière condensation fioul;Fioul;35.57287568;20;297.2814798;0.760066274;9.994E-05;0.074414716
Enseignement Recherche;Cantine LEGT;Chaudière condensation gaz;Gaz;25.50758244;20;277.8443156;0.986474411;9.994E-05;0.0513
Commerce;Grand Mode;PAC;Electricité;72.74032919;20;72.52050505;3.243503721;0.206709579;0.0774
Bureaux Administration;plateau large bureaux cloisonnés;Chaudière fioul;Fioul;4.22973083;20;94.31214895;0.512052006;0.0352433;0.074414716
Bureaux Administration;immeuble peri urbain;Chaudière fioul;Fioul;11.83487935;20;158.4983341;0.508932358;0.03552008;0.074414716
Enseignement Recherche;Cantine LEGT;Electrique direct performant;Electricité;12;13;288.1854685;1;9.994E-05;0.0774
Enseignement Recherche;université;Chaudière fioul;Fioul;5.490610034;20;71.77212632;0.714680607;0.035523554;0.074414716
Enseignement Recherche;Cantine LEGT;PAC performant;Electricité;152.0291454;20;316.786822;3.340582326;9.994E-05;0.0774
Café Hôtel Restaurant;Moyen Hotel sans restaurant Bas de gamme;Rooftop;Electricité;38.43238733;17;130.0910522;2.672974884;0.147879131;0.0774
Café Hôtel Restaurant;Hotel d'affaire avec restaurant Haut de gamme;Autre système centralisé;Urbain;25.36875604;25;119.3639214;0.7;0.143300808;0.0616
Enseignement Recherche;Cantine LP;Autre système centralisé performant;Autres;54.02433987;25;314.7442989;1.010105752;9.994E-05;0.015468227
Enseignement Recherche;Cantine LP;Autre système centralisé performant;Urbain;52.98309218;25;320.1682157;1.078075337;9.994E-05;0.0616
Enseignement Recherche;Cantine LP;Chaudière condensation fioul;Fioul;34.33721431;20;282.1177721;0.760080245;9.994E-05;0.074414716
Enseignement Recherche;Cantine LP;Chaudière condensation gaz;Gaz;25.05626337;20;264.5290114;0.986473977;9.994E-05;0.0513
Sport Loisir Culture;Musée;Chaudière gaz;Gaz;7.817937954;20;110.2128278;0.661058019;0.177153103;0.0513
Café Hôtel Restaurant;Petit Hotel avec restaurant Luxe;Electrique direct;Electricité;10;13;120.5071677;0.9;0.184307578;0.0774
Sport Loisir Culture;Piscine;Autre système centralisé;Autres;35.9353792;25;48.6014636;1.666373286;0.144560828;0.015468227
Enseignement Recherche;Cantine LP;Electrique direct performant;Electricité;12;13;300.4865773;1;9.994E-05;0.0774
Enseignement Recherche;R&D en sciences humaines et sociales;Electrique direct;Electricité;10;13;106.5301013;0.9;0.147367729;0.0774
Enseignement Recherche;Cantine LP;PAC performant;Electricité;145.0108275;20;317.4572023;3.340582326;9.994E-05;0.0774
Commerce;Petit mode;PAC;Electricité;73.41737496;20;72.95960432;3.243503721;0.205702266;0.0774
Commerce;Grand librairie;PAC;Electricité;72.7147256;20;71.7924476;3.243503721;0.2193418;0.0774
Enseignement Recherche;Cantine préélémentaire;Autre système centralisé performant;Autres;61.98087517;25;277.2494347;0.932280618;9.994E-05;0.015468227
Enseignement Recherche;Cantine préélémentaire;Autre système centralisé performant;Urbain;58.67876498;25;291.8295336;1.095892931;9.994E-05;0.0616
Enseignement Recherche;Cantine préélémentaire;Chaudière condensation fioul;Fioul;36.3100721;20;263.9161864;0.760673012;9.994E-05;0.074414716
Enseignement Recherche;Cantine préélémentaire;Chaudière condensation gaz;Gaz;26.33897591;20;233.6090795;0.987057731;9.994E-05;0.0513
Sport Loisir Culture;Petit cinéma;Electrique direct;Electricité;10;13;129.4706259;0.9;0.196695168;0.0774
Habitat Communautaire;Maison retraite médicalisée;Electrique direct;Electricité;10;13;85.30685793;0.885381271;0.227439954;0.0774
Sport Loisir Culture;Petite salle de spectacle;Electrique direct;Electricité;10;13;126.0826083;0.9;0.188836199;0.0774
Enseignement Recherche;Cantine préélémentaire;Electrique direct performant;Electricité;12;13;273.8713025;1;9.994E-05;0.0774
Café Hôtel Restaurant;Petit Hotel sans restaurant Haut de gamme;Rooftop;Electricité;53.97544616;17;155.4287025;2.672974884;0.175047603;0.0774
Enseignement Recherche;Cantine préélémentaire;PAC performant;Electricité;160.8243356;20;290.3263447;3.340582326;9.994E-05;0.0774
Commerce;Superette;Autre système centralisé;Urbain;33.56234882;25;104.0857167;1.550843017;0.150202295;0.0616
Commerce;Hypermarché;Electrique direct;Electricité;10;13;113.8064527;0.9;0.207755016;0.0774
Enseignement Recherche;Collège;Autre système centralisé performant;Autres;21.58447069;25;67.31311377;0.944596472;9.994E-05;0.015468227
Enseignement Recherche;Collège;Autre système centralisé performant;Urbain;22.43741801;25;73.62918579;0.983609521;9.994E-05;0.0616
Enseignement Recherche;Collège;Chaudière condensation fioul;Fioul;9.407223321;20;67.25869023;0.764069138;9.994E-05;0.074414716
Enseignement Recherche;Collège;Chaudière condensation gaz;Gaz;7.009772886;20;67.53412145;0.990459691;9.994E-05;0.0513
Commerce;Petit librairie;PAC;Electricité;73.62336345;20;74.78618016;3.243503721;0.211717556;0.0774
Café Hôtel Restaurant;Petit Hotel sans restaurant Luxe;Rooftop;Electricité;47.43837733;17;138.3928042;2.689709502;0.187160608;0.0774
Café Hôtel Restaurant;Moyen Hotel sans restaurant Luxe;Autre système centralisé;Urbain;26.11142021;25;112.8361518;0.685;0.152414729;0.0616
Enseignement Recherche;Collège;Electrique direct performant;Electricité;12;13;63.20564887;1;9.994E-05;0.0774
Commerce;Grand process;PAC;Electricité;78.13238864;20;97.20448989;3.243503721;0.227711083;0.0774
Enseignement Recherche;Collège;PAC performant;Electricité;61.9894785;20;73.82080344;3.340582326;9.994E-05;0.0774
Café Hôtel Restaurant;Petit bar café tabac;Chaudière fioul;Fioul;40.1552;20;133.0688795;0.509774422;0.030942683;0.074414716
Sport Loisir Culture;Grande salle multisport;Tube radiant;Gaz;10;25;35.10035502;0.8;0.167380723;0.0513
Enseignement Recherche;école;Autre système centralisé performant;Autres;22.98954372;25;85.7494415;0.907092184;9.994E-05;0.015468227
Enseignement Recherche;école;Autre système centralisé performant;Urbain;22.78802352;25;86.45918623;1.040844415;9.994E-05;0.0616
Enseignement Recherche;école;Chaudière condensation fioul;Fioul;13.86563891;20;78.01578098;0.766210596;9.994E-05;0.074414716
Enseignement Recherche;école;Chaudière condensation gaz;Gaz;10.24295856;20;74.3233328;0.992608556;9.994E-05;0.0513
Café Hôtel Restaurant;Grand Hotel sans restaurant Luxe;Autre système centralisé;Urbain;23.64718069;25;98.52175852;0.7;0.154914228;0.0616
Café Hôtel Restaurant;Petit Hotel sans restaurant Bas de gamme;Rooftop;Electricité;59.89587462;17;197.1674418;2.672974884;0.180133538;0.0774
Commerce;Grand brico;Electrique direct;Electricité;10;13;110.8270688;0.9;0.226292128;0.0774
Enseignement Recherche;école;Electrique direct performant;Electricité;12;13;69.26538328;1;9.994E-05;0.0774
Sport Loisir Culture;Vestiaire et rangement;Chaudière gaz;Gaz;49.75622714;20;172.4665198;0.615913521;0.189642771;0.0513
Enseignement Recherche;école;PAC performant;Electricité;75.19561822;20;93.25559199;3.199403721;9.994E-05;0.0774
Enseignement Recherche;Internat college;Chaudière fioul;Fioul;6.501907107;20;117.1079386;0.732812339;0.04011271;0.074414716
Commerce;Grand brico;Rooftop;Electricité;38.99435698;17;115.658077;2.672974884;0.231173662;0.0774
Enseignement Recherche;Elémentaire;Autre système centralisé performant;Autres;28.03023802;25;95.59296476;0.922462913;9.994E-05;0.015468227
Enseignement Recherche;Elémentaire;Autre système centralisé performant;Urbain;26.39966249;25;89.13931108;1.075430864;9.994E-05;0.0616
Enseignement Recherche;Elémentaire;Chaudière condensation fioul;Fioul;15.2940843;20;87.88804812;0.760166146;9.994E-05;0.074414716
Enseignement Recherche;Elémentaire;Chaudière condensation gaz;Gaz;11.25915789;20;87.05905501;0.986497661;9.994E-05;0.0513
Commerce;ZAC Mode;Electrique direct;Electricité;10;13;101.7723028;0.9;0.231118253;0.0774
Sport Loisir Culture;Immeuble péri urbain;Autre système centralisé;Urbain;14.82670705;25;117.2347395;0.858946135;0.164112671;0.0616
Santé Action Sociale;Cabinet médical;Autre système centralisé;Urbain;11.99961875;25;79.52850311;0.721356669;0.165961591;0.0616
Enseignement Recherche;Elémentaire;Electrique direct performant;Electricité;12;13;84.1110438;1;9.994E-05;0.0774
Sport Loisir Culture;Musée;Chaudière fioul;Fioul;13.31972079;20;118.9533447;0.679807158;0.033293305;0.074414716
Enseignement Recherche;Elémentaire;PAC performant;Electricité;77.79252313;20;92.1230774;3.340582326;9.994E-05;0.0774
Café Hôtel Restaurant;Petit Hotel avec restaurant Bas de gamme;Chaudière gaz;Gaz;21.22189083;20;211.6272649;0.6027262;0.216441284;0.0513
Sport Loisir Culture;Grand cinéma;Autre système centralisé;Urbain;25.16259542;25;74.38088994;2.09097044;0.167596878;0.0616
Enseignement Recherche;Internat college;Autre système centralisé performant;Autres;19.92986778;25;118.1187795;1.006532948;9.994E-05;0.015468227
Enseignement Recherche;Internat college;Autre système centralisé performant;Urbain;16.92488029;25;116.1582489;0.976439445;9.994E-05;0.0616
Enseignement Recherche;Internat college;Chaudière condensation fioul;Fioul;8.127383884;20;117.1079386;0.765002326;9.994E-05;0.074414716
Enseignement Recherche;Internat college;Chaudière condensation gaz;Gaz;5.705225563;20;89.68316842;0.991429044;9.994E-05;0.0513
Café Hôtel Restaurant;Moyen Hotel sans restaurant Luxe;Chaudière fioul;Fioul;14.62502603;20;120.1060334;0.532595416;0.033642197;0.074414716
Sport Loisir Culture;Patinoire;Chaudière fioul;Fioul;12.39283604;20;56.20226841;0.697897894;0.024034456;0.074414716
Sport Loisir Culture;Vestiaire et rangement;Electrique direct;Electricité;10;13;94.63015122;0.9;0.201708452;0.0774
Enseignement Recherche;Internat college;Electrique direct performant;Electricité;12;13;101.1318771;1;9.994E-05;0.0774
Café Hôtel Restaurant;Petit Hotel avec restaurant Haut de gamme;Electrique direct;Electricité;10;13;137.1647099;0.9;0.217428654;0.0774
Enseignement Recherche;Internat college;PAC performant;Electricité;56.46512083;20;123.6306879;3.340582326;9.994E-05;0.0774
Commerce;Petit boulangerie;PAC;Electricité;119.7772294;20;119.2556171;3.243503721;0.221656739;0.0774
Café Hôtel Restaurant;Grand Hotel sans restaurant Bas de gamme;Chaudière fioul;Fioul;12.01174898;20;81.45263657;0.518684063;0.033805715;0.074414716
Enseignement Recherche;Internat LEGT;Autre système centralisé performant;Autres;21.00679207;25;138.7821965;0.991727179;9.994E-05;0.015468227
Enseignement Recherche;Internat LEGT;Autre système centralisé performant;Urbain;21.36919399;25;132.5168167;1.073112993;9.994E-05;0.0616
Enseignement Recherche;Internat LEGT;Chaudière condensation fioul;Fioul;8.432314811;20;126.3759299;0.764992872;9.994E-05;0.074414716
Enseignement Recherche;Internat LEGT;Chaudière condensation gaz;Gaz;6.334846038;20;110.7697032;0.991389907;9.994E-05;0.0513
Commerce;Complexe brico;Electrique direct;Electricité;10;13;60.84970102;0.9;0.234589138;0.0774
Café Hôtel Restaurant;Moyen Hotel avec restaurant Bas de gamme;Chaudière fioul;Fioul;19.98570751;20;142.5695339;0.521636978;0.034060346;0.074414716
Commerce;Petit commerce de gros;Electrique direct;Electricité;10;13;84.12351127;0.9;0.222065882;0.0774
Enseignement Recherche;Internat LEGT;Electrique direct performant;Electricité;12;13;126.408594;1;9.994E-05;0.0774
Commerce;Grand Mode;Electrique direct;Electricité;10;13;77.60909072;0.9;0.237837786;0.0774
Enseignement Recherche;Internat LEGT;PAC performant;Electricité;62.93799872;20;131.0200123;3.340582326;9.994E-05;0.0774
Commerce;Petit poissonnerie;PAC;Electricité;111.6409476;20;114.3655286;3.243503721;0.224268607;0.0774
Café Hôtel Restaurant;Hotel d'affaire avec restaurant Haut de gamme;Electrique direct;Electricité;10;13;75.42588031;0.9;0.216587556;0.0774
Enseignement Recherche;Internat LP;Autre système centralisé performant;Autres;22.08290574;25;127.0757617;1.058602399;9.994E-05;0.015468227
Enseignement Recherche;Internat LP;Autre système centralisé performant;Urbain;18.98726789;25;125.9197758;1.042949205;9.994E-05;0.0616
Enseignement Recherche;Internat LP;Chaudière condensation fioul;Fioul;8.145840734;20;126.9802532;0.764145482;9.994E-05;0.074414716
Enseignement Recherche;Internat LP;Chaudière condensation gaz;Gaz;5.967680167;20;103.3946297;0.991413284;9.994E-05;0.0513
Café Hôtel Restaurant;Petit Hotel sans restaurant Luxe;Chaudière fioul;Fioul;25.19575548;20;160.9226032;0.559487021;0.035493453;0.074414716
Café Hôtel Restaurant;Petit restaurant traditionnel;Chaudière fioul;Fioul;80.3104;20;145.0125251;0.5060598;0.035551729;0.074414716
Commerce;Petit commerce de gros;Rooftop;Electricité;32.07261284;17;82.80863229;2.672974884;0.228926029;0.0774
Enseignement Recherche;Internat LP;Electrique direct performant;Electricité;12;13;130.3548984;1;9.994E-05;0.0774
Sport Loisir Culture;Vestiaire et rangement;Tube radiant;Gaz;10;25;203.3495793;0.8;0.211010964;0.0513
Enseignement Recherche;Internat LP;PAC performant;Electricité;58.77571253;20;134.6496277;3.340582326;9.994E-05;0.0774
Commerce;Petit mode;Electrique direct;Electricité;10;13;78.17280256;0.9;0.238213609;0.0774
Commerce;Grand librairie;Electrique direct;Electricité;10;13;76.821078;0.9;0.252099397;0.0774
Enseignement Recherche;Lycée d’enseignement général et technologique (LEGT);Autre système centralisé performant;Autres;24.51509245;25;77.94102971;0.908190821;9.994E-05;0.015468227
Enseignement Recherche;Lycée d’enseignement général et technologique (LEGT);Autre système centralisé performant;Urbain;24.17383771;25;94.94438156;0.985770381;9.994E-05;0.0616
Enseignement Recherche;Lycée d’enseignement général et technologique (LEGT);Chaudière condensation fioul;Fioul;9.470057621;20;71.4765522;0.764300862;9.994E-05;0.074414716
Enseignement Recherche;Lycée d’enseignement général et technologique (LEGT);Chaudière condensation gaz;Gaz;7.098328585;20;76.15208037;0.990620621;9.994E-05;0.0513
Café Hôtel Restaurant;Grand Hotel sans restaurant Haut de gamme;Chaudière fioul;Fioul;10.86638917;20;83.76985909;0.55930071;0.03612369;0.074414716
Café Hôtel Restaurant;Hotel d'affaire avec restaurant Luxe;Electrique direct;Electricité;10;13;53.75715729;0.9;0.223336741;0.0774
Café Hôtel Restaurant;Grand restaurant rapide;Chaudière fioul;Fioul;30.89267759;20;179.7045831;0.525688221;0.036462517;0.074414716
Enseignement Recherche;Lycée d’enseignement général et technologique (LEGT);Electrique direct performant;Electricité;12;13;64.12355727;1;9.994E-05;0.0774
Café Hôtel Restaurant;Grand Hotel avec restaurant Haut de gamme;Electrique direct;Electricité;10;13;53.95199348;0.9;0.223491912;0.0774
Enseignement Recherche;Lycée d’enseignement général et technologique (LEGT);PAC performant;Electricité;62.14558805;20;75.89778635;3.340582326;9.994E-05;0.0774
Santé Action Sociale;Cabinet médical;Chaudière fioul;Fioul;6.422596906;20;71.83230301;0.597989184;0.046091378;0.074414716
Commerce;Petit librairie;Electrique direct;Electricité;10;13;79.9906071;0.9;0.24534784;0.0774
Enseignement Recherche;Lycée professionnel (LP);Autre système centralisé performant;Autres;22.96404826;25;76.22742141;0.927415449;9.994E-05;0.015468227
