ID_AGREG;ID;SURFACES
06030103;060301031703040204;185533.3781
06030103;060301031202010206;13599.11532
06030101;060301010801030203;59188.15617
06030104;060301041202030203;52397.56361
04100202;041002021803010206;36364.6167
04100202;041002020801060202;30598.10109
04100202;041002020801040204;126308.8468
04090301;040903010303040204;220675.4146
04100205;041002050801010206;41389.95402
04100202;041002021803090202;10903.34948
06030104;060301041703060202;39081.02717
04100505;041005050801060202;694.11481
04100505;041005050303030203;1221.473077
04090601;040906010303040204;169728.4546
04100405;041004050303010201;7361.780003
04100405;041004051803040204;4975.341812
04090601;040906010801040204;119961.367
04100406;041004061803010201;10767.65088
04100406;041004061202040204;24056.24687
04090601;040906011202060202;6581.249983
04100405;041004050801010206;29540.57974
04100406;041004060801010206;82683.52699
04100505;041005051803060202;291.0655614
04090305;040903051202040204;12700.9364
04100505;041005050303010201;1835.566084
04100505;041005050303090202;503.3002268
04090601;040906011202010206;42392.78827
04100406;041004060801060202;8194.179277
04090301;040903011202060202;10542.64749
06050701;060507010801040204;621397.4517
06050705;060507051202060202;466884.6798
06050705;060507050801060202;502978.5559
04100802;041008020303090202;746302.463
06050702;060507020801040204;202277.741
06050703;060507030801030203;51146.07984
04090601;040906011202040204;57584.84139
06050703;060507031703010201;3485.523651
04091101;040911010303060202;536159.3639
04091105;040911050303040204;1474147.914
04091101;040911010303090202;457504.9286
04091101;040911011803010206;49981.53603
04091105;040911051202090202;19159.47969
04091105;040911050303010201;35955.66555
04091105;040911050801090202;43215.73801
04111005;041110051803060102;38222.51372
04091101;040911010801010206;168953.9045
03060905;030609051102040204;299606.0565
04111005;041110051202040104;767823.0704
04100805;041008051803030203;208466.4329
03060905;030609051703010201;47957.24018
05141305;051413051703030203;1432914.168
03121205;031212051703060202;326700
05141304;051413041703040204;1084083.985
05141304;051413041202010206;35408.08333
05141303;051413030601010201;20004.95557
05141303;051413031202030203;166346.0738
05141303;051413031703060202;343570.4173
02041605;020416050701090202;7578.75
03161505;031615051703010106;3481.061165
02041605;020416050701090102;7106.25
02041605;020416051102040104;29893.75
03161505;031615050701060102;6780.592548
02041605;020416050701040204;93412.5
02041605;020416051102090102;2097.5
02041605;020416050701060202;18946.875
02041605;020416051703010201;32925
03161505;031615050701030103;11585.40255
02041605;020416050701060102;17765.625
02041605;020416050701030203;61218.75
06151401;061514011202010206;42476.95008
06151405;061514051202040204;147307.764
06151405;061514051202030203;84580.78832
03061705;030617051102040104;736500.1262
03061705;030617051703040204;2962737.844
03061705;030617051102040204;1746160.716
03061705;030617051703030203;2341131.22
03061705;030617050701010201;158173.32
03061705;030617050701010101;79480.01448
03061705;030617051703010201;286184.643
03071905;030719051703060102;271643.1173
02182105;021821051703040104;85700.58725
03071905;030719051703060202;1016969.74
02182005;021820050701100102;17039.99778
03071905;030719050701030203;604962.9817
02182105;021821050701100102;6112.925069
02182005;021820051102090202;18054.04357
02182105;021821051703090102;19272.70224
02182005;021820051703010201;25831.16432
03071905;030719050701100102;135480.4766
03242605;032426051703040104;131010.9532
02192305;021923051703090102;29290.95065
03062605;030626051703010201;51706.78546
03242605;032426051102090102;17970.47236
03242605;032426051102030203;77112.11976
03062605;030626051703030103;254164.9843
02182205;021822050701010206;26130.66562
03242605;032426051102010101;5279.965755
03062605;030626051102010201;14859.85928
03242605;032426050701090202;33301.56752
02182205;021822050701100102;30872.31252
03242605;032426051102010201;11098.79982
03242605;032426050701010101;3667.605049
02182205;021822050701030203;170201.9133
02192305;021923051102010206;5310.73418
02192305;021923051703060202;158536.039
02192305;021923050701040204;73970.15896
02182205;021822051703010101;16336.34761
02182205;021822051102060102;47825.23566
02192305;021923051102040204;45938.22117
03242805;032428050701040204;483138.026
03062705;030627051703030103;80511.92283
03062705;030627050701030203;60517.47455
03062705;030627051102010101;3002.424694
03062705;030627051102010201;5341.452298
03242805;032428051102010201;52880.99722
03062705;030627051703040204;240307.3066
02263005;022630051703030203;1369162.5
02262905;022629050701010206;16387.5
03242805;032428051102030103;60931.66949
02262905;022629050701060202;72405
02263005;022630050701060102;254655
02263005;022630050701030103;168287.5
02263005;022630051703010206;340650
02262905;022629050701010101;2612.5
02263005;022630051102010101;5587.5
02263005;022630051102010201;14062.5
06173504;061735040203030203;1034779.527
06173504;061735041202040204;1725506.243
06173404;061734040103060102;125223.9653
06173504;061735040203030103;1034468.107
06173403;061734030103040204;368511.9098
06173503;061735031202090102;79362.96675
06173403;061734030103060102;80487.7767
06173404;061734040103060202;54057.98222
01024205;010242050701040204;2201352.85
01024205;010242051102050202;231327.569
01024203;010242031703050202;2170.344124
01024205;010242051703010206;657458.5336
01024205;010242051703010106;459206.9493
01014203;010142031703010201;24199.73475
01014203;010142031703050102;107399.169
01014203;010142031703040104;216423.038
01014205;010142051703050202;7717.052455
03164105;031641051102100102;152142.8017
03164105;031641051102030203;328495.4768
03164105;031641051102060102;185952.3132
02183705;021837051703060102;13548.9
02183805;021838050701100202;55547.91843
02183805;021838051703040204;388722.105
02183805;021838051703010106;44465.53472
02183805;021838051703030103;125568.6711
03164105;031641050701060102;196250.8022
01014203;010142030701050102;48445.94164
01014201;010142011102040104;103800.4448
01014205;010142050701040204;20104.74199
01014201;010142010701060202;330295.2997
01014201;010142011102030103;60459.28913
01024204;010242040701040104;43941.3707
01014205;010142051102010206;2640.488367
01014203;010142030701030103;35297.27511
01014201;010142011102010201;20043.62929
01024204;010242041703040104;92503.76506
01024204;010242041102040204;58375.58506
01014205;010142050701060202;13396.68288
01014205;010142051703010201;1460.601287
01014202;010142020701060202;8494.740094
01014203;010142030701010201;18693.8129
01014205;010142051703060202;42104.41028
01024201;010242011102040104;1480.881896
01024203;010242031703030203;4328.922594
01014205;010142051703030103;7952.098801
01014205;010142051102040104;7325.990519
01024201;010242011703060202;9499.649531
01024201;010242011703030203;1828.778489
01024405;010244050701060202;2529062.628
01014401;010144011703090102;258000.3915
01024405;010244051102060202;2011426.29
01024405;010244051102030203;825422.7347
01024405;010244051703010201;347229.0877
01014401;010144011102090202;106338.8518
01014401;010144010701060202;480601.2276
01024404;010244040701060202;377245.7037
01014401;010144010701040204;476556.0551
01024405;010244051102010101;41927.85065
01014402;010144020701060202;28837.36578
01024404;010244040701030203;161750.7132
01014401;010144011102010101;6179.741797
01024403;010244031703040204;49753.39791
01014403;010144031102010201;13340.82902
01024404;010244041102030103;33901.34186
01014405;010144050701030103;1032.816913
01024403;010244031703010206;7716.460078
01024401;010244011703010101;202.2873871
01014402;010144021102040204;35344.35682
01024402;010244021102090202;636.1780248
01024505;010245051703030203;1166460.293
01024505;010245050701060202;913842.9694
01024505;010245050701010206;222649.9367
01024505;010245051102010206;61148.36145
01024501;010245010701040204;3728.570461
01024504;010245040701010206;4889.832021
03236305;032363050701040204;134508.227
02046205;020462051703060102;93735
02046205;020462051703030203;182782.5
02046205;020462050701030103;23545
02195705;021957051703010106;13294.38234
03236305;032363051703030103;95029.70224
03236305;032363051102090202;70330.78443
03236305;032363051703060102;99954.84838
02046205;020462050701090202;12945
02195605;021956051703040104;151276.1568
02185505;021855051703060202;297852.3915
02046205;020462050701010106;8880
02046205;020462051102040104;32807.5
02195705;021957050701090102;5581.289023
02195605;021956051102090102;9180.185252
02195705;021957050701060102;13953.22256
02185505;021855051102090202;19247.6519
02195605;021956051102090202;13021.46131
02185505;021855051703100202;178711.4349
02195705;021957051102040104;14320.68212
01024504;010245041102030203;8021.976687
04104605;041046051202040204;3667.580637
04104602;041046021202060202;2135.485167
04104806;041048060303010206;17507.21505
04104705;041047050303010206;12003.11028
04104805;041048050303060202;250.8284288
04104705;041047050303010201;4474.3244
02185305;021853051703040104;168756.6397
02185405;021854051703100102;188145.872
05225201;052252011202010106;2706.25
05225201;052252011202030203;205881.3011
05225201;052252011603030103;288604.8855
05225204;052252041001090202;81113.13518
02185305;021853050701030203;19519.46363
02185305;021853051703040204;295942.6924
05215101;052151011603010206;34997.5
02185305;021853050701030103;8659.472935
02185405;021854050701060202;114377.4276
05225204;052252041603030203;1182350.108
05225201;052252010901060202;178005.3417
05225204;052252040901090102;13956.73056
05225204;052252041001060102;95523.19774
05225204;052252041001060202;396507.9562
05225201;052252010403040104;54812.56667
05225204;052252041603010101;22706.72139
05215104;052151041202060102;2046.5
05225201;052252011202030103;46973.26957
05215101;052151010901040204;308390.5208
05225201;052252011001090202;44749.0225
05225204;052252041603010206;98874.79489
05215101;052151011001010101;3777.916667
