"scenario";"annee";"surface";"surface_lag";"raccordement"
"AME";"2009";58867122.3569;0;58867122.3569
"AME";"2010";57480692.5819;58867122.3569;-1386429.775
"AME";"2011";55940728.1238;57480692.5819;-1539964.45810001
"AME";"2012";54846998.2449;55940728.1238;-1093729.87889999
"AME";"2013";53967817.4953;54846998.2449;-879180.749600008
"AME";"2014";52282457.3399;53967817.4953;-1685360.15539999
"AME";"2015";50705880.4711;52282457.3399;-1576576.8688
"AME";"2016";49553032.4445;50705880.4711;-1152848.0266
"AME";"2017";48624546.3056;49553032.4445;-928486.138899997
"AME";"2018";48414417.1188;48624546.3056;-210129.186800003
"AME";"2019";48681390.4244;48414417.1188;266973.305599995
"AME";"2020";49591978.2832;48681390.4244;910587.858800009
"AME";"2021";48744791.7295;49591978.2832;-847186.553700007
"AME";"2022";48022456.9396;48744791.7295;-722334.789899997
"AME";"2023";47601838.4374;48022456.9396;-420618.5022
"AME";"2024";47443467.922;47601838.4374;-158370.5154
"AME";"2025";47496990.7167;47443467.922;53522.7947000042
"AME";"2026";47679427.217;47496990.7167;182436.500299998
"AME";"2027";47986721.3715;47679427.217;307294.1545
"AME";"2028";48307431.377;47986721.3715;320710.005499996
"AME";"2029";48624576.8541;48307431.377;317145.4771
"AME";"2030";49147564.5846;48624576.8541;522987.730500005
"AME";"2031";49221387.806;49147564.5846;73823.2213999927
"AME";"2032";48895412.0866;49221387.806;-325975.719399996
"AME";"2033";48683399.2287;48895412.0866;-212012.857900001
"AME";"2034";48823008.02;48683399.2287;139608.791299999
"AME";"2035";50587951.1943;48823008.02;1764943.1743
"AME";"2036";51932115.4848;50587951.1943;1344164.2905
"AME";"2037";52659465.6227;51932115.4848;727350.137900002
"AME";"2038";53016482.6963;52659465.6227;357017.073600002
"AME";"2039";53685800.0105;53016482.6963;669317.314199999
"AME";"2040";54072977.1598;53685800.0105;387177.149300002
"AME";"2041";54087625.7358;54072977.1598;14648.576000005
"AME";"2042";53954232.4468;54087625.7358;-133393.289000005
"AME";"2043";53290404.9555;53954232.4468;-663827.491300002
"AME";"2044";52244003.2196;53290404.9555;-1046401.7359
"AME";"2045";50576513.0119;52244003.2196;-1667490.2077
"AME";"2046";50225445.8285;50576513.0119;-351067.183399998
"AME";"2047";49744930.5864;50225445.8285;-480515.2421
"AME";"2048";48937040.6853;49744930.5864;-807889.901099995
"AME";"2049";47818838.8957;48937040.6853;-1118201.78960001
"AME";"2050";46547815.7271;47818838.8957;-1271023.1686
"AMS1";"2009";58867122.3569;0;58867122.3569
"AMS1";"2010";57464867.1353;58867122.3569;-1402255.2216
"AMS1";"2011";56007429.2909;57464867.1353;-1457437.8444
"AMS1";"2012";55127599.1941;56007429.2909;-879830.096799999
"AMS1";"2013";54668574.712;55127599.1941;-459024.482100002
"AMS1";"2014";53246486.5029;54668574.712;-1422088.2091
"AMS1";"2015";51747402.3868;53246486.5029;-1499084.1161
"AMS1";"2016";51330170.987;51747402.3868;-417231.399800003
"AMS1";"2017";51234662.6539;51330170.987;-95508.3330999985
"AMS1";"2018";53087393.29;51234662.6539;1852730.6361
"AMS1";"2019";55895659.5911;53087393.29;2808266.30110001
"AMS1";"2020";60262726.1961;55895659.5911;4367066.605
"AMS1";"2021";65558322.2388;60262726.1961;5295596.0427
"AMS1";"2022";71327897.5923;65558322.2388;5769575.35349999
"AMS1";"2023";78066826.3653;71327897.5923;6738928.773
"AMS1";"2024";85711215.6689;78066826.3653;7644389.3036
"AMS1";"2025";93728995.914;85711215.6689;8017780.24510001
"AMS1";"2026";102212064.4667;93728995.914;8483068.5527
"AMS1";"2027";110786009.2007;102212064.4667;8573944.734
"AMS1";"2028";118893015.3732;110786009.2007;8107006.1725
"AMS1";"2029";126899746.5775;118893015.3732;8006731.2043
"AMS1";"2030";136196467.407;126899746.5775;9296720.8295
"AMS1";"2031";144811876.1928;136196467.407;8615408.78579998
"AMS1";"2032";152475638.062;144811876.1928;7663761.86920002
"AMS1";"2033";161280752.8031;152475638.062;8805114.74109998
"AMS1";"2034";171183978.9134;161280752.8031;9903226.1103
"AMS1";"2035";183438246.4563;171183978.9134;12254267.5429
"AMS1";"2036";194391201.916;183438246.4563;10952955.4597
"AMS1";"2037";204531984.176;194391201.916;10140782.26
"AMS1";"2038";214499993.1482;204531984.176;9968008.97219998
"AMS1";"2039";223985277.9716;214499993.1482;9485284.82340002
"AMS1";"2040";232568409.3616;223985277.9716;8583131.39000002
"AMS1";"2041";239297513.2;232568409.3616;6729103.83839998
"AMS1";"2042";245391503.2058;239297513.2;6093990.00580001
"AMS1";"2043";250509245.9446;245391503.2058;5117742.73880002
"AMS1";"2044";254452988.0395;250509245.9446;3943742.09489998
"AMS1";"2045";256816919.3661;254452988.0395;2363931.32660002
"AMS1";"2046";257808685.4488;256816919.3661;991766.082699984
"AMS1";"2047";257938875.4076;257808685.4488;130189.958799988
"AMS1";"2048";257456569.2268;257938875.4076;-482306.180799991
"AMS1";"2049";256415420.8338;257456569.2268;-1041148.39300001
"AMS1";"2050";255273967.2747;256415420.8338;-1141453.55909997
"AMS2";"2009";58867122.3569;0;58867122.3569
"AMS2";"2010";57480692.5819;58867122.3569;-1386429.775
"AMS2";"2011";55982815.4047;57480692.5819;-1497877.1772
"AMS2";"2012";54924092.0729;55982815.4047;-1058723.3318
"AMS2";"2013";54172900.735;54924092.0729;-751191.337900005
"AMS2";"2014";52578800.8893;54172900.735;-1594099.8457
"AMS2";"2015";51212777.8821;52578800.8893;-1366023.0072
"AMS2";"2016";50393521.7626;51212777.8821;-819256.119500004
"AMS2";"2017";49824972.8967;50393521.7626;-568548.865899995
"AMS2";"2018";50323900.7217;49824972.8967;498927.825000003
"AMS2";"2019";51452926.5269;50323900.7217;1129025.8052
"AMS2";"2020";53521955.0347;51452926.5269;2069028.50780001
"AMS2";"2021";56363884.408;53521955.0347;2841929.37329999
"AMS2";"2022";59662831.018;56363884.408;3298946.60999999
"AMS2";"2023";63487668.0321;59662831.018;3824837.01410001
"AMS2";"2024";67882476.9254;63487668.0321;4394808.8933
"AMS2";"2025";72576782.6507;67882476.9254;4694305.7253
"AMS2";"2026";76982409.7335;72576782.6507;4405627.0828
"AMS2";"2027";81661209.0903;76982409.7335;4678799.3568
"AMS2";"2028";86080670.0176;81661209.0903;4419460.92729999
"AMS2";"2029";90316726.823;86080670.0176;4236056.8054
"AMS2";"2030";95467282.8075;90316726.823;5150555.98450001
"AMS2";"2031";99754056.7312;95467282.8075;4286773.92369999
"AMS2";"2032";103457342.3454;99754056.7312;3703285.61420001
"AMS2";"2033";107571267.1556;103457342.3454;4113924.81019999
"AMS2";"2034";111302294.2876;107571267.1556;3731027.132
"AMS2";"2035";117276077.6538;111302294.2876;5973783.3662
"AMS2";"2036";122451871.5733;117276077.6538;5175793.91950001
"AMS2";"2037";127016746.6568;122451871.5733;4564875.08350001
"AMS2";"2038";130918118.8779;127016746.6568;3901372.22109997
"AMS2";"2039";134470380.7301;130918118.8779;3552261.85219999
"AMS2";"2040";137309963.0652;134470380.7301;2839582.33510002
"AMS2";"2041";139051030.5817;137309963.0652;1741067.5165
"AMS2";"2042";140084285.0379;139051030.5817;1033254.4562
"AMS2";"2043";139983379.4141;140084285.0379;-100905.623800009
"AMS2";"2044";139102733.1258;139983379.4141;-880646.288299978
"AMS2";"2045";137253913.3981;139102733.1258;-1848819.72770002
"AMS2";"2046";134693130.9377;137253913.3981;-2560782.46039999
"AMS2";"2047";131705928.5003;134693130.9377;-2987202.43740001
"AMS2";"2048";128391876.9952;131705928.5003;-3314051.50509998
"AMS2";"2049";124687695.448;128391876.9952;-3704181.54719999
"AMS2";"2050";120807265.103;124687695.448;-3880430.34500001
