COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;USAGE;COD_SYSTEME_CHAUD;COD_ENERGIE;CONSO_TOT;BESOIN_TOT
02;2034;07;Chauffage;04;04;507507.297;349933.4453
02;2034;07;Chauffage;06;02;3291671.1739999996;3028337.4466
02;2034;07;Chauffage;09;02;4988359.9934;14855733.143000003
02;2034;07;Chauffage;10;02;6691498.066899999;18742732.729
02;2034;07;Chauffage;21;01;533189.4974;443090.75320000004
02;2034;07;Chauffage;21;06;815451.9611000002;651825.4497
02;2034;07;Chauffage;24;04;1286129.2292000002;1270046.4333000001
02;2034;07;Chauffage;26;02;3780766.4521999992;3780766.3048
02;2034;07;Chauffage;29;02;2183586.9814999998;7523074.281800001
02;2034;07;Chauffage;30;02;2822184.748900001;9316807.342600001
02;2035;01;Chauffage;01;01;10239259.316500003;7401271.3829
02;2035;01;Chauffage;01;06;22303671.296000004;15298242.7263
02;2035;01;Chauffage;03;03;91249228.14609997;51705074.3347
02;2035;01;Chauffage;04;04;124267638.6208;84719066.1993
02;2035;01;Chauffage;06;02;44540811.63300001;40977545.6577
02;2035;01;Chauffage;09;02;52238274.39919999;155565627.97649997
02;2035;01;Chauffage;10;02;172709494.9423;483709370.4721
02;2035;01;Chauffage;24;04;31312636.834499996;31011253.5597
02;2035;01;Chauffage;26;02;13535907.351100001;13535907.425899997
02;2035;01;Chauffage;29;02;27838649.623800002;95909715.82650001
02;2035;01;Chauffage;30;02;32540016.6852;107411730.38640001
02;2035;02;Chauffage;01;01;5065359.210100001;3655201.6255999994
02;2035;02;Chauffage;01;06;10287274.4754;7007119.983199999
02;2035;02;Chauffage;03;03;45999630.609500006;26155565.500400003
02;2035;02;Chauffage;04;04;64657389.97339998;44140850.6844
02;2035;02;Chauffage;06;02;23903673.4005;21991379.779000003
02;2035;02;Chauffage;09;02;22767530.214799993;67801785.99769999
02;2035;02;Chauffage;10;02;97556955.08600003;273229762.5733
02;2035;02;Chauffage;24;04;20643650.698099997;20445069.1679
02;2035;02;Chauffage;26;02;5175963.200899999;5175963.208000001
02;2035;02;Chauffage;29;02;10684948.058999997;36811782.887600005
02;2035;02;Chauffage;30;02;18782810.588000003;62000680.8102
02;2035;03;Chauffage;01;01;34759558.60310001;25116128.6602
02;2035;03;Chauffage;01;06;97062924.59669998;67101256.119699985
02;2035;03;Chauffage;03;03;347548942.95909995;196921364.0388
02;2035;03;Chauffage;04;04;486010177.0236001;331473203.1208
02;2035;03;Chauffage;06;02;172600320.97100005;158792295.17080003
02;2035;03;Chauffage;09;02;204122754.98299995;607884672.4439
02;2035;03;Chauffage;10;02;678168473.2506999;1899517649.2131
02;2035;03;Chauffage;24;04;105480913.48939998;104451987.3426
02;2035;03;Chauffage;26;02;48315724.8576;48315724.89309999
02;2035;03;Chauffage;29;02;114658165.91239998;395020367.63289994
02;2035;03;Chauffage;30;02;122702317.56010002;405076304.2729
02;2035;04;Chauffage;01;01;1930524.2293999996;1407059.5193
02;2035;04;Chauffage;01;06;765633.4772;536487.9692
02;2035;04;Chauffage;03;03;322077.9793;184493.0005
02;2035;04;Chauffage;04;04;18026596.516499992;12401953.3829
02;2035;04;Chauffage;06;02;5669641.082800002;5216069.919
02;2035;04;Chauffage;09;02;20205152.2262;60172506.79009999
02;2035;04;Chauffage;10;02;22844146.9486;63985088.324
02;2035;04;Chauffage;21;01;398983.0490000001;336418.34010000003
02;2035;04;Chauffage;21;06;519432.1201;419937.5091
02;2035;04;Chauffage;23;03;1656132.2852000003;1254333.2283
02;2035;04;Chauffage;24;04;26543294.292500008;26209046.6161
02;2035;04;Chauffage;26;02;8032597.208299996;8032597.2336
02;2035;04;Chauffage;29;02;11123615.934699995;38323966.360300004
02;2035;04;Chauffage;30;02;12222356.496;40348840.4895
02;2035;05;Chauffage;01;01;2318765.9492;1676150.4945
02;2035;05;Chauffage;01;06;2126330.0554;1475903.3396
02;2035;05;Chauffage;03;03;5189920.457300004;2970264.9785
02;2035;05;Chauffage;04;04;14141488.344700001;9729949.1835
02;2035;05;Chauffage;06;02;7035574.594600001;6472728.3949
02;2035;05;Chauffage;09;02;9277650.798700001;27629357.141100004
02;2035;05;Chauffage;10;02;9696881.107400004;27160624.442500003
02;2035;05;Chauffage;21;01;508807.3115;425785.0268
02;2035;05;Chauffage;21;06;1242644.4789;998356.1544
02;2035;05;Chauffage;23;03;8206131.7831999995;6215729.0287
02;2035;05;Chauffage;24;04;12374018.712000001;12219976.3098
02;2035;05;Chauffage;26;02;8101583.160299998;8101582.9121
02;2035;05;Chauffage;29;02;3926636.8992;13528270.604700003
02;2035;05;Chauffage;30;02;3853657.848300001;12721909.9587
02;2035;06;Chauffage;01;01;3343749.1646999996;2411556.9229
02;2035;06;Chauffage;01;06;2962369.4765000003;2053343.8873000003
02;2035;06;Chauffage;03;03;652778.4789000001;374143.99869999994
02;2035;06;Chauffage;04;04;7481628.509199998;5149220.926100001
02;2035;06;Chauffage;06;02;9137959.062400002;8406922.485700002
02;2035;06;Chauffage;09;02;12528323.2442;37310244.39989999
02;2035;06;Chauffage;10;02;15614793.764400005;43736686.9911
02;2035;06;Chauffage;21;01;1314212.644;1092578.9548
02;2035;06;Chauffage;21;06;1932491.4379999996;1545350.8265
02;2035;06;Chauffage;23;03;2310271.7030999996;1750142.2631
02;2035;06;Chauffage;24;04;8812288.688800002;8703187.1016
02;2035;06;Chauffage;26;02;10544032.300800001;10544032.116299998
02;2035;06;Chauffage;29;02;5380673.287299998;18537893.542999998
02;2035;06;Chauffage;30;02;6407342.288499999;21152391.7316
02;2035;07;Chauffage;01;01;1576070.2698000004;1135587.3074999999
02;2035;07;Chauffage;01;06;1516250.4215000002;1049405.3635
02;2035;07;Chauffage;04;04;582229.0784;401497.0291
02;2035;07;Chauffage;06;02;4080714.4486000016;3754257.3800999997
02;2035;07;Chauffage;09;02;6248932.9969999995;18609821.082999997
02;2035;07;Chauffage;10;02;8395039.9157;23514310.6941
02;2035;07;Chauffage;21;01;664527.4914999999;552238.9224999999
02;2035;07;Chauffage;21;06;1020191.0349000002;815496.8729
02;2035;07;Chauffage;24;04;1539399.1593;1520138.0044
02;2035;07;Chauffage;26;02;4692184.414499999;4692184.5773
02;2035;07;Chauffage;29;02;2740173.6721999994;9440673.499200001
02;2035;07;Chauffage;30;02;3547959.7966;11712789.0693
02;2036;01;Chauffage;01;01;8710135.451499997;6295979.7693
02;2036;01;Chauffage;01;06;18866404.523999996;12937926.116099998
02;2036;01;Chauffage;03;03;77812134.3075;44091077.05859999
02;2036;01;Chauffage;04;04;105615634.02090003;72002272.60580002
02;2036;01;Chauffage;06;02;38837325.21439999;35730338.7801
02;2036;01;Chauffage;09;02;53483765.61910001;159274692.8797
02;2036;01;Chauffage;10;02;174929626.7923;489927332.2513
02;2036;01;Chauffage;24;04;31018998.853400003;30720592.3863
02;2036;01;Chauffage;26;02;14165872.9685;14165872.888100002
02;2036;01;Chauffage;29;02;29062049.959500004;100124575.9089
02;2036;01;Chauffage;30;02;34110059.2474;112594313.09279999
02;2036;02;Chauffage;01;01;4318518.6441;3116296.0971999997
02;2036;02;Chauffage;01;06;8745386.7576;5956604.8478
02;2036;02;Chauffage;03;03;39215789.8799;22298218.458100002
02;2036;02;Chauffage;04;04;54989921.91759999;37541111.2941
02;2036;02;Chauffage;06;02;20655411.90749999;19002978.9843
02;2036;02;Chauffage;09;02;23274750.6416;69312276.4532
02;2036;02;Chauffage;10;02;98955711.01009996;277147296.59440005
02;2036;02;Chauffage;24;04;20462661.99;20265846.8711
02;2036;02;Chauffage;26;02;5427642.3799;5427642.401099999
02;2036;02;Chauffage;29;02;11204774.3016;38602688.48949999
02;2036;02;Chauffage;30;02;19711192.534099996;65065204.2149
02;2036;03;Chauffage;01;01;29468860.216100007;21293362.086900003
02;2036;03;Chauffage;01;06;82215837.3104;56832573.9825
02;2036;03;Chauffage;03;03;296361392.27729994;167918223.41099998
02;2036;03;Chauffage;04;04;412562464.9519999;281376840.7311
02;2036;03;Chauffage;06;02;150246427.4161;138226716.0794
02;2036;03;Chauffage;09;02;209163838.43019992;622896953.3362
02;2036;03;Chauffage;10;02;685455827.9638999;1919930770.9709003
02;2036;03;Chauffage;24;04;104524146.2869;103504989.9245
02;2036;03;Chauffage;26;02;50414440.546;50414440.6577
02;2036;03;Chauffage;29;02;119786713.86290002;412689434.33959997
02;2036;03;Chauffage;30;02;129218878.96380004;426589292.4330001
02;2036;04;Chauffage;01;01;1897101.4838999996;1382823.5814
02;2036;04;Chauffage;01;06;747494.2141999999;523809.41890000005
02;2036;04;Chauffage;03;03;299405.1713;171523.5869
02;2036;04;Chauffage;04;04;17542212.0082;12069029.394700002
02;2036;04;Chauffage;06;02;5527163.292500001;5084990.2408
02;2036;04;Chauffage;09;02;20102399.408400003;59866506.18790001
02;2036;04;Chauffage;10;02;22721892.8794;63642678.108899996
02;2036;04;Chauffage;21;01;394547.0729000001;332721.62730000005
02;2036;04;Chauffage;21;06;508343.2184999999;410994.6206
02;2036;04;Chauffage;23;03;1561515.4886999999;1182727.8990000002
02;2036;04;Chauffage;24;04;26027987.2428;25700470.775000002
02;2036;04;Chauffage;26;02;7846643.0713;7846643.225800001
02;2036;04;Chauffage;29;02;11074699.527099997;38155438.18970001
02;2036;04;Chauffage;30;02;12164700.664800001;40158517.5964
02;2036;05;Chauffage;01;01;2313064.0807;1672022.0219
02;2036;05;Chauffage;01;06;2120084.6368;1471559.0493
02;2036;05;Chauffage;03;03;5079413.3701;2907110.6358
02;2036;05;Chauffage;04;04;14064441.2085;9677009.435300002
02;2036;05;Chauffage;06;02;7011753.610799998;6450813.2006
02;2036;05;Chauffage;09;02;9258817.5895;27573271.7158
02;2036;05;Chauffage;10;02;9676916.234100003;27104704.277100004
02;2036;05;Chauffage;21;01;507833.20110000006;424969.8683
02;2036;05;Chauffage;21;06;1239607.2259000002;995912.7278
02;2036;05;Chauffage;23;03;8121340.546199996;6151543.319200001
02;2036;05;Chauffage;24;04;12331287.236600002;12177799.182400001
02;2036;05;Chauffage;26;02;8076611.586600002;8076611.257599999
02;2036;05;Chauffage;29;02;3918847.6914000004;13501434.876600001
02;2036;05;Chauffage;30;02;3845924.468100001;12696380.241699997
02;2036;06;Chauffage;01;01;3337347.542099999;2406939.9706
02;2036;06;Chauffage;01;06;2956697.9291000008;2049412.7278
02;2036;06;Chauffage;03;03;651528.7187999999;373427.6974
02;2036;06;Chauffage;04;04;7467304.735799999;5139362.6896
02;2036;06;Chauffage;06;02;9120464.666199999;8390827.279900001
02;2036;06;Chauffage;09;02;12504337.567299994;37238813.6128
02;2036;06;Chauffage;10;02;15584898.754799997;43652952.5755
02;2036;06;Chauffage;21;01;1311696.5462000002;1090487.1936
02;2036;06;Chauffage;21;06;1928791.5826000005;1542392.2255000002
02;2036;06;Chauffage;23;03;2305848.7731000003;1746791.6072999998
02;2036;06;Chauffage;24;04;8795417.433999998;8686524.7707
02;2036;06;Chauffage;26;02;10523845.3255;10523845.392099999
02;2036;06;Chauffage;29;02;5370371.844799995;18502402.585300002
02;2036;06;Chauffage;30;02;6395075.296;21111895.2352
02;2036;07;Chauffage;01;01;1881484.7376999995;1355670.3982000002
02;2036;07;Chauffage;01;06;1825780.1889000004;1263662.017
02;2036;07;Chauffage;04;04;593000.0817000002;409049.5207
02;2036;07;Chauffage;06;02;4858860.1254;4470151.25
02;2036;07;Chauffage;09;02;7515969.010300001;22383157.0597
02;2036;07;Chauffage;10;02;10114340.659099998;28330026.832200002
02;2036;07;Chauffage;21;01;778709.2640000002;647446.7568000001
02;2036;07;Chauffage;21;06;1237242.1334999998;988608.5218999999
02;2036;07;Chauffage;24;04;1768504.0637999997;1746365.1839
02;2036;07;Chauffage;26;02;5592797.114100001;5592797.1819
02;2036;07;Chauffage;29;02;3301473.2728000004;11374510.139600001
02;2036;07;Chauffage;30;02;4283400.348300001;14140677.215
02;2037;01;Chauffage;01;01;7210483.4569999995;5212035.5547
02;2037;01;Chauffage;01;06;15550532.6945;10663667.7067
02;2037;01;Chauffage;03;03;64508395.40869999;36552651.605399996
02;2037;01;Chauffage;04;04;87338764.78209998;59541722.5099
02;2037;01;Chauffage;06;02;33251780.7253;30591638.7013
02;2037;01;Chauffage;09;02;54691294.27420001;162870708.56790003
02;2037;01;Chauffage;10;02;177106439.9888;496023956.13280004
02;2037;01;Chauffage;24;04;30745672.022600003;30450018.3046
02;2037;01;Chauffage;26;02;14773960.092400001;14773960.1499
02;2037;01;Chauffage;29;02;30284936.6538;104337663.994
02;2037;01;Chauffage;30;02;35652143.862399995;117684623.5423
02;2037;02;Chauffage;01;01;3577737.7923000003;2581756.6449
02;2037;02;Chauffage;01;06;7197205.993600001;4902100.1790000005
02;2037;02;Chauffage;03;03;32511258.64899999;18485999.5141
02;2037;02;Chauffage;04;04;45493022.14669999;31057670.827699997
02;2037;02;Chauffage;06;02;17463147.617;16066095.931799997
02;2037;02;Chauffage;09;02;23761671.2767;70762314.30649999
02;2037;02;Chauffage;10;02;100338653.61339998;281020542.5596
02;2037;02;Chauffage;24;04;20285613.090800002;20090548.822899997
02;2037;02;Chauffage;26;02;5668561.0040000025;5668561.0115
02;2037;02;Chauffage;29;02;11732203.067499999;40419785.8107
02;2037;02;Chauffage;30;02;20616653.025499996;68054067.2728
02;2037;03;Chauffage;01;01;24338764.1359;17586646.8943
02;2037;03;Chauffage;01;06;67684254.6751;46786151.5862
02;2037;03;Chauffage;03;03;245696033.8054;139210975.78379998
02;2037;03;Chauffage;04;04;340437021.3859001;232183345.6692
02;2037;03;Chauffage;06;02;128400636.81670003;118128585.93370001
02;2037;03;Chauffage;09;02;214092939.63640004;637575711.1740001
02;2037;03;Chauffage;10;02;692516105.1414;1939707812.7313
02;2037;03;Chauffage;24;04;103604596.84359998;102594892.18810001
02;2037;03;Chauffage;26;02;52484298.64580002;52484298.6835
02;2037;03;Chauffage;29;02;124947424.16209996;430469497.63550013
02;2037;03;Chauffage;30;02;135559809.71279997;447522411.95010006
02;2037;04;Chauffage;01;01;1869029.8312999997;1362469.0132
02;2037;04;Chauffage;01;06;735208.637;515221.6692
02;2037;04;Chauffage;03;03;292486.9872;167560.794
02;2037;04;Chauffage;04;04;17172303.5;11814731.7818
02;2037;04;Chauffage;06;02;5405315.636099999;4972890.3512
02;2037;04;Chauffage;09;02;20001126.572800003;59564912.238199994
02;2037;04;Chauffage;10;02;22602068.9778;63307078.541099995
02;2037;04;Chauffage;21;01;390430.2007;329290.2141
02;2037;04;Chauffage;21;06;499880.8883;404169.24100000004
02;2037;04;Chauffage;23;03;1521600.8131;1152508.8329999999
02;2037;04;Chauffage;24;04;25573472.297399994;25251860.367900003
02;2037;04;Chauffage;26;02;7688031.839400001;7688031.881100001
02;2037;04;Chauffage;29;02;11026247.542100007;37988508.918800004
02;2037;04;Chauffage;30;02;12108089.742299998;39971642.72360001
02;2037;05;Chauffage;01;01;2306097.8507000003;1666971.0485
02;2037;05;Chauffage;01;06;2110979.7607;1465217.8862
02;2037;05;Chauffage;03;03;4912890.835;2811943.5366999996
02;2037;05;Chauffage;04;04;13940937.744899997;9592164.1623
02;2037;05;Chauffage;06;02;6977807.145299999;6419582.5483
02;2037;05;Chauffage;09;02;9238899.0777;27513953.6267
02;2037;05;Chauffage;10;02;9655496.6307;27044708.437700003
02;2037;05;Chauffage;21;01;506791.97599999997;424098.94110000005
02;2037;05;Chauffage;21;06;1235374.3591000002;992509.7831
02;2037;05;Chauffage;23;03;7982875.844299997;6046729.3579
02;2037;05;Chauffage;24;04;12270313.244300002;12117625.425199999
02;2037;05;Chauffage;26;02;8042226.624700002;8042226.607800001
02;2037;05;Chauffage;29;02;3910789.719899999;13473673.007299999
02;2037;05;Chauffage;30;02;3837797.811800001;12669552.094299998
02;2037;06;Chauffage;01;01;3330958.123400002;2402331.8808
02;2037;06;Chauffage;01;06;2951037.378799999;2045489.1295000003
02;2037;06;Chauffage;03;03;650281.3731;372712.7737
02;2037;06;Chauffage;04;04;7453008.568899999;5129523.3448
02;2037;06;Chauffage;06;02;9103003.409600003;8374763.063700001
02;2037;06;Chauffage;09;02;12480397.941499995;37167519.3224
02;2037;06;Chauffage;10;02;15555061.774899997;43569378.77990001
02;2037;06;Chauffage;21;01;1309185.3155;1088399.4574
02;2037;06;Chauffage;21;06;1925098.9224000003;1539439.3180999998
02;2037;06;Chauffage;23;03;2301434.1152999997;1743447.3696999997
02;2037;06;Chauffage;24;04;8778578.659700003;8669894.3402
02;2037;06;Chauffage;26;02;10503697.481200002;10503697.5033
02;2037;06;Chauffage;29;02;5360090.375600001;18466979.423400003
02;2037;06;Chauffage;30;02;6382831.848999999;21071476.393799998
02;2037;07;Chauffage;01;01;2183067.2238;1572997.0066
02;2037;07;Chauffage;01;06;2140407.0426000003;1481442.5296
02;2037;07;Chauffage;04;04;602219.3030000001;415517.44519999996
02;2037;07;Chauffage;06;02;5618077.128500001;5168630.8972
02;2037;07;Chauffage;09;02;8787686.229999999;26170433.9561
02;2037;07;Chauffage;10;02;11843243.388400003;33172635.167900007
02;2037;07;Chauffage;21;01;888605.2724;739209.2760999999
02;2037;07;Chauffage;21;06;1458151.2585;1164793.4228
02;2037;07;Chauffage;24;04;1974069.4420000007;1949344.6564999998
02;2037;07;Chauffage;26;02;6478236.4814;6478236.650300001
02;2037;07;Chauffage;29;02;3866881.8134000003;13322503.121
02;2037;07;Chauffage;30;02;5026014.682999998;16592247.203300001
02;2038;01;Chauffage;01;01;5730561.72;4142325.1288999994
02;2038;01;Chauffage;01;06;12212710.662099998;8373684.3683
02;2038;01;Chauffage;03;03;51329961.61059999;29085202.5713
02;2038;01;Chauffage;04;04;69386080.43010001;47302252.942600004
02;2038;01;Chauffage;06;02;27844396.715900004;25616845.0477
02;2038;01;Chauffage;09;02;55951687.9578;166624152.4584
02;2038;01;Chauffage;10;02;179198240.52529997;501882485.81200004
02;2038;01;Chauffage;24;04;30486681.94;30193634.3956
02;2038;01;Chauffage;26;02;15372784.1234;15372784.098000003
02;2038;01;Chauffage;29;02;31487915.715800002;108482166.29280001
02;2038;01;Chauffage;30;02;37143338.5345;122606950.02510002
02;2038;02;Chauffage;01;01;2846838.1678999993;2054335.7166
02;2038;02;Chauffage;01;06;5618836.653499999;3823805.8362
02;2038;02;Chauffage;03;03;25867418.018699992;14708276.6468
02;2038;02;Chauffage;04;04;36142441.1418;24673971.2002
02;2038;02;Chauffage;06;02;14370627.510700004;13220977.2451
