"scenario";"annee";"surface";"surface_lag";"raccordement"
"AME";"2009";56476789.6076;0;56476789.6076
"AME";"2010";54501911.4817;56476789.6076;-1974878.12590001
"AME";"2011";52472724.1478;54501911.4817;-2029187.3339
"AME";"2012";50498054.3238;52472724.1478;-1974669.824
"AME";"2013";48702004.1649;50498054.3238;-1796050.15889999
"AME";"2014";46756170.3889;48702004.1649;-1945833.77600001
"AME";"2015";44817783.3616;46756170.3889;-1938387.02729999
"AME";"2016";42980220.9634;44817783.3616;-1837562.39820001
"AME";"2017";41267079.417;42980220.9634;-1713141.5464
"AME";"2018";39700446.3016;41267079.417;-1566633.1154
"AME";"2019";38242685.7235;39700446.3016;-1457760.5781
"AME";"2020";36837704.0693;38242685.7235;-1404981.6542
"AME";"2021";34958024.4446;36837704.0693;-1879679.6247
"AME";"2022";33116209.5399;34958024.4446;-1841814.9047
"AME";"2023";31373824.7977;33116209.5399;-1742384.7422
"AME";"2024";29737007.0128;31373824.7977;-1636817.7849
"AME";"2025";28172820.6779;29737007.0128;-1564186.3349
"AME";"2026";26667755.7571;28172820.6779;-1505064.9208
"AME";"2027";25255222.5343;26667755.7571;-1412533.2228
"AME";"2028";23966657.1172;25255222.5343;-1288565.4171
"AME";"2029";22792115.9574;23966657.1172;-1174541.1598
"AME";"2030";21658996.0643;22792115.9574;-1133119.8931
"AME";"2031";20531341.5098;21658996.0643;-1127654.5545
"AME";"2032";19465245.2022;20531341.5098;-1066096.3076
"AME";"2033";18443861.8033;19465245.2022;-1021383.3989
"AME";"2034";17485072.4736;18443861.8033;-958789.329700001
"AME";"2035";18019620.4374;17485072.4736;534547.963800002
"AME";"2036";18529421.5453;18019620.4374;509801.107899997
"AME";"2037";18930387.8151;18529421.5453;400966.2698
"AME";"2038";19184937.5798;18930387.8151;254549.764700003
"AME";"2039";19698344.2479;19184937.5798;513406.668099996
"AME";"2040";20274057.9745;19698344.2479;575713.726600002
"AME";"2041";20649136.8392;20274057.9745;375078.864700001
"AME";"2042";20955943.4072;20649136.8392;306806.568
"AME";"2043";21113197.5209;20955943.4072;157254.113699999
"AME";"2044";21186017.7521;21113197.5209;72820.2311999984
"AME";"2045";21266947.024;21186017.7521;80929.2719000019
"AME";"2046";21813941.8585;21266947.024;546994.8345
"AME";"2047";22405486.9169;21813941.8585;591545.058400001
"AME";"2048";22934175.3813;22405486.9169;528688.464399997
"AME";"2049";23420086.4523;22934175.3813;485911.071000002
"AME";"2050";23881186.6884;23420086.4523;461100.236099999
"AMS2";"2009";56476789.6076;0;56476789.6076
"AMS2";"2010";54501911.4814;56476789.6076;-1974878.12620001
"AMS2";"2011";52528211.0497;54501911.4814;-1973700.4317
"AMS2";"2012";50637194.0915;52528211.0497;-1891016.9582
"AMS2";"2013";48967131.6114;50637194.0915;-1670062.48009999
"AMS2";"2014";47445008.0047;48967131.6114;-1522123.60670001
"AMS2";"2015";46033380.5996;47445008.0047;-1411627.4051
"AMS2";"2016";45709856.6768;46033380.5996;-323523.922799997
"AMS2";"2017";46395963.9512;45709856.6768;686107.274400003
"AMS2";"2018";49287093.441;46395963.9512;2891129.4898
"AMS2";"2019";52439594.2891;49287093.441;3152500.84810001
"AMS2";"2020";55974440.9452;52439594.2891;3534846.6561
"AMS2";"2021";59375031.0338;55974440.9452;3400590.08859999
"AMS2";"2022";63087734.0603;59375031.0338;3712703.0265
