BRANCHE;BAT_TYPE;USAGE;Etat de référence RT2000;2010-2015;2015-2020;2020-2030;2030-2040;2040-2050
Bureaux Administration;immeuble peri urbain;Chauffage;44.23;30.96;15.48;1.55;1.55;1.55
Bureaux Administration;immeuble rénové;Chauffage;24.75;17.32;8.66;0.87;0.87;0.87
Bureaux Administration;immeuble résidentiel;Chauffage;155.94;109.16;54.58;5.46;5.46;5.46
Bureaux Administration;plateau large bureau paysagés;Chauffage;44.01;30.81;15.40;1.54;1.54;1.54
Bureaux Administration;plateau large bureaux cloisonnés;Chauffage;57.93;40.55;20.27;2.03;2.03;2.03
Bureaux Administration;plateau mince;Chauffage;75.47;52.83;26.42;2.64;2.64;2.64
Café Hôtel Restaurant;Grand bar café tabac;Chauffage;87.21;61.05;30.52;3.05;3.05;3.05
Café Hôtel Restaurant;Grand Hotel avec restaurant Bas de gamme;Chauffage;63.94;44.76;22.38;2.24;2.24;2.24
Café Hôtel Restaurant;Grand Hotel avec restaurant Haut de gamme;Chauffage;76.73;53.71;26.86;2.69;2.69;2.69
Café Hôtel Restaurant;Grand Hotel avec restaurant Luxe;Chauffage;91.47;64.03;32.02;3.20;3.20;3.20
Café Hôtel Restaurant;Grand Hotel sans restaurant Bas de gamme;Chauffage;74.62;52.24;26.12;2.61;2.61;2.61
Café Hôtel Restaurant;Grand Hotel sans restaurant Haut de gamme;Chauffage;79.62;55.73;27.87;2.79;2.79;2.79
Café Hôtel Restaurant;Grand Hotel sans restaurant Luxe;Chauffage;117.03;81.92;40.96;4.10;4.10;4.10
Café Hôtel Restaurant;Grand restaurant rapide;Chauffage;152.92;107.05;53.52;5.35;5.35;5.35
Café Hôtel Restaurant;Grand restaurant traditionnel;Chauffage;95.96;67.17;33.58;3.36;3.36;3.36
Café Hôtel Restaurant;Grande cantine;Chauffage;80.67;56.47;28.23;2.82;2.82;2.82
Café Hôtel Restaurant;Hotel d'affaire avec restaurant Haut de gamme;Chauffage;117.03;81.92;40.96;4.10;4.10;4.10
Café Hôtel Restaurant;Hotel d'affaire avec restaurant Luxe;Chauffage;74.78;52.35;26.17;2.62;2.62;2.62
Café Hôtel Restaurant;Hotel d'affaire sans restaurant Haut de Gamme;Chauffage;117.03;81.92;40.96;4.10;4.10;4.10
Café Hôtel Restaurant;Hotel d'affaire sans restaurant Luxe;Chauffage;117.03;81.92;40.96;4.10;4.10;4.10
Café Hôtel Restaurant;Moyen Hotel avec restaurant Bas de gamme;Chauffage;129.57;90.70;45.35;4.53;4.53;4.53
Café Hôtel Restaurant;Moyen Hotel avec restaurant Haut de gamme;Chauffage;119.58;83.70;41.85;4.19;4.19;4.19
Café Hôtel Restaurant;Moyen Hotel avec restaurant Luxe;Chauffage;106.75;74.73;37.36;3.74;3.74;3.74
Café Hôtel Restaurant;Moyen Hotel sans restaurant Bas de gamme;Chauffage;125.69;87.99;43.99;4.40;4.40;4.40
Café Hôtel Restaurant;Moyen Hotel sans restaurant Haut de gamme;Chauffage;115.99;81.19;40.60;4.06;4.06;4.06
Café Hôtel Restaurant;Moyen Hotel sans restaurant Luxe;Chauffage;108.60;76.02;38.01;3.80;3.80;3.80
Café Hôtel Restaurant;Petit bar café tabac;Chauffage;124.75;87.32;43.66;4.37;4.37;4.37
Café Hôtel Restaurant;Petit Hotel avec restaurant Bas de gamme;Chauffage;185.93;130.15;65.07;6.51;6.51;6.51
Café Hôtel Restaurant;Petit Hotel avec restaurant Haut de gamme;Chauffage;169.58;118.71;59.35;5.94;5.94;5.94
Café Hôtel Restaurant;Petit Hotel avec restaurant Luxe;Chauffage;156.20;109.34;54.67;5.47;5.47;5.47
Café Hôtel Restaurant;Petit Hotel sans restaurant Bas de gamme;Chauffage;184.69;129.28;64.64;6.46;6.46;6.46
Café Hôtel Restaurant;Petit Hotel sans restaurant Haut de gamme;Chauffage;165.52;115.86;57.93;5.79;5.79;5.79
Café Hôtel Restaurant;Petit Hotel sans restaurant Luxe;Chauffage;117.03;81.92;40.96;4.10;4.10;4.10
Café Hôtel Restaurant;Petit restaurant rapide;Chauffage;120.77;84.54;42.27;4.23;4.23;4.23
Café Hôtel Restaurant;Petit restaurant traditionnel;Chauffage;119.14;83.40;41.70;4.17;4.17;4.17
Café Hôtel Restaurant;Petite cantine;Chauffage;115.17;80.62;40.31;4.03;4.03;4.03
Commerce;Complexe brico;Chauffage;50.99;35.69;17.85;1.78;1.78;1.78
Commerce;Entrepôt;Chauffage;55.23;38.66;19.33;1.93;1.93;1.93
Commerce;Grand alimentaire;Chauffage;81.63;57.14;28.57;2.86;2.86;2.86
Commerce;Grand brico;Chauffage;101.88;71.31;35.66;3.57;3.57;3.57
Commerce;Grand commerce de gros;Chauffage;72.57;50.80;25.40;2.54;2.54;2.54
Commerce;Grand librairie;Chauffage;65.13;45.59;22.79;2.28;2.28;2.28
Commerce;Grand Mode;Chauffage;64.99;45.50;22.75;2.27;2.27;2.27
Commerce;Grand process;Chauffage;89.07;62.35;31.17;3.12;3.12;3.12
Commerce;Hypermarché;Chauffage;104.64;73.25;36.62;3.66;3.66;3.66
Commerce;Petit boulangerie;Chauffage;123.31;86.32;43.16;4.32;4.32;4.32
Commerce;Petit brico;Chauffage;76.73;53.71;26.85;2.69;2.69;2.69
Commerce;Petit commerce de gros;Chauffage;77.34;54.14;27.07;2.71;2.71;2.71
Commerce;Petit librairie;Chauffage;77.56;54.29;27.15;2.71;2.71;2.71
Commerce;Petit mode;Chauffage;77.18;54.03;27.01;2.70;2.70;2.70
Commerce;Petit poissonnerie;Chauffage;120.25;84.17;42.09;4.21;4.21;4.21
Commerce;Petit process;Chauffage;105.32;73.72;36.86;3.69;3.69;3.69
Commerce;Superette;Chauffage;92.62;64.83;32.42;3.24;3.24;3.24
Commerce;Supermarché;Chauffage;94.18;65.93;32.96;3.30;3.30;3.30
Commerce;ZAC Mode;Chauffage;93.73;65.61;32.81;3.28;3.28;3.28
Enseignement Recherche;Cantine collége;Chauffage;216.98;151.89;75.94;7.59;7.59;7.59
Enseignement Recherche;Cantine élémentaire;Chauffage;185.86;130.11;65.05;6.51;6.51;6.51
Enseignement Recherche;Cantine LEGT;Chauffage;216.60;151.62;75.81;7.58;7.58;7.58
Enseignement Recherche;Cantine LP;Chauffage;215.72;151.01;75.50;7.55;7.55;7.55
Enseignement Recherche;Cantine préélémentaire;Chauffage;185.93;130.15;65.08;6.51;6.51;6.51
Enseignement Recherche;Collège;Chauffage;34.18;23.93;11.96;1.20;1.20;1.20
Enseignement Recherche;école;Chauffage;41.99;29.39;14.70;1.47;1.47;1.47
Enseignement Recherche;Elémentaire;Chauffage;36.48;25.54;12.77;1.28;1.28;1.28
Enseignement Recherche;Internat college;Chauffage;85.22;59.66;29.83;2.98;2.98;2.98
Enseignement Recherche;Internat LEGT;Chauffage;85.50;59.85;29.92;2.99;2.99;2.99
Enseignement Recherche;Internat LP;Chauffage;85.66;59.96;29.98;3.00;3.00;3.00
Enseignement Recherche;Lycée d’enseignement général et technologique (LEGT);Chauffage;32.40;22.68;11.34;1.13;1.13;1.13
Enseignement Recherche;Lycée professionnel (LP);Chauffage;33.78;23.65;11.82;1.18;1.18;1.18
Enseignement Recherche;Préélémentaire;Chauffage;36.39;25.47;12.74;1.27;1.27;1.27
Enseignement Recherche;R&D en sciences humaines et sociales;Chauffage;40.89;28.62;14.31;1.43;1.43;1.43
Enseignement Recherche;R&D sciences physiques et naturelles;Chauffage;40.43;28.30;14.15;1.42;1.42;1.42
Enseignement Recherche;université;Chauffage;41.95;29.37;14.68;1.47;1.47;1.47
Habitat Communautaire;Foyers;Chauffage;57.26;40.08;20.04;2.00;2.00;2.00
Habitat Communautaire;Maison de pré-retraite;Chauffage;40.51;28.35;14.18;1.42;1.42;1.42
Habitat Communautaire;Maison retraite médicalisée;Chauffage;42.89;30.02;15.01;1.50;1.50;1.50
Habitat Communautaire;Résidence universitaire;Chauffage;52.11;36.48;18.24;1.82;1.82;1.82
Habitat Communautaire;Résidentiel;Chauffage;84.02;58.81;29.41;2.94;2.94;2.94
Santé Action Sociale;Cabinet médical;Chauffage;32.40;22.68;11.34;1.13;1.13;1.13
Santé Action Sociale;Centre accueil;Chauffage;48.45;33.92;16.96;1.70;1.70;1.70
Santé Action Sociale;Garderie;Chauffage;67.23;47.06;23.53;2.35;2.35;2.35
Santé Action Sociale;Hopital bloc;Chauffage;61.31;42.92;21.46;2.15;2.15;2.15
Santé Action Sociale;Hopital maison;Chauffage;97.16;68.01;34.01;3.40;3.40;3.40
Santé Action Sociale;Hopital pavillonnaire;Chauffage;61.31;42.92;21.46;2.15;2.15;2.15
Sport Loisir Culture;Grand bar café tabac loisir;Chauffage;95.46;66.82;33.41;3.34;3.34;3.34
Sport Loisir Culture;Grand cinéma;Chauffage;60.39;42.27;21.14;2.11;2.11;2.11
Sport Loisir Culture;Grande salle de spectacle;Chauffage;41.69;29.18;14.59;1.46;1.46;1.46
Sport Loisir Culture;Grande salle multisport;Chauffage;10.09;7.06;3.53;0.35;0.35;0.35
Sport Loisir Culture;Immeuble péri urbain;Chauffage;40.21;28.14;14.07;1.41;1.41;1.41
Sport Loisir Culture;Musée;Chauffage;25.56;17.89;8.94;0.89;0.89;0.89
Sport Loisir Culture;loisir nr;Chauffage;0.00;0.00;0.00;0.00;0.00;0.00
Sport Loisir Culture;Patinoire;Chauffage;15.73;11.01;5.50;0.55;0.55;0.55
Sport Loisir Culture;Petit cinéma;Chauffage;38.03;26.62;13.31;1.33;1.33;1.33
Sport Loisir Culture;Petite salle de spectacle;Chauffage;42.58;29.80;14.90;1.49;1.49;1.49
Sport Loisir Culture;Petite salle multisport;Chauffage;60.38;42.27;21.13;2.11;2.11;2.11
Sport Loisir Culture;Piscine;Chauffage;11.79;8.25;4.12;0.41;0.41;0.41
Sport Loisir Culture;Salle non spécialisée;Chauffage;44.72;31.31;15.65;1.57;1.57;1.57
Sport Loisir Culture;Vestiaire et rangement;Chauffage;66.32;46.42;23.21;2.32;2.32;2.32
Sport Loisir Culture;loisir nr;Climatisation;0.00;0.00;0.00;0.00;0.00;0.00
Bureaux Administration;immeuble peri urbain;Climatisation;73.30;51.31;41.05;32.84;26.27;21.02
Bureaux Administration;immeuble rénové;Climatisation;64.43;45.10;36.08;28.87;23.09;18.47
Bureaux Administration;immeuble résidentiel;Climatisation;60.86;42.60;34.08;27.27;21.81;17.45
Bureaux Administration;plateau large bureau paysagés;Climatisation;128.87;90.21;72.17;57.74;46.19;36.95
Bureaux Administration;plateau large bureaux cloisonnés;Climatisation;101.18;70.82;56.66;45.33;36.26;29.01
Bureaux Administration;plateau mince;Climatisation;139.40;97.58;78.06;62.45;49.96;39.97
Café Hôtel Restaurant;Grand bar café tabac;Climatisation;74.94;52.46;41.96;33.57;26.86;21.49
Café Hôtel Restaurant;Grand Hotel avec restaurant Bas de gamme;Climatisation;70.61;49.42;39.54;31.63;25.31;20.24
Café Hôtel Restaurant;Grand Hotel avec restaurant Haut de gamme;Climatisation;68.08;47.65;38.12;30.50;24.40;19.52
Café Hôtel Restaurant;Grand Hotel avec restaurant Luxe;Climatisation;56.07;39.25;31.40;25.12;20.10;16.08
Café Hôtel Restaurant;Grand Hotel sans restaurant Bas de gamme;Climatisation;70.10;49.07;39.25;31.40;25.12;20.10
Café Hôtel Restaurant;Grand Hotel sans restaurant Haut de gamme;Climatisation;67.55;47.28;37.83;30.26;24.21;19.37
Café Hôtel Restaurant;Grand Hotel sans restaurant Luxe;Climatisation;52.04;36.43;29.14;23.31;18.65;14.92
Café Hôtel Restaurant;Grand restaurant rapide;Climatisation;68.97;48.28;38.62;30.90;24.72;19.77
Café Hôtel Restaurant;Grand restaurant traditionnel;Climatisation;66.23;46.36;37.09;29.67;23.74;18.99
Café Hôtel Restaurant;Grande cantine;Climatisation;40.40;28.28;22.62;18.10;14.48;11.58
Café Hôtel Restaurant;Hotel d'affaire avec restaurant Haut de gamme;Climatisation;90.57;63.40;50.72;40.57;32.46;25.97
Café Hôtel Restaurant;Hotel d'affaire avec restaurant Luxe;Climatisation;109.62;76.73;61.39;49.11;39.29;31.43
Café Hôtel Restaurant;Hotel d'affaire sans restaurant Haut de Gamme;Climatisation;90.06;63.04;50.43;40.35;32.28;25.82
Café Hôtel Restaurant;Hotel d'affaire sans restaurant Luxe;Climatisation;49.35;34.54;27.63;22.11;17.69;14.15
Café Hôtel Restaurant;Moyen Hotel avec restaurant Bas de gamme;Climatisation;70.17;49.12;39.29;31.43;25.15;20.12
Café Hôtel Restaurant;Moyen Hotel avec restaurant Haut de gamme;Climatisation;66.35;46.44;37.15;29.72;23.78;19.02
Café Hôtel Restaurant;Moyen Hotel avec restaurant Luxe;Climatisation;58.43;40.90;32.72;26.18;20.94;16.75
Café Hôtel Restaurant;Moyen Hotel sans restaurant Bas de gamme;Climatisation;69.86;48.90;39.12;31.30;25.04;20.03
Café Hôtel Restaurant;Moyen Hotel sans restaurant Haut de gamme;Climatisation;66.02;46.21;36.97;29.58;23.66;18.93
Café Hôtel Restaurant;Moyen Hotel sans restaurant Luxe;Climatisation;58.29;40.80;32.64;26.11;20.89;16.71
Café Hôtel Restaurant;Petit bar café tabac;Climatisation;88.55;61.98;49.59;39.67;31.74;25.39
Café Hôtel Restaurant;Petit Hotel avec restaurant Bas de gamme;Climatisation;104.05;72.84;58.27;46.62;37.29;29.83
Café Hôtel Restaurant;Petit Hotel avec restaurant Haut de gamme;Climatisation;95.25;66.68;53.34;42.67;34.14;27.31
Café Hôtel Restaurant;Petit Hotel avec restaurant Luxe;Climatisation;79.13;55.39;44.31;35.45;28.36;22.69
Café Hôtel Restaurant;Petit Hotel sans restaurant Bas de gamme;Climatisation;102.89;72.03;57.62;46.10;36.88;29.50
Café Hôtel Restaurant;Petit Hotel sans restaurant Haut de gamme;Climatisation;94.19;65.93;52.75;42.20;33.76;27.01
Café Hôtel Restaurant;Petit Hotel sans restaurant Luxe;Climatisation;78.81;55.17;44.14;35.31;28.25;22.60
Café Hôtel Restaurant;Petit restaurant rapide;Climatisation;74.10;51.87;41.49;33.19;26.56;21.24
Café Hôtel Restaurant;Petit restaurant traditionnel;Climatisation;74.10;51.87;41.49;33.20;26.56;21.25
Café Hôtel Restaurant;Petite cantine;Climatisation;48.25;33.78;27.02;21.62;17.29;13.84
Commerce;Complexe brico;Climatisation;51.39;35.97;28.78;23.02;18.42;14.73
Commerce;Entrepôt;Climatisation;35.79;25.05;20.04;16.03;12.83;10.26
Commerce;Grand alimentaire;Climatisation;63.81;44.67;35.73;28.59;22.87;18.30
Commerce;Grand brico;Climatisation;45.54;31.87;25.50;20.40;16.32;13.06
Commerce;Grand commerce de gros;Climatisation;45.22;31.66;25.33;20.26;16.21;12.97
Commerce;Grand librairie;Climatisation;65.49;45.84;36.67;29.34;23.47;18.78
