BRANCHE;BAT_TYPE;USAGE;Etat de référence RT2000;2010-2015;2015-2020;2020-2030;2030-2040;2040-2050
Enseignement Recherche;Cantine préélémentaire;Chauffage;185.93;130.15;65.08;65.08;65.08;65.08
Enseignement Recherche;Collège;Chauffage;34.18;23.93;11.96;11.96;11.96;11.96
Enseignement Recherche;école;Chauffage;41.99;29.39;14.7;14.7;14.7;14.7
Enseignement Recherche;Elémentaire;Chauffage;36.48;25.54;12.77;12.77;12.77;12.77
Enseignement Recherche;Internat college;Chauffage;85.22;59.66;29.83;29.83;29.83;29.83
Enseignement Recherche;Internat LEGT;Chauffage;85.5;59.85;29.92;29.92;29.92;29.92
Enseignement Recherche;Internat LP;Chauffage;85.66;59.96;29.98;29.98;29.98;29.98
Enseignement Recherche;Lycée d’enseignement général et technologique (LEGT);Chauffage;32.4;22.68;11.34;11.34;11.34;11.34
Enseignement Recherche;Lycée professionnel (LP);Chauffage;33.78;23.65;11.82;11.82;11.82;11.82
Enseignement Recherche;Préélémentaire;Chauffage;36.39;25.47;12.74;12.74;12.74;12.74
Enseignement Recherche;R&D en sciences humaines et sociales;Chauffage;40.89;28.62;14.31;14.31;14.31;14.31
Enseignement Recherche;R&D sciences physiques et naturelles;Chauffage;40.43;28.3;14.15;14.15;14.15;14.15
Enseignement Recherche;université;Chauffage;41.95;29.37;14.68;14.68;14.68;14.68
Habitat Communautaire;Foyers;Chauffage;57.26;40.08;20.04;20.04;20.04;20.04
Habitat Communautaire;Maison de pré-retraite;Chauffage;40.51;28.35;14.18;14.18;14.18;14.18
Habitat Communautaire;Maison retraite médicalisée;Chauffage;42.89;30.02;15.01;15.01;15.01;15.01
Habitat Communautaire;Résidence universitaire;Chauffage;52.11;36.48;18.24;18.24;18.24;18.24
Habitat Communautaire;Résidentiel;Chauffage;84.02;58.81;29.41;29.41;29.41;29.41
Santé Action Sociale;Cabinet médical;Chauffage;32.4;22.68;11.34;11.34;11.34;11.34
Santé Action Sociale;Centre accueil;Chauffage;48.45;33.92;16.96;16.96;16.96;16.96
Santé Action Sociale;Garderie;Chauffage;67.23;47.06;23.53;23.53;23.53;23.53
Santé Action Sociale;Hopital bloc;Chauffage;61.31;42.92;21.46;21.46;21.46;21.46
Santé Action Sociale;Hopital maison;Chauffage;97.16;68.01;34.01;34.01;34.01;34.01
Santé Action Sociale;Hopital pavillonnaire;Chauffage;61.31;42.92;21.46;21.46;21.46;21.46
Sport Loisir Culture;Grand bar café tabac loisir;Chauffage;95.46;66.82;33.41;33.41;33.41;33.41
Sport Loisir Culture;Grand cinéma;Chauffage;60.39;42.27;21.14;21.14;21.14;21.14
Sport Loisir Culture;Grande salle de spectacle;Chauffage;41.69;29.18;14.59;14.59;14.59;14.59
Sport Loisir Culture;Grande salle multisport;Chauffage;10.09;7.06;3.53;3.53;3.53;3.53
Sport Loisir Culture;Immeuble péri urbain;Chauffage;40.21;28.14;14.07;14.07;14.07;14.07
Sport Loisir Culture;Musée;Chauffage;25.56;17.89;8.94;8.94;8.94;8.94
Sport Loisir Culture;loisir nr;Chauffage;0;0;0;0;0;0
Sport Loisir Culture;Patinoire;Chauffage;15.73;11.01;5.5;5.5;5.5;5.5
Sport Loisir Culture;Petit cinéma;Chauffage;38.03;26.62;13.31;13.31;13.31;13.31
Sport Loisir Culture;Petite salle de spectacle;Chauffage;42.58;29.8;14.9;14.9;14.9;14.9
Sport Loisir Culture;Petite salle multisport;Chauffage;60.38;42.27;21.13;21.13;21.13;21.13
Sport Loisir Culture;Piscine;Chauffage;11.79;8.25;4.12;4.12;4.12;4.12
Sport Loisir Culture;Salle non spécialisée;Chauffage;44.72;31.31;15.65;15.65;15.65;15.65
Sport Loisir Culture;Vestiaire et rangement;Chauffage;66.32;46.42;23.21;23.21;23.21;23.21
Sport Loisir Culture;loisir nr;Climatisation;0;0;0;0;0;0
Bureaux Administration;immeuble peri urbain;Climatisation;73.3;51.31;41.05;41.05;41.05;41.05
Bureaux Administration;immeuble rénové;Climatisation;64.43;45.1;36.08;36.08;36.08;36.08
Bureaux Administration;immeuble résidentiel;Climatisation;60.86;42.6;34.08;34.08;34.08;34.08
Bureaux Administration;plateau large bureau paysagés;Climatisation;128.87;90.21;72.17;72.17;72.17;72.17
Bureaux Administration;plateau large bureaux cloisonnés;Climatisation;101.18;70.82;56.66;56.66;56.66;56.66
Bureaux Administration;plateau mince;Climatisation;139.4;97.58;78.06;78.06;78.06;78.06
Café Hôtel Restaurant;Grand bar café tabac;Climatisation;74.94;52.46;41.96;41.96;41.96;41.96
Café Hôtel Restaurant;Grand Hotel avec restaurant Bas de gamme;Climatisation;70.61;49.42;39.54;39.54;39.54;39.54
Café Hôtel Restaurant;Grand Hotel avec restaurant Haut de gamme;Climatisation;68.08;47.65;38.12;38.12;38.12;38.12
Café Hôtel Restaurant;Grand Hotel avec restaurant Luxe;Climatisation;56.07;39.25;31.4;31.4;31.4;31.4
Café Hôtel Restaurant;Grand Hotel sans restaurant Bas de gamme;Climatisation;70.1;49.07;39.25;39.25;39.25;39.25
Café Hôtel Restaurant;Grand Hotel sans restaurant Haut de gamme;Climatisation;67.55;47.28;37.83;37.83;37.83;37.83
Café Hôtel Restaurant;Grand Hotel sans restaurant Luxe;Climatisation;52.04;36.43;29.14;29.14;29.14;29.14
Café Hôtel Restaurant;Grand restaurant rapide;Climatisation;68.97;48.28;38.62;38.62;38.62;38.62
Café Hôtel Restaurant;Grand restaurant traditionnel;Climatisation;66.23;46.36;37.09;37.09;37.09;37.09
Café Hôtel Restaurant;Grande cantine;Climatisation;40.4;28.28;22.62;22.62;22.62;22.62
Café Hôtel Restaurant;Hotel d'affaire avec restaurant Haut de gamme;Climatisation;90.57;63.4;50.72;50.72;50.72;50.72
Café Hôtel Restaurant;Hotel d'affaire avec restaurant Luxe;Climatisation;109.62;76.73;61.39;61.39;61.39;61.39
Café Hôtel Restaurant;Hotel d'affaire sans restaurant Haut de Gamme;Climatisation;90.06;63.04;50.43;50.43;50.43;50.43
Café Hôtel Restaurant;Hotel d'affaire sans restaurant Luxe;Climatisation;49.35;34.54;27.63;27.63;27.63;27.63
Café Hôtel Restaurant;Moyen Hotel avec restaurant Bas de gamme;Climatisation;70.17;49.12;39.29;39.29;39.29;39.29
Café Hôtel Restaurant;Moyen Hotel avec restaurant Haut de gamme;Climatisation;66.35;46.44;37.15;37.15;37.15;37.15
Café Hôtel Restaurant;Moyen Hotel avec restaurant Luxe;Climatisation;58.43;40.9;32.72;32.72;32.72;32.72
Café Hôtel Restaurant;Moyen Hotel sans restaurant Bas de gamme;Climatisation;69.86;48.9;39.12;39.12;39.12;39.12
Café Hôtel Restaurant;Moyen Hotel sans restaurant Haut de gamme;Climatisation;66.02;46.21;36.97;36.97;36.97;36.97
Café Hôtel Restaurant;Moyen Hotel sans restaurant Luxe;Climatisation;58.29;40.8;32.64;32.64;32.64;32.64
Café Hôtel Restaurant;Petit bar café tabac;Climatisation;88.55;61.98;49.59;49.59;49.59;49.59
Café Hôtel Restaurant;Petit Hotel avec restaurant Bas de gamme;Climatisation;104.05;72.84;58.27;58.27;58.27;58.27
Café Hôtel Restaurant;Petit Hotel avec restaurant Haut de gamme;Climatisation;95.25;66.68;53.34;53.34;53.34;53.34
Café Hôtel Restaurant;Petit Hotel avec restaurant Luxe;Climatisation;79.13;55.39;44.31;44.31;44.31;44.31
Café Hôtel Restaurant;Petit Hotel sans restaurant Bas de gamme;Climatisation;102.89;72.03;57.62;57.62;57.62;57.62
Café Hôtel Restaurant;Petit Hotel sans restaurant Haut de gamme;Climatisation;94.19;65.93;52.75;52.75;52.75;52.75
Café Hôtel Restaurant;Petit Hotel sans restaurant Luxe;Climatisation;78.81;55.17;44.14;44.14;44.14;44.14
Café Hôtel Restaurant;Petit restaurant rapide;Climatisation;74.1;51.87;41.49;41.49;41.49;41.49
Café Hôtel Restaurant;Petit restaurant traditionnel;Climatisation;74.1;51.87;41.49;41.49;41.49;41.49
Café Hôtel Restaurant;Petite cantine;Climatisation;48.25;33.78;27.02;27.02;27.02;27.02
Commerce;Complexe brico;Climatisation;51.39;35.97;28.78;28.78;28.78;28.78
Commerce;Entrepôt;Climatisation;35.79;25.05;20.04;20.04;20.04;20.04
Commerce;Grand alimentaire;Climatisation;63.81;44.67;35.73;35.73;35.73;35.73
Commerce;Grand brico;Climatisation;45.54;31.87;25.5;25.5;25.5;25.5
Commerce;Grand commerce de gros;Climatisation;45.22;31.66;25.33;25.33;25.33;25.33
