"GESTE";"GAINperc";"GAINunit";"COUT"
"ENSBBC";0.786607131732744;96.5452710863977;156.442312366787
"ENSMOD";0.53914158322128;75.5797381586187;117.160622497251
"FENBBC";0.190867218368667;23.3065207013678;82.4431848302504
"FENMOD";0.155111627866001;23.0970905953792;91.1352606067088
"FEN_MURBBC";0.301671900611917;36.9950936833119;114.66754892744
"FEN_MURMOD";0.269813385460646;40.9139485299182;81.6490151829273
"GTB";0.15;18.3651318462848;20
