BRANCHE,SS_BRANCHE,BAT_TYPE,PRODUCTION_CHAUD,ENERGIE,ID_AGREG,PERIODE,RDT,COUT,CEE
Bureaux Administration,Administration,immeuble rénové,Chaudière condensation fioul,Fioul,0101442303,1,"0,7232590211","11,155918506",836
Bureaux Administration,Administration,immeuble rénové,Chaudière condensation gaz,Gaz,0101442404,1,"0,9546963711","7,7169751112",836
Bureaux Administration,Administration,immeuble rénové,Electrique direct performant,Electricité,0101442602,1,1,12,0
Bureaux Administration,Administration,immeuble rénové,PAC performant,Electricité,0101442902,1,"3,3979562791","59,140938156",990
Bureaux Administration,Administration,plateau large bureaux cloisonnés,Autre système centralisé,Autres,0101840101,1,"0,6595004762","16,4639832449",0
Bureaux Administration,Administration,plateau large bureaux cloisonnés,Autre système centralisé,Urbain,0101840106,1,"0,6777048858","18,2769123152",935
Bureaux Administration,Administration,plateau large bureaux cloisonnés,Chaudière fioul,Fioul,0101840303,1,"0,5546898298","4,5856244336",0
Bureaux Administration,Administration,plateau large bureaux cloisonnés,Chaudière gaz,Gaz,0101840404,1,"0,7321890326","3,4326542416",364
Bureaux Administration,Administration,plateau large bureaux cloisonnés,Electrique direct,Electricité,0101840602,1,"0,92","10,4",0
Bureaux Administration,Administration,plateau large bureaux cloisonnés,PAC,Electricité,0101840902,1,"2,9448954419","48,5743693478",756
Bureaux Administration,Administration,plateau large bureaux cloisonnés,Autre système centralisé performant,Autres,0101842101,1,"0,760962088","19,5999800534",0
Bureaux Administration,Administration,plateau large bureaux cloisonnés,Autre système centralisé performant,Urbain,0101842106,1,"0,7819671759","21,7582289466",935
Bureaux Administration,Administration,plateau large bureaux cloisonnés,Chaudière condensation fioul,Fioul,0101842303,1,"0,7252411259","5,4590767067",819
Bureaux Administration,Administration,plateau large bureaux cloisonnés,Chaudière condensation gaz,Gaz,0101842404,1,"0,9573105725","4,0864931448",819
Bureaux Administration,Administration,plateau large bureaux cloisonnés,Electrique direct performant,Electricité,0101842602,1,1,12,0
Bureaux Administration,Administration,plateau large bureaux cloisonnés,PAC performant,Electricité,0101842902,1,"3,3979562791","57,8266301759",819
Bureaux Administration,Bureaux,immeuble peri urbain,Autre système centralisé,Autres,0102420101,1,"0,665399002","21,8814338756",0
Bureaux Administration,Bureaux,immeuble peri urbain,Autre système centralisé,Urbain,0102420106,1,"0,6774240351","22,0600097861",935
Bureaux Administration,Bureaux,immeuble peri urbain,Chaudière fioul,Fioul,0102420303,1,"0,5507872177","11,9702693406",0
Bureaux Administration,Bureaux,immeuble peri urbain,Chaudière gaz,Gaz,0102420404,1,"0,7267969569","8,6524006116",363
Bureaux Administration,Bureaux,immeuble peri urbain,DRV,Electricité,0102420502,1,"2,4570171105","26,3582646961",900
Bureaux Administration,Bureaux,immeuble peri urbain,Electrique direct,Electricité,0102420602,1,"0,92","10,4",0
Bureaux Administration,Bureaux,immeuble peri urbain,Autre système centralisé performant,Autres,0102422101,1,"0,7677680793","26,0493260424",0
Bureaux Administration,Bureaux,immeuble peri urbain,Autre système centralisé performant,Urbain,0102422106,1,"0,7816431174","26,2619164121",935
Bureaux Administration,Bureaux,immeuble peri urbain,Chaudière condensation fioul,Fioul,0102422303,1,"0,7200953035","14,2503206436",836
Bureaux Administration,Bureaux,immeuble peri urbain,Chaudière condensation gaz,Gaz,0102422404,1,"0,9504486493","10,3004769186",836
Bureaux Administration,Bureaux,immeuble peri urbain,DRV performant,Electricité,0102422502,1,"3,1773097674","31,378886543",990
Bureaux Administration,Bureaux,immeuble peri urbain,Electrique direct performant,Electricité,0102422602,1,1,12,0
Bureaux Administration,Bureaux,immeuble rénové,Autre système centralisé,Autres,0102440101,1,"0,6670857169","17,0273247341",0
Bureaux Administration,Bureaux,immeuble rénové,Autre système centralisé,Urbain,0102440106,1,"0,6780530734","16,3121183631",935
Bureaux Administration,Bureaux,immeuble rénové,Chaudière fioul,Fioul,0102440303,1,"0,5542035433","8,8201053997",0
Bureaux Administration,Bureaux,immeuble rénové,Chaudière gaz,Gaz,0102440404,1,"0,7315487878","6,361392111",363
Bureaux Administration,Bureaux,immeuble rénové,Electrique direct,Electricité,0102440602,1,"0,92","10,4",0
Bureaux Administration,Bureaux,immeuble rénové,PAC,Electricité,0102440902,1,"2,9448954419","45,4810485538",900
Bureaux Administration,Bureaux,immeuble rénové,Autre système centralisé performant,Autres,0102442101,1,"0,7697142887","20,2706246834",0
Bureaux Administration,Bureaux,immeuble rénové,Autre système centralisé performant,Urbain,0102442106,1,"0,7823689308","19,4191885275",935
Bureaux Administration,Bureaux,immeuble rénové,Chaudière condensation fioul,Fioul,0102442303,1,"0,7232342201","10,5001254759",836
Bureaux Administration,Bureaux,immeuble rénové,Chaudière condensation gaz,Gaz,0102442404,1,"0,9546883044","7,5730858464",836
Bureaux Administration,Bureaux,immeuble rénové,Electrique direct performant,Electricité,0102442602,1,1,12,0
Bureaux Administration,Bureaux,immeuble rénové,PAC performant,Electricité,0102442902,1,"3,3979562791","54,1441054212",990
Bureaux Administration,Bureaux,immeuble résidentiel,Autre système centralisé,Autres,0102450101,1,"0,6675367876","25,8018359753",0
Bureaux Administration,Bureaux,immeuble résidentiel,Autre système centralisé,Urbain,0102450106,1,"0,6781115801","25,8144683715",935
Bureaux Administration,Bureaux,immeuble résidentiel,Chaudière fioul,Fioul,0102450303,1,"0,5437544365","27,7271658866",0
Bureaux Administration,Bureaux,immeuble résidentiel,Chaudière gaz,Gaz,0102450404,1,"0,717746748","27,8161747464",308
Bureaux Administration,Bureaux,immeuble résidentiel,Electrique direct,Electricité,0102450602,1,"0,92","10,4",0
Bureaux Administration,Bureaux,immeuble résidentiel,Autre système centralisé performant,Autres,0102452101,1,"0,7702347549","30,7164713992",0
Bureaux Administration,Bureaux,immeuble résidentiel,Autre système centralisé performant,Urbain,0102452106,1,"0,7824364386","30,7315099661",935
Bureaux Administration,Bureaux,immeuble résidentiel,Chaudière condensation fioul,Fioul,0102452303,1,"0,7186216451","33,0085308174",693
Bureaux Administration,Bureaux,immeuble résidentiel,Chaudière condensation gaz,Gaz,0102452404,1,"0,9485758881","33,1144937457",693
Bureaux Administration,Bureaux,immeuble résidentiel,Electrique direct performant,Electricité,0102452602,1,1,12,0
Bureaux Administration,Bureaux,plateau large bureau paysagés,Autre système centralisé,Autres,0102830101,1,"0,6681167683","15,494674539",0
Bureaux Administration,Bureaux,plateau large bureau paysagés,Autre système centralisé,Urbain,0102830106,1,"0,6823477395","16,4573916008",935
Bureaux Administration,Bureaux,plateau large bureau paysagés,Chaudière fioul,Fioul,0102830303,1,"0,5546848657","4,4020498089",0
Bureaux Administration,Bureaux,plateau large bureau paysagés,Chaudière gaz,Gaz,0102830404,1,"0,7321860513","3,2738906689",364
Bureaux Administration,Bureaux,plateau large bureau paysagés,Electrique direct,Electricité,0102830602,1,"0,92","10,4",0
