branche;occupation;periodeSimple;energieUsage;usage;usageSimple;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;03;02;Bureautique;Electricité Spécifique;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;03;02;Cuisson;Cuisson;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;03;02;Froid_alimentaire;Electricité Spécifique;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;03;02;Process;Electricité Spécifique;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;03;03;Cuisson;Cuisson;4.9443927956860006E8;4.731256274498E8;4.5273066340690005E8;4.3321486504380006E8;4.145402877806E8;3.966707336323999E8;3.7957149890830004E8;3.629360432862E8;3.4702963159309995E8;3.318203120889E8;3.172775171389E8;3.033721580638E8;2.900761910519E8;2.773628896225E8;2.6520677422009996E8;2.5358342644390008E8;2.42469492625E8;2.3184266900270003E8;2.2168166882510003E8;2.119658443041E8;2.026757562032E8;1.937928047626E8;1.8529913875160003E8;1.7717753392509997E8;1.694114640256E8;1.6198673605139998E8;1.5488741650329998E8;1.4809920473839998E8;1.416085117598E8;1.354022673188E8;1.2946803015770002E8;1.237938792575E8;1.183684310193E8;1.1318072983449998E8;1.0822040965500002E8;1.0347747684090002E8;9.894239953630002E7;9.460607265609999E7;9.04597955556E7;8.64952261502E7;8.27044236792E7;7.90797568368E7
01;01;03;04;Autre;Autre;1.95241987823E8;1.9496084122899997E8;1.9468005600899997E8;1.94399669186E8;1.9411968510599995E8;1.938401138345E8;1.935609533625E8;1.9314277642499998E8;1.927255196505E8;1.9230912818100002E8;1.91893599003E8;1.914789804555E8;1.910652747115E8;1.906524147975E8;1.9024043712150005E8;1.8982934482E8;1.8941913202999997E8;1.8900980584449998E8;1.88601430613E8;1.8819381857599998E8;1.87786985662E8;1.87381021866E8;1.8697591222300002E8;1.86571514422E8;1.8616755331199998E8;1.8576542973999998E8;1.85364196278E8;1.8496381188499996E8;1.84564297061E8;1.841656311625E8;1.8376783483299994E8;1.83370908093E8;1.8297485090150002E8;1.8257962229950002E8;1.8218526306149995E8;1.8179175309749997E8;1.8139907170250002E8;1.8100723896649998E8;1.80616275533E8;1.8022616102499998E8;1.7983687689E8;1.794484168345E8
01;01;03;04;Cuisson;Cuisson;4.74308913567E9;4.53863078708E9;4.342983518889999E9;4.155771459705E9;3.9766304793E9;3.8052098138599997E9;3.6411797307250004E9;3.481597268755E9;3.3290083752250004E9;3.1831080080849996E9;3.043601538055E9;2.9102088125449996E9;2.7826623842499995E9;2.660705223145E9;2.54409295611E9;2.43259137454E9;2.3259767227799997E9;2.224034661235E9;2.12656149965E9;2.0333585958949997E9;1.944239605995E9;1.85902663382E9;1.7775481730900002E9;1.699639128285E9;1.625141037685E9;1.5539165391950002E9;1.48581355172E9;1.4206954425549998E9;1.35843116258E9;1.2988957973E9;1.241969586945E9;1.18753837788E9;1.135492721835E9;1.0857279540099998E9;1.038143920015E9;9.926454360949999E8;9.491411870500001E8;9.07543409305E8;8.677688581409999E8;8.297374912670001E8;7.933729039735E8;7.586019241345E8
01;01;04;01;Autre;Autre;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;04;01;Cuisson;Cuisson;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;04;02;Autre;Autre;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
