BRANCHE;SS_BRANCHE;BAT_TYPE;BRANCHE;SS_BRANCHE;BAT_TYPE;ID;SURFACE;taille bâtiment;Type facteur correctif;puissance;nb_etages_moy;taux_vitrage;hauteur étage;Smur/Spl;Sfen/Spl;Stoit/Spl;Splancher/Spl;Smur;Sfen;Stoit;Splancher;Smur/Sparois;Sfen/Sparois;Stoit/Sparois;Splancher/Sparois;FEN;FEN_MUR;ENS
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Luxe;02;18;22;021822;3045;<5000m2;hotellerie;P>=30kW;4;0,4;3;0,26095693546539;0,17397129031026;0,25;0,25;794,613868492112;529,742578994742;761,25;761,25;0,279119753015148;0,186079835343432;0,26740020582071;0,26740020582071;0,186079835343432;0,46519958835858;1
Café Hôtel Restaurant;Hôtel avec restaurant;Hotel d'affaire avec restaurant Haut de gamme;02;18;37;021837;4853;<5000m2;hotellerie;P>=30kW;4;0,4;3;0,20670802924666;0,137805352831107;0,25;0,25;1003,15406593404;668,769377289361;1213,25;1213,25;0,244765842239342;0,163177228159562;0,296028464800548;0,296028464800548;0,163177228159562;0,407943070398904;1
Café Hôtel Restaurant;Hôtel avec restaurant;Hotel d'affaire avec restaurant Luxe;02;18;38;021838;6594;5000<S<10000;hotellerie;P>=30kW;4;0,4;3;0,177332370961195;0,118221580640797;0,25;0,25;1169,32965411812;779,553102745413;1648,5;1648,5;0,222904267654135;0,148602845102757;0,314246443621554;0,314246443621554;0,148602845102757;0,371507112756891;1
Café Hôtel Restaurant;Hôtel avec restaurant;Moyen Hotel avec restaurant Bas de gamme;02;18;53;021853;416;<5000m2;hotellerie;P>=30kW;4;0,4;3;0,706018086497463;0,470678724331642;0,25;0,25;293,703523982944;195,802349321963;104;104;0,421076775441796;0,280717850294531;0,149102687131837;0,149102687131837;0,280717850294531;0,701794625736327;1
Café Hôtel Restaurant;Hôtel avec restaurant;Moyen Hotel avec restaurant Haut de gamme;02;18;54;021854;956;<5000m2;hotellerie;P>=30kW;4;0,4;3;0,465729283694269;0,310486189129512;0,25;0,25;445,237195211721;296,824796807814;239;239;0,364929977430681;0,243286651620454;0,195891685474432;0,195891685474432;0,243286651620454;0,608216629051135;1
Café Hôtel Restaurant;Hôtel avec restaurant;Moyen Hotel avec restaurant Luxe;02;18;55;021855;1463;<5000m2;hotellerie;P>=30kW;4;0,4;3;0,376478629643521;0,250985753095681;0,25;0,25;550,788235168472;367,192156778981;365,75;365,75;0,333916206495905;0,222610804330603;0,221736494586746;0,221736494586746;0,222610804330603;0,556527010826508;1
Café Hôtel Restaurant;Hôtel avec restaurant;Petit Hotel avec restaurant Bas de gamme;02;18;67;021867;144;<5000m2;hotellerie;P<30kW;4;0,4;3;1,2;0,8;0,25;0,25;172,8;115,2;36;36;0,48;0,32;0,1;0,1;0,32;0,8;1
Café Hôtel Restaurant;Hôtel avec restaurant;Petit Hotel avec restaurant Haut de gamme;02;18;68;021868;367;<5000m2;hotellerie;P>=30kW;4;0,4;3;0,751673881399508;0,501115920933005;0,25;0,25;275,864314473619;183,909542982413;91,75;91,75;0,428844280357646;0,285896186905098;0,142629766368628;0,142629766368628;0,285896186905098;0,714740467262744;1
Café Hôtel Restaurant;Hôtel avec restaurant;Petit Hotel avec restaurant Luxe;02;18;69;021869;536;<5000m2;hotellerie;P>=30kW;4;0,4;3;0,621985266418579;0,414656844279053;0,25;0,25;333,384102800358;222,256068533572;134;134;0,404769114479232;0,269846076319488;0,16269240460064;0,16269240460064;0,269846076319488;0,674615190798721;1
Café Hôtel Restaurant;Hôtel sans restaurant;Grand Hotel sans restaurant Bas de gamme;02;19;23;021923;995;<5000m2;hotellerie;P>=30kW;4;0,4;3;0,456510689962734;0,304340459975156;0,25;0,25;454,22813651292;302,81875767528;248,75;248,75;0,362065490430985;0,241376993620657;0,198278757974179;0,198278757974179;0,241376993620657;0,603442484051642;1
