SCENARIO;BRANCHE;SS_BRANCHE;BAT_TYPE;PERIODE_DETAIL;PERIODE_SIMPLE;ENERGIE;BESOIN;SURFACE_CHAUFFEE;ETABLISSEMENTS;COUT_PLAN_MIN;COUT_PLAN_MAX;COUT_FEN_MIN;COUT_FEN_MAX;COUT_MUR_MIN;COUT_MUR_MAX;COUT_TOIT_MIN;COUT_TOIT_MAX
Maximal;Enseignement Recherche;Enseignement secondaire;Cantine collége;1961-1980;Av 1980;Autres;7579047,7322613;112955,212195835;118929,84421288;3953432,42685422;5082984,54881257;12502148,6468582;17190454,3894301;3906921,45214321;5000859,45874331;9036416,9756668;10165969,0976251
Maximal;Enseignement Recherche;Enseignement secondaire;Cantine LP;1961-1980;Av 1980;Fioul;905817,238566998;14501,7780615382;22502,0067007933;507562,23215384;652580,012769223;1605090,91563448;2207000,00899741;501590,911135775;642036,366253792;1160142,24492306;1305160,02553844
BBC renovation;Santé Action Sociale;Centre accueil;Centre accueil;1981-1999;1981-1998;Electricité;10903487,8031407;930623,314803153;717973,100319717;11441214,2079887;14710132,5531284;46085197,6467282;57606497,0584103;0;0;0;0
Maximal;Commerce;Commerce de détail non alimentaire;Complexe brico;Av 1980;Av 1980;Electricité;5794386,96834961;592062,2246971;193095,222138173;6907392,62146617;8880933,3704565;15196263,550136;18649959,8115306;15936341,5293483;17613851,1640165;21708948,2388936;23682488,987884
Modeste bati;Habitat Communautaire;Foyer;Foyers;Av 1980;Av 1980;Electricité;58257767,9195564;1331352,99654311;1439462,34341155;12676203,336815;16901604,4490867;83435201,0548811;104294001,318601;48670533,9043022;68138747,4660231;0;0
Modeste bati;Commerce;Commerce de détail non alimentaire;Grand brico;Av 1980;Av 1980;Electricité;325343202,504802;3891722,37429043;1758617,91508816;0;0;0;0;0;0;330796401,814686;369713625,557591
Modeste bati;Commerce;Process;Grand process;Av 1980;Av 1980;Fioul;88647805,4707883;1422251,15300274;1188452,03872171;0;0;113306008,712185;169959013,068278;14975119,4152318;19253724,9624409;4740837,17667582;9481674,35335164
Modeste bati;Commerce;Process;Grand process;1999-2008;1999-2008;Fioul;27310306,5459264;468840,26839133;370752,970762718;0;0;37350941,4443547;56026412,166532;4936497,32046725;6346925,12631503;1562800,89463776;3125601,78927553
Maximal;Commerce;Process;Grand process;1999-2008;1999-2008;Fioul;7577045,18100159;468840,26839133;370752,970762718;6251203,57855107;9376805,36782661;84039618,2497981;112052824,333064;5641711,22339114;7052139,02923893;2344201,34195665;3907002,23659442
Maximal;Bureaux Administration;Bureaux;immeuble peri urbain;1981-1998;1981-1998;Electricité;23822491,9608331;2384211,85477746;2334855,43925228;0;0;326977624,980608;449594234,348337;76635381,0038434;98093287,6849196;78050280,5865361;87806565,6598531
Maximal;Bureaux Administration;Administration;immeuble peri urbain;Av 1980;Av 1980;Gaz;14622061,5885112;1619252,52733255;1396115,53611193;21553814,143542;27712046,7559826;194310302,79413;277586146,848757;52047402,6353453;66620675,3732421;18474697,8373217;24632930,4497623
Maximal;Bureaux Administration;Bureaux;immeuble peri urbain;1981-1998;1981-1998;Fioul;8844418,20246008;876177,169170193;605102,074802847;0;0;120161440,042937;165221980,059038;28162837,5648244;36048432,0829753;28856939,7899204;32464057,2636604
Modeste bati;Commerce;Petit commerce alimentaire;Petit boulangerie;1981-1998;1981-1998;Fioul;9112012,71363271;120290,099999999;134826,321773354;4811603,99999999;6014504,99999999;24283563,9374999;29395893,1874999;0;0;0;0
Maximal;Café Hôtel Restaurant;Hôtel avec restaurant;Moyen Hotel avec restaurant Haut de gamme;Av 1980;Av 1980;Gaz;10172770,7727922;1218842,27566596;1494491,19248207;13711975,6012421;16759081,290407;305827246,857537;344055652,714729;91056784,0882932;116552683,633015;27423951,2024842;30471056,8916491
BBC renovation;Habitat Communautaire;Maison de pré-retraite;Maison de pré-retraite;1989-1999;1981-1998;Electricité;1939155,65053396;120596,666666666;98892,7783333333;1340846,11111111;1723944,99999999;7557730,48621066;9447163,10776333;0;0;0;0
Maximal;Enseignement Recherche;Enseignement secondaire;Lycée d’enseignement général et technologique (LEGT);1981-1999;1981-1998;Electricité;5358709,8563973;1008587,81480966;724127,476498043;16034096,432987;20615266,8424119;78340007,4511607;107717510,245346;24481252,3284877;31336002,9804643;36649363,275399;41230533,6848239
Modeste bati;Commerce;Process;Petit process;1999-2008;1999-2008;Electricité;60827498,3564659;1366294,86466475;1199886,96893076;54651794,5865902;68314743,2332378;275820775,804197;333888307,552449;0;0;0;0
BBC renovation;Commerce;Process;Petit process;1999-2008;1999-2008;Fioul;19847779,2218035;1064727,09366642;1242222,84677007;47912719,214989;58559990,1516533;214941782,033909;260192683,514732;1996363,30062454;3194181,28099927;0;0
Modeste bati;Commerce;Commerce de détail non alimentaire;Petit mode;1999-2008;1999-2008;Electricité;6498056,00072668;243908,26959984;216556,62224275;9756330,7839936;12195413,479992;49238981,9254677;59605083,3834609;0;0;0;0
BBC renovation;Café Hôtel Restaurant;Restaurant;Petit restaurant traditionnel;1981-1998;1981-1998;Gaz;2733979,39563938;110915;280130,925;4991175;6100325;19756734,375;23916046,875;1039828,125;1663725;0;0
BBC renovation;Commerce;Grand commerce alimentaire;Superette;Av 1980;Av 1980;Electricité;3143692,21271981;359183,5498081;559932,120559853;16163259,7413645;19755095,2394455;96680238,7096054;117033973,174785;897958,87452025;1436734,1992324;0;0
Modeste bati;Commerce;Grand commerce alimentaire;Supermarché;1981-1998;1981-1998;Fioul;56239487,427377;749843,020605299;451693,58070319;0;0;0;0;0;0;67485871,8544769;74984302,0605299
BBC renovation;Santé Action Sociale;Centre accueil;Centre accueil;2000-2007;1999-2008;Gaz;36229914,5015261;2757020,44267236;4858551,81168566;30733987,1890761;39515126,385955;136529818,236395;170662272,795494;0;0;0;0
Maximal;Enseignement Recherche;Enseignement primaire;Cantine préélémentaire;1961-1980;Av 1980;Electricité;2275082,20319127;28685,6177109629;35554,2401051593;1003996,6198837;1290852,79699333;4082132,14054765;5612931,69325302;1275666,29392114;1632852,85621906;2294849,41687703;2581705,59398666
Modeste bati;Enseignement Recherche;Enseignement secondaire;Cantine LEGT;1961-1980;Av 1980;Urbain;25342511,1935155;104000,573512932;180252,535911259;3120017,20538797;4160022,94051729;7194392,60560044;10072149,6478406;2877757,04224017;4028859,85913625;0;0
Maximal;Café Hôtel Restaurant;Hôtel sans restaurant;Grand Hotel sans restaurant Bas de gamme;1981-1998;1981-1998;Fioul;824699,563016181;59872,8439893795;43046,0083752937;748410,549867244;823251,604853968;10373524,595797;12102445,3617632;3806138,86451644;4440495,34193584;1496821,09973448;1646503,20970793
Modeste bati;Café Hôtel Restaurant;Hôtel sans restaurant;Grand Hotel sans restaurant Bas de gamme;1999-2008;1999-2008;Fioul;1852493,67956499;30900,8560738195;19123,5163639226;0;0;5353859,43199579;6246169,33732842;0;0;0;0
BBC renovation;Commerce;Grand commerce alimentaire;Superette;1999-2008;1999-2008;Urbain;613187,738227388;43107,9099436;64341,2931422405;1939855,947462;2370935,046898;11603212,4128348;14045993,9734316;107769,774859;172431,6397744;0;0
Modeste bati;Enseignement Recherche;Enseignement secondaire;Internat college;1961-1980;Av 1980;Fioul;531385,042447287;6199,6013280098;7045,5539280078;61996,0132800977;82661,3510401303;303496,82401232;424895,553617249;121398,728984968;169958,220578955;0;0
BBC renovation;Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Bas de gamme;1981-1998;1981-1998;Fioul;2206710,70810554;128034,726485528;117958,382964987;0;0;22183201,8627572;25880402,1732167;6104411,2323787;7460947,06179619;2560694,52971056;2880781,34592438
Maximal;Enseignement Recherche;Enseignement secondaire;Internat LEGT;avant 1960;Av 1980;Urbain;231762,675736866;14217,1414224041;17837,8246629901;165866,649928047;213257,121336061;1078783,68493562;1391978,94830402;347994,735298864;445433,261182546;379123,771264109;426514,242672123
Modeste bati;Enseignement Recherche;Enseignement supérieur et recherche;R&D sciences physiques et naturelles;2000-2007;1999-2008;Fioul;2118297,120372;55363,0495584972;170528,106019904;0;0;0;0;0;0;0;0
Maximal;Enseignement Recherche;Enseignement secondaire;Cantine LEGT;2000-2007;1999-2008;Urbain;1876825,67323947;25703,9184337078;27430,5988978141;899637,145179774;1156676,32951685;2844970,16842207;3911833,98158035;889053,177631898;1137988,06736882;2056313,47469662;2313352,6590337
BBC renovation;Enseignement Recherche;Enseignement secondaire;Lycée professionnel (LP);avant 1960;Av 1980;Electricité;1915967,45657787;318465,136257484;192649,920051315;4413560,54358587;5674577,84175327;13141070,0336775;16233086,5121899;6802436,25272722;9276049,43553712;8827121,08717175;10088138,3853391
Modeste bati;Transport;Transport aérien;nr;1981-1998;1981-1998;Gaz;6155159,85224659;38834,9566979145;57190,7764414308;0;0;0;0;0;0;0;0
Modeste bati;Transport;Transport aérien;nr;Av 1980;Av 1980;Fioul;40564519,5063268;182696,373033296;246294,32402432;0;0;0;0;0;0;0;0
BBC renovation;Sport Loisir Culture;Sport;Vestiaire et rangement;Av 1980;Av 1980;Urbain;7438998,32471857;128648,255;654744,805;0;0;0;0;17183731,1995281;23432360,7266293;9005377,85;10291860,4
Maximal;Sport Loisir Culture;Culture;Petite salle de spectacle;1981-1998;1981-1998;Autres;616470,393001807;48120,4823188;39315,359514686;1924819,292752;2887228,939128;1126019,28625992;1501359,04834656;950860,730619488;1188575,91327436;721807,234782;1203012,05797
Maximal;Sport Loisir Culture;Loisir;nr;1999-2008;1999-2008;Non chauffé;0;0;0;0;0;0;0;0;0;0;0
Maximal;Sport Loisir Culture;Culture;Petit cinéma;1981-1998;1981-1998;Fioul;301933,300559598;36084,0660473703;20605,933912688;1443362,64189481;2165043,96284222;7794158,266232;10392211,0216426;808283,079461096;1010353,84932637;541260,990710555;902101,651184259
BBC renovation;Sport Loisir Culture;Loisir;Vestiaire et rangement;Av 1980;Av 1980;Gaz;1101091,16422546;10538,7490682299;22236,5562880649;0;0;0;0;1407675,76806807;1919557,86554737;737712,434776099;843099,925458399
BBC renovation;Café Hôtel Restaurant;Café, cantine, traiteur;Grande cantine;1981-1998;1981-1998;Autres;76301,6574526365;1200;714;0;0;66240;99360;7776;9720;0;0
Modeste bati;Café Hôtel Restaurant;Hôtel avec restaurant;Petit Hotel avec restaurant Luxe;1999-2008;1999-2008;Urbain;116957,872105167;513;305,235;0;0;0;0;0;0;0;0
BBC renovation;Transport;Transport ferroviaire;nr;1981-1998;1981-1998;Electricité;2120203,20727701;35907,9022268746;35907,9022268746;0;0;0;0;0;0;0;0
Modeste bati;Enseignement Recherche;Enseignement secondaire;Internat college;2000-2007;1999-2008;Autres;369831,306048421;3602,6642353065;3602,6642353065;0;0;0;0;0;0;0;0
BBC renovation;Enseignement Recherche;Enseignement supérieur et recherche;université;1961-1980;Av 1980;Autres;2751336,06779189;272021,784557321;175929,36281552;3173587,48650208;4080326,76835981;19660191,0953943;24029122,4499264;9611648,97997056;13106794,0635962;6347174,97300416;7253914,2548619
Modeste bati;Café Hôtel Restaurant;Hôtel sans restaurant;Hotel d'affaire sans restaurant Haut de Gamme;Av 1980;Av 1980;Urbain;232568,637035477;2708;1611,26;0;0;0;0;0;0;0;0
Maximal;Commerce;Grand commerce alimentaire;Hypermarché;1999-2008;1999-2008;Urbain;407396,603220329;20967,631096;10860,5309983014;733867,08836;943543,39932;689223,499113841;839054,694573372;526060,390403913;573884,062258814;2516115,73152;2725792,04248
BBC renovation;Café Hôtel Restaurant;Hôtel sans restaurant;Grand Hotel sans restaurant Luxe;Av 1980;Av 1980;Fioul;84917,3163719222;2014;1047,28;0;0;0;0;0;0;0;0
BBC renovation;Enseignement Recherche;Enseignement primaire;Cantine préélémentaire;1961-1980;Av 1980;Fioul;14197052,6527132;147843,544688772;424017,954967033;0;0;11834440,9222948;14464316,6828047;5785726,6731219;7889627,28152987;10349048,1282141;11827483,5751018
BBC renovation;Enseignement Recherche;Enseignement primaire;Cantine élémentaire;2000-2007;1999-2008;Fioul;6178711,15568322;86320,9016798875;108675,519220527;0;0;6909734,29675502;8445230,80714502;3378092,32285801;4606489,53117001;6042463,11759212;6905672,134391
Modeste bati;Santé Action Sociale;Centre accueil;Centre accueil;1981-1999;1981-1998;Gaz;206899050,812246;3724423,53474391;9067548,69572294;0;0;0;0;0;0;0;0
BBC renovation;Enseignement Recherche;Enseignement primaire;Elémentaire;1961-1980;Av 1980;Fioul;122646327,489889;5910974,09126047;11654588,8083442;0;0;330927623,803343;404467095,759642;188751311,137764;257388151,551496;175643165,052456;200735045,774236
Maximal;Commerce;Commerce de détail non alimentaire;Grand brico;1999-2008;1999-2008;Fioul;32654005,6609646;1895194,55752785;1181466,93351421;66331809,513475;85283755,0887536;59066896,3480469;72491190,972603;50112102,6986179;55387060,8774198;208471401,328064;227423346,903342
Modeste bati;Commerce;Process;Grand librairie;1981-1998;1981-1998;Electricité;5027547,24478831;111383,450093775;38541,0612867284;0;0;8873548,20565525;13310322,3084828;1172774,90864623;1507853,45397373;371278,166979252;742556,333958504
BBC renovation;Commerce;Commerce de détail non alimentaire;Grand librairie;Av 1980;Av 1980;Fioul;17498316,8350707;779716,775081124;683477,90888514;0;0;62117436,5187584;93176154,7781377;9382591,84974664;11728239,8121833;3898583,87540562;6497639,7923427
Modeste bati;Commerce;Commerce de détail non alimentaire;Grand Mode;Av 1980;Av 1980;Fioul;11678771,2815342;267140,335330683;321548,946317905;0;0;21282180,0836298;31923270,1254447;2812765,11096935;3616412,28553202;890467,784435612;1780935,56887122
BBC renovation;Bureaux Administration;Bureaux;immeuble peri urbain;1981-1998;1981-1998;Gaz;54543513,5153424;3417931,87507135;4208780,44731555;0;0;292965588,559416;410151823,983182;96678644,4125935;131834515,108082;98526216,6322024;112601390,436802
BBC renovation;Café Hôtel Restaurant;Hôtel avec restaurant;Hotel d'affaire avec restaurant Luxe;1981-1998;1981-1998;Electricité;4409705,59472205;268935,569823595;76522,6900641232;0;0;128187952,567216;155174889,949788;22621403,4843872;27383804,2179424;4706372,47191292;5378711,39647191
Modeste bati;Bureaux Administration;Administration;immeuble peri urbain;1981-1998;1981-1998;Gaz;29547297,8396006;672583,464103988;473338,520793264;0;0;57650011,0647882;80710015,4907036;0;0;0;0
Modeste bati;Bureaux Administration;Bureaux;immeuble résidentiel;1981-1998;1981-1998;Urbain;40897343,6099998;229116,368343542;939008,884171205;0;0;0;0;0;0;0;0
Modeste bati;Café Hôtel Restaurant;Café, cantine, traiteur;Petit bar café tabac;Av 1980;Av 1980;Fioul;20167982,610383;273080;473370,05;10923200;13654000;87556275;105989175;0;0;0;0
BBC renovation;Enseignement Recherche;Enseignement secondaire;Internat LP;1981-1999;1981-1998;Electricité;239946,777137895;12116,6377017341;6272,1239232109;0;0;533844,803731645;652476,982338677;260990,791602641;355896,534003601;282721,546373796;323110,33871291
BBC renovation;Café Hôtel Restaurant;Hôtel avec restaurant;Moyen Hotel avec restaurant Bas de gamme;Av 1980;Av 1980;Gaz;6340249,11417849;464699,332146472;513557,587864348;5227867,48664781;6389615,81701399;64208826,2829016;80261032,853627;15380974,1994877;24609558,7191803;9293986,64292944;10455734,9732956
Modeste bati;Commerce;Commerce de détail non alimentaire;Petit brico;1999-2008;1999-2008;Gaz;55152766,8325973;1531326,44177768;1297479,38455729;61253057,6711074;76566322,0888842;309136525,43387;374217899,209421;0;0;0;0
BBC renovation;Café Hôtel Restaurant;Café, cantine, traiteur;Petit bar café tabac;1999-2008;1999-2008;Urbain;218537,923210028;8660;6287,4;389700;476300;2776612,5;3361162,5;146137,5;233820;0;0
Maximal;Commerce;Commerce de gros;Petit commerce de gros;Av 1980;Av 1980;Autres;11557467,4532243;774521,305331602;682837,303485023;27108245,686606;34853458,7399221;26720985,0339402;32529894,8239273;25843194,192832;28192575,4830894;92942556,6397923;100687769,693108
Modeste bati;Commerce;Commerce de détail non alimentaire;Petit librairie;Av 1980;Av 1980;Gaz;55901703,4979494;1439472,42472286;3304274,3726899;57578896,9889145;71973621,2361432;290593495,740928;351771073,791649;0;0;0;0
Maximal;Café Hôtel Restaurant;Café, cantine, traiteur;Petite cantine;Av 1980;Av 1980;Fioul;39040646,7359089;1483765;2021068,075;66769425;81607075;319936828,125;389488312,5;16692356,25;25038534,375;0;0
Maximal;Bureaux Administration;Bureaux;plateau mince;Av 1980;Av 1980;Gaz;12580662,0110613;2701383,36661507;1718225,27228358;7831598,92596692;10069198,6191003;545484731,636914;779263902,338449;97407987,7923061;124682224,374151;17900797,5450672;20138397,2382006
Maximal;Enseignement Recherche;Enseignement supérieur et recherche;R&D sciences physiques et naturelles;2000-2007;1999-2008;Electricité;898305,617216099;150890,397058635;675733,745810679;2593912,63723335;3335030,53358573;20521093,9999744;28216504,2499648;6412841,87499201;8208437,59998977;5928943,17081908;6670061,06717147
Modeste bati;Commerce;Grand commerce alimentaire;Supermarché;1981-1998;1981-1998;Gaz;156667842,661402;2121788,28032189;1720268,03578413;0;0;0;0;0;0;190960945,22897;212178828,032189
Modeste bati;Enseignement Recherche;Enseignement secondaire;Lycée professionnel (LP);2000-2007;1999-2008;Gaz;27168904,1995666;688351,817532635;688351,817532635;0;0;0;0;0;0;0;0
Maximal;Enseignement Recherche;Enseignement secondaire;Collège;2000-2007;1999-2008;Urbain;872441,800900853;127680,453840873;127680,453840873;1667420,83406235;2143826,78665159;9917319,60111889;13636314,4515384;3099162,37534965;3966927,84044755;3811247,62071394;4287653,57330318
Modeste bati;Café Hôtel Restaurant;Hôtel sans restaurant;Moyen Hotel sans restaurant Luxe;1999-2008;1999-2008;Electricité;755159,140073857;7564,9967320261;1791,399248366;0;0;0;0;0;0;0;0
BBC renovation;Café Hôtel Restaurant;Hôtel avec restaurant;Petit Hotel avec restaurant Bas de gamme;1981-1998;1981-1998;Urbain;832133,365197709;18622,7955377955;52609,912086247;0;0;4598795,89725571;5748494,87156964;964117,644298336;1542588,23087733;186227,955377955;232784,944222444
Modeste bati;Enseignement Recherche;Enseignement secondaire;Internat LEGT;avant 1960;Av 1980;Urbain;1384524,15656787;14217,1414224041;17837,8246629901;0;0;626390,526736812;835187,368982417;278395,788239091;389754,103534728;284342,828448082;331733,299856095
Modeste bati;Habitat Communautaire;Résidence universitaire;Résidence universitaire;1961-1980;Av 1980;Gaz;11143331,964224;269172,036718945;1154623,25516836;2018790,27539209;2691720,36718945;19069383,7920928;26697137,3089299;8899045,7786157;12458664,0900619;0;0
BBC renovation;Sport Loisir Culture;Culture;Petite salle de spectacle;1981-1998;1981-1998;Gaz;15039324,9908837;270255,740909;245062,905237218;0;0;2810659,7054536;4215989,5581804;5340253,44036184;6675316,8004523;4053836,113635;6756393,522725
Modeste bati;Sport Loisir Culture;Culture;Grand cinéma;Av 1980;Av 1980;Electricité;42326576,7202091;979681,029610566;2018503,75822448;0;0;0;0;0;0;20998928,9162504;23332143,2402782
BBC renovation;Sport Loisir Culture;Loisir;Vestiaire et rangement;Av 1980;Av 1980;Urbain;616139,544966466;10160,945032045;72908,31378303;0;0;0;0;1357211,94324666;1850743,55897272;711266,15224315;812875,6025636
Modeste bati;Sport Loisir Culture;Culture;Grand cinéma;1981-1998;1981-1998;Autres;982926,174267507;23299,9543006965;17573,6378744297;0;0;0;0;0;0;349499,314510447;388332,571678275
BBC renovation;Sport Loisir Culture;Culture;Grande salle de spectacle;Av 1980;Av 1980;Gaz;5069930,81189418;240848,055272;177699,01870304;0;0;10811067,0810219;13087081,2033423;6126271,34591241;6771142,01390319;13246643,03996;14450883,31632
BBC renovation;Commerce;Commerce de détail non alimentaire;Grand librairie;Av 1980;Av 1980;Autres;1757642,82106496;76630,9977263847;49194,5202738238;0;0;6104936,16241945;9157404,24362917;922126,338285749;1152657,92285718;383154,988631923;638591,647719872
Modeste bati;Commerce;Process;Grand librairie;1981-1998;1981-1998;Autres;399674,629327639;10457,3263392857;6394,6829813564;0;0;833100,333090738;1249650,4996361;110106,93179206;141566,05516122;34857,7544642857;69715,5089285714
BBC renovation;Enseignement Recherche;Enseignement secondaire;Cantine LP;1981-1999;1981-1998;Autres;887616,669718165;11277,9215994735;11277,9215994735;0;0;702150,129744562;858183,49191002;343273,396764008;468100,086496374;789454,511963145;902233,72795788
Modeste bati;Café Hôtel Restaurant;Hôtel avec restaurant;Petit Hotel avec restaurant Haut de gamme;Av 1980;Av 1980;Urbain;524049,866661548;2893;1951,21;0;0;634209,8894032;792762,361754;0;0;25313,75;32546,25
Modeste bati;Commerce;Process;Grand process;1981-1998;1981-1998;Urbain;2176013,6304591;34543,2499999999;27500,7224553327;0;0;2751945,58793909;4127918,38190864;363711,636055328;467629,246356851;115144,166666666;230288,333333333
BBC renovation;Enseignement Recherche;Enseignement secondaire;Collège;avant 1960;Av 1980;Autres;1015988,08088163;157431,307930353;157431,307930353;2333088,78087679;2999685,57541302;6496208,24219066;8024727,82858847;3362743,09007516;4585558,75919341;4666177,56175359;5332774,35628982
BBC renovation;Enseignement Recherche;Enseignement supérieur et recherche;université;avant 1960;Av 1980;Fioul;2835487,01764237;209019,941245353;194438,265757798;2438565,98119579;3135299,1186803;15106775,3427145;18463836,5299844;7385534,61199377;10071183,5618096;1741832,84371127;2438565,98119579
BBC renovation;Sport Loisir Culture;Culture;Grande salle de spectacle;Av 1980;Av 1980;Autres;618345,786797288;29393,9768;29393,9768;0;0;1319422,13361;1597195,21437;747672,542379;826374,915261;1616668,724;1763638,608
BBC renovation;Sport Loisir Culture;Culture;nr;1981-1998;1981-1998;Non chauffé;0;0;0;0;0;0;0;0;0;0;0
BBC renovation;Santé Action Sociale;Cabinet médical;Cabinet médical;1981-1999;1981-1998;Gaz;26695442,9497115;3105346,33831155;43765835,3604705;0;0;118368496,157571;177552744,236357;27619315,6458862;34524144,5573577;14230785,704003;23717976,1733384
BBC renovation;Enseignement Recherche;Enseignement primaire;Cantine élémentaire;1961-1980;Av 1980;Fioul;28958811,0797428;309377,147310889;679538,919145698;0;0;24764730,7176398;30268004,2104487;12107201,6841795;16509820,4784265;21656400,3117622;24750171,7848711
BBC renovation;Enseignement Recherche;Enseignement primaire;Cantine élémentaire;1981-1999;1981-1998;Fioul;13155917,3640917;187774,044159533;347732,752131515;0;0;15030759,9633406;18370928,844083;7348371,53763321;10020506,6422271;13144183,0911673;15021923,5327626
Maximal;Enseignement Recherche;Enseignement secondaire;Cantine LEGT;2000-2007;1999-2008;Gaz;1767976,40917906;27013,9211761984;27236,6692668628;945487,241166946;1215626,45292893;2989964,35413538;4111200,98693616;934363,860667309;1195985,74165415;2161113,69409587;2431252,90585786
BBC renovation;Enseignement Recherche;Enseignement primaire;Elémentaire;1961-1980;Av 1980;Electricité;24611516,6878866;1156231,62014797;713651,461569013;0;0;64731967,4751388;79116849,1362807;36921196,2212025;50347085,7561852;34923447,1276794;39912511,0030622
Maximal;Enseignement Recherche;Enseignement supérieur et recherche;école;1981-1999;1981-1998;Gaz;13957327,1408985;1834124,0812542;2695877,0176383;32097171,4219485;41267791,8282196;235662367,107374;324035754,77264;73644489,7210545;94264946,8429498;73364963,2501681;82535583,6564392
Modeste bati;Commerce;Commerce de détail non alimentaire;Complexe brico;Av 1980;Av 1980;Electricité;29319293,0058981;592062,2246971;193095,222138173;0;0;0;0;0;0;16775096,3664178;18748637,1154081
Modeste bati;Enseignement Recherche;Enseignement secondaire;Collège;avant 1960;Av 1980;Fioul;36676376,3126123;1072930,75716172;1122563,49254426;0;0;46877464,4909338;62503285,9879118;20834428,6626372;29168200,1276921;26797296,629832;31263512,734804
Modeste bati;Commerce;Commerce de détail non alimentaire;Grand brico;1981-1998;1981-1998;Fioul;151279496,39314;1900670,68917035;1185342,48449541;0;0;0;0;0;0;161557008,579479;180563715,471183
BBC renovation;Commerce;Commerce de détail non alimentaire;Grand librairie;1981-1998;1981-1998;Gaz;8488262,81207286;381423,332911234;249134,303809665;0;0;30386725,5727848;45580088,3591772;4589794,10094621;5737242,62618276;1907116,66455617;3178527,77426028
BBC renovation;Commerce;Process;Grand process;1999-2008;1999-2008;Fioul;15273838,1871154;468840,26839133;370752,970762718;0;0;37350941,4443547;56026412,166532;5641711,22339114;7052139,02923893;2344201,34195665;3907002,23659442
Maximal;Santé Action Sociale;Hôpital;Hopital maison;2000-2007;1999-2008;Electricité;29957242,1481916;1270368,02921203;514696,344132161;10870236,802952;13976018,7466525;63741047,1776959;87643939,8693319;26256965,5722093;33608915,9324279;24846255,5496046;27952037,4933051
BBC renovation;Commerce;Petit commerce alimentaire;Petit boulangerie;1999-2008;1999-2008;Urbain;1135349,120435;23853,1999999999;35152,3321081809;1073393,99999999;1311925,99999999;4815364,74999999;5829125,74999999;44724,7499999999;71559,5999999999;0;0
BBC renovation;Habitat Communautaire;Maison retraite médicalisée;Maison retraite médicalisée;1983-1988;1981-1998;Autres;1110141,17896736;74943,9444444444;61623,8427777777;0;0;4247498,68351775;5309373,35439719;2725478,32467183;3716561,35182523;0;0
BBC renovation;Enseignement Recherche;Enseignement secondaire;Lycée professionnel (LP);1961-1980;Av 1980;Electricité;5059337,87170103;826250,997074068;561313,346563042;12670396,200837;16290509,4010761;36099768,3377065;44121939,0794191;17648775,6317676;24066512,2251377;25340792,401674;28960905,6019131
Maximal;Commerce;Commerce de détail non alimentaire;Petit brico;1999-2008;1999-2008;Autres;1401360,7764408;173264,116014687;115690,03012995;7796885,22066092;9529526,38080779;42341418,3510891;51546074,5143694;389844,261033046;584766,391549569;0;0
BBC renovation;Commerce;Commerce de gros;Petit commerce de gros;Av 1980;Av 1980;Urbain;35819491,4235805;1027370,05028793;13574828,3500819;0;0;29280046,4332061;35444266,7349337;29605380,2499305;32721736,0657127;113010705,531672;123284406,034552
Modeste bati;Café Hôtel Restaurant;Hôtel avec restaurant;Petit Hotel avec restaurant Bas de gamme;Av 1980;Av 1980;Autres;4440163,32783147;23033,2088383838;14683,7717588383;0;0;5687922,95934386;7109903,69917983;0;0;201540,577335858;259123,599431818
BBC renovation;Café Hôtel Restaurant;Hôtel avec restaurant;Petit Hotel avec restaurant Bas de gamme;Av 1980;Av 1980;Autres;883074,890935867;23033,2088383838;14683,7717588383;0;0;5687922,95934386;7109903,69917983;1192448,41628771;1907917,46606034;230332,088383838;287915,110479797
BBC renovation;Commerce;Commerce de gros;Petit commerce de gros;1981-1998;1981-1998;Autres;10561356,3321001;295727,285375214;214032,011919594;0;0;8428227,63319361;10202591,3454449;8521874,59753106;9418914,02885012;32530001,3912736;35487274,2450257
Maximal;Commerce;Petit commerce alimentaire;Petit librairie;1999-2008;1999-2008;Gaz;456468,092313517;42862,2999999999;33643,8706797245;1928803,49999999;2357426,49999999;10474474,5624999;12751534,2499999;96440,1749999999;144660,262499999;0;0
Modeste bati;Commerce;Commerce de détail non alimentaire;ZAC Mode;1981-1998;1981-1998;Electricité;22625882,4777236;311485,85494459;208261,871946494;0;0;0;0;0;0;28033726,9450131;31148585,494459
Maximal;Bureaux Administration;Bureaux;plateau large bureau paysagés;Av 1980;Av 1980;Fioul;2372741,20463274;909901,352966464;578078,482723965;3022923,23046456;3886615,58202586;135125864,917718;185798064,261863;21113416,3933935;27025172,9835437;6909538,81249042;7773231,16405172
BBC renovation;Bureaux Administration;Administration;plateau large bureaux cloisonnés;Av 1980;Av 1980;Gaz;85595463,668291;10420278,4664847;6922569,16430298;34654744,4510399;44556100,0084798;1093378978,93131;1530730570,50383;240543375,364888;328013693,679393;69309488,9020798;79210844,4595197
Maximal;Enseignement Recherche;Enseignement supérieur et recherche;R&D sciences physiques et naturelles;1961-1980;Av 1980;Electricité;1353939,51393754;219771,255079325;387394,488508181;3824072,57330437;4916664,73710562;29888890,6907882;41097224,6998337;9340278,34087131;11955556,2763152;8740737,31041;9833329,47421125
