SCENARIO;BRANCHE;SS_BRANCHE;BAT_TYPE;PERIODE_DETAIL;PERIODE_SIMPLE;ENERGIE;BESOIN;SURFACE_CHAUFFEE;ETABLISSEMENTS;COUT_PLAN_MIN;COUT_PLAN_MAX;COUT_FEN_MIN;COUT_FEN_MAX;COUT_MUR_MIN;COUT_MUR_MAX;COUT_TOIT_MIN;COUT_TOIT_MAX
BBC renovation;Enseignement Recherche;Enseignement primaire;Elémentaire;avant 1960;Av 1980;Fioul;14060399,3472769;1297686,29678205;1426172,89518579;19396797,5287627;24938739,6798378;68615163,104562;84759907,364459;41438176,8861537;56506604,844755;13854855,3776876;19396797,5287627
Maximal;Café Hôtel Restaurant;Café, cantine, traiteur;Grand bar café tabac;Av 1980;Av 1980;Autres;475368,165541768;49100;31740;2209500;2700500;7622775;9279900;397710;596565;0;0
Modeste bati;Bureaux Administration;Bureaux;immeuble peri urbain;1981-1998;1981-1998;Electricité;107272861,232631;2384211,85477746;2334855,43925228;0;0;204361015,61288;286105421,858032;0;0;0;0
Modeste bati;Bureaux Administration;Bureaux;immeuble résidentiel;Av 1980;Av 1980;Electricité;612328477,570582;3770614,04553613;41179371,9123574;0;0;0;0;0;0;0;0
Maximal;Café Hôtel Restaurant;Hôtel avec restaurant;Moyen Hotel avec restaurant Luxe;1999-2008;1999-2008;Electricité;7195722,14373975;176394,913469658;48627,1580977291;0;0;61280899,5317625;74412520,8599974;0;0;1763949,13469658;2204936,41837073
BBC renovation;Café Hôtel Restaurant;Hôtel sans restaurant;Moyen Hotel sans restaurant Bas de gamme;1999-2008;1999-2008;Gaz;1305119,25207633;102491,387721397;112973,640157151;1153028,11186572;1409256,58116921;14161526,0760101;17701907,5950126;3392338,40283555;5427741,44453688;2049827,75442795;2306056,22373144
Modeste bati;Enseignement Recherche;Enseignement secondaire;Lycée d’enseignement général et technologique (LEGT);1981-1999;1981-1998;Fioul;87507535,8986519;2105001,39937109;2528826,27248167;0;0;0;0;0;0;0;0
Modeste bati;Habitat Communautaire;Maison retraite médicalisée;Maison retraite médicalisée;1989-1999;1981-1998;Electricité;44883442,614242;901946,591678337;781419,090990429;0;0;51118432,4384871;63898040,5481089;0;0;0;0
Maximal;Café Hôtel Restaurant;Hôtel avec restaurant;Moyen Hotel avec restaurant Luxe;Av 1980;Av 1980;Gaz;33095042,473476;680646,820991925;801531,965609414;0;0;236461747,299727;287132121,721097;0;0;6806468,20991925;8508085,26239906
Maximal;Café Hôtel Restaurant;Hôtel avec restaurant;Petit Hotel avec restaurant Bas de gamme;Av 1980;Av 1980;Autres;455039,029427473;23033,2088383838;14683,7717588383;287915,110479797;316706,621527777;11375845,9186877;12797826,6585236;2981121,04071929;3815834,93212069;259123,599431818;316706,621527777
Modeste bati;Commerce;Petit commerce alimentaire;Petit librairie;Av 1980;Av 1980;Fioul;2680906,50322221;88916,1999999999;124149,935254755;3556647,99999999;4445809,99999999;17949957,8749999;21728896,3749999;0;0;0;0
Maximal;Café Hôtel Restaurant;Hôtel sans restaurant;Petit Hotel sans restaurant Bas de gamme;1981-1998;1981-1998;Gaz;449176,767347836;27008,7879664195;27433,4379027113;337609,849580244;371370,834538268;13339340,2765697;15006757,8111409;3495668,65198747;4474455,87454397;303848,864622219;371370,834538268
BBC renovation;Commerce;Petit commerce alimentaire;Petit poissonnerie;1981-1998;1981-1998;Electricité;8391000,47455174;199310,399999999;91945,3541658026;8968967,99999999;10962071,9999999;40235786,9999999;48706478,9999999;373706,999999999;597931,199999999;0;0
Modeste bati;Commerce;Process;Petit process;1999-2008;1999-2008;Fioul;47173062,6905623;1064727,09366642;1242222,84677007;42589083,7466569;53236354,6833212;214941782,033909;260192683,514732;0;0;0;0
Modeste bati;Café Hôtel Restaurant;Restaurant;Petit restaurant traditionnel;1999-2008;1999-2008;Autres;292147,607059913;3930;2387,85;157200;196500;700031,25;847406,25;0;0;0;0
