"ID_AGREG";"EXIGENCE";"GESTE";"GAIN";"COUT";"CEE";"CEE_ADEME";"BRANCHE"
"0101420701";"BBC renovation";"ENSBBC";0.816625437138033;323.757907169425;923.5714273;3918.5136686952;"01"
"0101420701";"RT par element";"ENSMOD";0;0;0;0;"01"
"0101420701";"BBC renovation";"FENBBC";0.273150076486968;119.9999997;375.5357133;1717.764327757;"01"
"0101420701";"RT par element";"FENMOD";0.468378315691439;119.9999997;375.5357133;1717.764327757;"01"
"0101420701";"BBC renovation";"FEN_MURBBC";0.546300152973937;158.57142825;923.5714273;3401.8470020285;"01"
"0101420701";"RT par element";"FEN_MURMOD";0;0;0;0;"01"
"0101420701";"GTB";"GTB";0.15;20;0;0;"01"
"0101421102";"BBC renovation";"ENSBBC";0;0;0;0;"01"
"0101421102";"RT par element";"ENSMOD";0;0;0;0;"01"
"0101421102";"BBC renovation";"FENBBC";0.357835584134746;119.9999997;375.5357133;1717.764327757;"01"
"0101421102";"RT par element";"FENMOD";0;0;0;0;"01"
"0101421102";"BBC renovation";"FEN_MURBBC";0.715671168269491;159.857142535;923.5714273;3401.8470020285;"01"
"0101421102";"RT par element";"FEN_MURMOD";0;0;0;0;"01"
"0101421102";"GTB";"GTB";0.15;20;0;0;"01"
"0101421703";"BBC renovation";"ENSBBC";0.879295864473444;197.58139619637;2182.946427;3918.5136686952;"01"
"0101421703";"RT par element";"ENSMOD";0.782256602683247;149.84309839955;1634.910713;3918.5136686952;"01"
"0101421703";"BBC renovation";"FENBBC";0.294112480107571;102.8571426;375.5357133;1717.764327757;"01"
"0101421703";"RT par element";"FENMOD";0.261654169877699;102.8571426;375.5357133;1717.764327757;"01"
"0101421703";"BBC renovation";"FEN_MURBBC";0.588224960215142;141.42857115;923.5714273;3401.8470020285;"01"
"0101421703";"RT par element";"FEN_MURMOD";0.523308339755398;138.85714258;375.5357133;3401.8470020285;"01"
"0101421703";"GTB";"GTB";0.15;20;0;0;"01"
"0101421904";"BBC renovation";"ENSBBC";0.816625437138033;323.757907169425;923.5714273;3918.5136686952;"01"
"0101421904";"RT par element";"ENSMOD";0;0;0;0;"01"
"0101421904";"BBC renovation";"FENBBC";0.273150076486968;119.9999997;375.5357133;1717.764327757;"01"
"0101421904";"RT par element";"FENMOD";0.468378315691439;119.9999997;375.5357133;1717.764327757;"01"
"0101421904";"BBC renovation";"FEN_MURBBC";0.546300152973937;158.57142825;923.5714273;3401.8470020285;"01"
"0101421904";"RT par element";"FEN_MURMOD";0;0;0;0;"01"
"0101421904";"GTB";"GTB";0.15;20;0;0;"01"
"0101422005";"BBC renovation";"ENSBBC";0.816625437138033;323.757907169425;923.5714273;3918.5136686952;"01"
"0101422005";"RT par element";"ENSMOD";0;0;0;0;"01"
"0101422005";"BBC renovation";"FENBBC";0.273150076486968;119.9999997;375.5357133;1717.764327757;"01"
"0101422005";"RT par element";"FENMOD";0.468378315691439;119.9999997;375.5357133;1717.764327757;"01"
"0101422005";"BBC renovation";"FEN_MURBBC";0.546300152973937;158.57142825;923.5714273;3401.8470020285;"01"
"0101422005";"RT par element";"FEN_MURMOD";0;0;0;0;"01"
"0101422005";"GTB";"GTB";0.15;20;0;0;"01"
"0101422106";"BBC renovation";"ENSBBC";0.816625437138033;323.757907169425;923.5714273;3918.5136686952;"01"
"0101422106";"RT par element";"ENSMOD";0;0;0;0;"01"
"0101422106";"BBC renovation";"FENBBC";0.273150076486968;119.9999997;375.5357133;1717.764327757;"01"
"0101422106";"RT par element";"FENMOD";0.468378315691439;119.9999997;375.5357133;1717.764327757;"01"
"0101422106";"BBC renovation";"FEN_MURBBC";0.546300152973937;158.57142825;923.5714273;3401.8470020285;"01"
"0101422106";"RT par element";"FEN_MURMOD";0;0;0;0;"01"
"0101422106";"GTB";"GTB";0.15;20;0;0;"01"
"0101422207";"BBC renovation";"ENSBBC";0.816625437138033;323.757907169425;923.5714273;3918.5136686952;"01"
"0101422207";"RT par element";"ENSMOD";0;0;0;0;"01"
"0101422207";"BBC renovation";"FENBBC";0.273150076486968;119.9999997;375.5357133;1717.764327757;"01"
"0101422207";"RT par element";"FENMOD";0.468378315691439;119.9999997;375.5357133;1717.764327757;"01"
"0101422207";"BBC renovation";"FEN_MURBBC";0.546300152973937;158.57142825;923.5714273;3401.8470020285;"01"
"0101422207";"RT par element";"FEN_MURMOD";0;0;0;0;"01"
"0101422207";"GTB";"GTB";0.15;20;0;0;"01"
"0101422308";"BBC renovation";"ENSBBC";0.816625437138033;323.757907169425;923.5714273;3918.5136686952;"01"
"0101422308";"RT par element";"ENSMOD";0;0;0;0;"01"
"0101422308";"BBC renovation";"FENBBC";0.273150076486968;119.9999997;375.5357133;1717.764327757;"01"
"0101422308";"RT par element";"FENMOD";0.468378315691439;119.9999997;375.5357133;1717.764327757;"01"
"0101422308";"BBC renovation";"FEN_MURBBC";0.546300152973937;158.57142825;923.5714273;3401.8470020285;"01"
"0101422308";"RT par element";"FEN_MURMOD";0;0;0;0;"01"
"0101422308";"GTB";"GTB";0.15;20;0;0;"01"
"0101440701";"BBC renovation";"ENSBBC";0.735931034584035;133.983506534357;2033.65625;2631.8821722893;"01"
"0101440701";"RT par element";"ENSMOD";0.506048441967899;69.5851594182315;1522.15625;2631.8821722893;"01"
"0101440701";"BBC renovation";"FENBBC";0.158734914853346;54.0000000000002;197.15625;1198.524661255;"01"
"0101440701";"RT par element";"FENMOD";0.109150929329738;54.0000000000002;197.15625;1198.524661255;"01"
"0101440701";"BBC renovation";"FEN_MURBBC";0.529116382844488;66.0000000000002;708.65625;2373.548838956;"01"
"0101440701";"RT par element";"FEN_MURMOD";0.363836431099127;64.8000000000002;197.15625;2373.548838956;"01"
"0101440701";"GTB";"GTB";0.15;20;0;0;"01"
"0101441102";"BBC renovation";"ENSBBC";0.726693348149231;55.3926997938572;511.5;1433.3575110343;"01"
"0101441102";"RT par element";"ENSMOD";0;0;0;0;"01"
"0101441102";"BBC renovation";"FENBBC";0;0;0;0;"01"
"0101441102";"RT par element";"FENMOD";0;0;0;0;"01"
"0101441102";"BBC renovation";"FEN_MURBBC";0.522474712630108;35.9999999999999;511.5;1175.024177701;"01"
"0101441102";"RT par element";"FEN_MURMOD";0;0;0;0;"01"
"0101441102";"GTB";"GTB";0.15;20;0;0;"01"
"0101441703";"BBC renovation";"ENSBBC";0.941444356144523;111.742390204166;4677.40625;3148.548838956;"01"
"0101441703";"RT par element";"ENSMOD";0.848710346335777;85.79015073558;2840.90625;3148.548838956;"01"
"0101441703";"BBC renovation";"FENBBC";0.203062627731457;54;197.15625;1198.524661255;"01"
"0101441703";"RT par element";"FENMOD";0.183060583437564;54;197.15625;1198.524661255;"01"
"0101441703";"BBC renovation";"FEN_MURBBC";0.676875425771526;66;708.65625;2373.548838956;"01"
"0101441703";"RT par element";"FEN_MURMOD";0.610201944791881;64.8;197.15625;2373.548838956;"01"
"0101441703";"GTB";"GTB";0.15;20;0;0;"01"
"0101441904";"BBC renovation";"ENSBBC";0.735931034584035;133.983506534357;2033.65625;2631.8821722893;"01"
"0101441904";"RT par element";"ENSMOD";0.506048441967899;69.5851594182315;1522.15625;2631.8821722893;"01"
"0101441904";"BBC renovation";"FENBBC";0.158734914853346;54.0000000000002;197.15625;1198.524661255;"01"
"0101441904";"RT par element";"FENMOD";0.109150929329738;54.0000000000002;197.15625;1198.524661255;"01"
"0101441904";"BBC renovation";"FEN_MURBBC";0.529116382844488;66.0000000000002;708.65625;2373.548838956;"01"
"0101441904";"RT par element";"FEN_MURMOD";0.363836431099127;64.8000000000002;197.15625;2373.548838956;"01"
"0101441904";"GTB";"GTB";0.15;20;0;0;"01"
"0101442005";"BBC renovation";"ENSBBC";0.735931034584035;133.983506534357;2033.65625;2631.8821722893;"01"
"0101442005";"RT par element";"ENSMOD";0.506048441967899;69.5851594182315;1522.15625;2631.8821722893;"01"
"0101442005";"BBC renovation";"FENBBC";0.158734914853346;54.0000000000002;197.15625;1198.524661255;"01"
"0101442005";"RT par element";"FENMOD";0.109150929329738;54.0000000000002;197.15625;1198.524661255;"01"
"0101442005";"BBC renovation";"FEN_MURBBC";0.529116382844488;66.0000000000002;708.65625;2373.548838956;"01"
"0101442005";"RT par element";"FEN_MURMOD";0.363836431099127;64.8000000000002;197.15625;2373.548838956;"01"
"0101442005";"GTB";"GTB";0.15;20;0;0;"01"
"0101442106";"BBC renovation";"ENSBBC";0.735931034584035;133.983506534357;2033.65625;2631.8821722893;"01"
"0101442106";"RT par element";"ENSMOD";0.506048441967899;69.5851594182315;1522.15625;2631.8821722893;"01"
"0101442106";"BBC renovation";"FENBBC";0.158734914853346;54.0000000000002;197.15625;1198.524661255;"01"
"0101442106";"RT par element";"FENMOD";0.109150929329738;54.0000000000002;197.15625;1198.524661255;"01"
"0101442106";"BBC renovation";"FEN_MURBBC";0.529116382844488;66.0000000000002;708.65625;2373.548838956;"01"
"0101442106";"RT par element";"FEN_MURMOD";0.363836431099127;64.8000000000002;197.15625;2373.548838956;"01"
"0101442106";"GTB";"GTB";0.15;20;0;0;"01"
"0101442207";"BBC renovation";"ENSBBC";0.735931034584035;133.983506534357;2033.65625;2631.8821722893;"01"
"0101442207";"RT par element";"ENSMOD";0.506048441967899;69.5851594182315;1522.15625;2631.8821722893;"01"
"0101442207";"BBC renovation";"FENBBC";0.158734914853346;54.0000000000002;197.15625;1198.524661255;"01"
"0101442207";"RT par element";"FENMOD";0.109150929329738;54.0000000000002;197.15625;1198.524661255;"01"
"0101442207";"BBC renovation";"FEN_MURBBC";0.529116382844488;66.0000000000002;708.65625;2373.548838956;"01"
"0101442207";"RT par element";"FEN_MURMOD";0.363836431099127;64.8000000000002;197.15625;2373.548838956;"01"
"0101442207";"GTB";"GTB";0.15;20;0;0;"01"
"0101442308";"BBC renovation";"ENSBBC";0.735931034584035;133.983506534357;2033.65625;2631.8821722893;"01"
"0101442308";"RT par element";"ENSMOD";0.506048441967899;69.5851594182315;1522.15625;2631.8821722893;"01"
"0101442308";"BBC renovation";"FENBBC";0.158734914853346;54.0000000000002;197.15625;1198.524661255;"01"
"0101442308";"RT par element";"FENMOD";0.109150929329738;54.0000000000002;197.15625;1198.524661255;"01"
"0101442308";"BBC renovation";"FEN_MURBBC";0.529116382844488;66.0000000000002;708.65625;2373.548838956;"01"
"0101442308";"RT par element";"FEN_MURMOD";0.363836431099127;64.8000000000002;197.15625;2373.548838956;"01"
"0101442308";"GTB";"GTB";0.15;20;0;0;"01"
"0101840701";"BBC renovation";"ENSBBC";0.890681287492928;190.058302841464;4875.7214;1608.817555713;"01"
