BRANCHE;SS_BRANCHE;BAT_TYPE;S batiment moy;;;CEE_TOIT;CEE_FEN;CEE_PLAN;CEE_MUR;CEE_ITE;CEE_ITI;CEE_TOIT_Elec;CEE_FEN_Elec;CEE_PLAN_Elec;CEE_MUR_Elec;CEE_ITE_Elec;CEE_ITI_Elec
Café Hôtel Restaurant;Hôtel sans restaurant;Hotel d'affaire sans restaurant Luxe;4368;<5000m2;hotellerie;310;544,3734981559;620;533,699507996;3000;3000;200;352,2416752774;390;341,5676851174;1920;1920
Café Hôtel Restaurant;Hôtel sans restaurant;Moyen Hotel sans restaurant Bas de gamme;420;<5000m2;hotellerie;310;1755,5517813904;620;1721,1291974415;3000;3000;200;1135,9452703114;390;1101,5226863626;1920;1920
Café Hôtel Restaurant;Hôtel sans restaurant;Moyen Hotel sans restaurant Haut de gamme;775;<5000m2;hotellerie;310;1292,3716952602;620;1267,0310737845;3000;3000;200;836,2405086978;390;810,8998872221;1920;1920
Café Hôtel Restaurant;Hôtel sans restaurant;Moyen Hotel sans restaurant Luxe;1236;<5000m2;hotellerie;310;1023,3614513915;620;1003,2955405799;3000;3000;200;662,1750567828;390;642,1091459712;1920;1920
Café Hôtel Restaurant;Hôtel sans restaurant;Petit Hotel sans restaurant Bas de gamme;139;<5000m2;hotellerie;310;3051,6230661944;620;2991,7873197984;3000;3000;200;1974,579631067;390;1914,743884671;1920;1920
Café Hôtel Restaurant;Hôtel sans restaurant;Petit Hotel sans restaurant Haut de gamme;284;<5000m2;hotellerie;310;2134,9077758226;620;2093,0468390417;3000;3000;200;1381,4109137675;390;1339,5499769867;1920;1920
Café Hôtel Restaurant;Hôtel sans restaurant;Petit Hotel sans restaurant Luxe;394;<5000m2;hotellerie;310;1812,5507617607;620;1777,0105507458;3000;3000;200;1172,8269634922;390;1137,2867524773;1920;1920
Café Hôtel Restaurant;Restaurant;Grand restaurant rapide;390;<5000m2;restauration;620;966,1671140686;1240;947,2226608516;3000;3000;400;625,1669561621;780;606,222502945;1920;1920
Café Hôtel Restaurant;Restaurant;Grand restaurant traditionnel;393;<5000m2;restauration;620;962,4723888178;1240;943,6003811939;3000;3000;400;622,776251588;780;603,9042439641;1920;1920
Café Hôtel Restaurant;Restaurant;Petit restaurant rapide;40;<5000m2;restauration;620;3016,8558467385;1240;2957,7018105279;3000;3000;400;1952,0831949484;780;1892,9291587379;1920;1920
Café Hôtel Restaurant;Restaurant;Petit restaurant traditionnel;40;<5000m2;restauration;620;3016,8558467385;1240;2957,7018105279;3000;3000;400;1952,0831949484;780;1892,9291587379;1920;1920
Commerce;Commerce de détail non alimentaire;Complexe brico;2676;<5000m2;commerces;620;122,9476537415;1240;120,5369154328;3000;3000;400;79,5543641857;780;77,143625877;1920;1920
Commerce;Commerce de détail non alimentaire;Grand brico;1062;<5000m2;commerces;620;195,1645980678;1240;191,337841243;3000;3000;400;126,2829752204;780;122,4562183955;1920;1920
Commerce;Commerce de détail non alimentaire;Grand librairie;860;<5000m2;commerces;620;216,8772882059;1240;212,6247923587;3000;3000;400;140,3323629567;780;136,0798671096;1920;1920
Commerce;Commerce de détail non alimentaire;Grand Mode;621;<5000m2;commerces;620;255,2216428059;1240;250,2172968685;3000;3000;400;165,1434159332;780;160,1390699958;1920;1920
Commerce;Commerce de détail non alimentaire;Petit brico;131;<5000m2;commerces;620;1111,3673855431;1240;1089,5758681795;3000;3000;400;719,1200729985;780;697,3285556349;1920;1920
Commerce;Commerce de détail non alimentaire;Petit librairie;101;<5000m2;commerces;620;1265,7053291339;1240;1240,8875775823;3000;3000;400;818,9858012043;780;794,1680496527;1920;1920
Commerce;Commerce de détail non alimentaire;Petit mode;69;<5000m2;commerces;620;1531,3298568352;1240;1501,3037812109;3000;3000;400;990,8604955992;780;960,834419975;1920;1920
Commerce;Commerce de détail non alimentaire;ZAC Mode;204;<5000m2;commerces;620;445,2954075667;1240;436,5641250654;3000;3000;400;288,1323225432;780;279,4010400419;1920;1920
Commerce;Commerce de gros;Grand commerce de gros;6511;5000<S<10000;commerces;516,6666666667;65,6837903391;1033,3333333333;64,3958728815;2500;2500;333,3333333333;42,5012761018;650;41,2133586442;1600;1600
Commerce;Commerce de gros;Petit commerce de gros;236;<5000m2;commerces;620;828,0132644479;1240;811,7777102431;3000;3000;400;535,7732887604;780;519,5377345556;1920;1920
Commerce;Entrepôt;Entrepôt;1488;<5000m2;commerces;620;82,4388336303;1240;80,822385912;3000;3000;400;53,342774702;780;51,7263269837;1920;1920
Commerce;Grand commerce alimentaire;Grand alimentaire;1779;<5000m2;commerces;620;150,790966848;1240;147,8342812236;3000;3000;400;97,5706256076;780;94,6139399831;1920;1920
Commerce;Grand commerce alimentaire;Hypermarché;6373;5000<S<10000;commerces;516,6666666667;66,3911352052;1033,3333333333;65,0893482404;2500;2500;333,3333333333;42,9589698386;650;41,6571828738;1600;1600
Commerce;Grand commerce alimentaire;Superette;118;<5000m2;commerces;620;585,4937942035;1240;574,013523729;3000;3000;400;378,8489256611;780;367,3686551865;1920;1920
