"scenario";"annee";"surface";"surface_lag";"raccordement"
"P0_Nopol";"2009";56476789.6076;0;56476789.6076
"P0_Nopol";"2010";54501911.4817;56476789.6076;-1974878.1259
"P0_Nopol";"2011";52472724.1478;54501911.4817;-2029187.3339
"P0_Nopol";"2012";50498054.3238;52472724.1478;-1974669.824
"P0_Nopol";"2013";48702004.1649;50498054.3238;-1796050.15889999
"P0_Nopol";"2014";46756170.3889;48702004.1649;-1945833.77600001
"P0_Nopol";"2015";44812826.3675;46756170.3889;-1943344.02139999
"P0_Nopol";"2016";42817207.6601;44812826.3675;-1995618.70740001
"P0_Nopol";"2017";40854074.3049;42817207.6601;-1963133.3552
"P0_Nopol";"2018";38922861.0868;40854074.3049;-1931213.2181
"P0_Nopol";"2019";37028326.082;38922861.0868;-1894535.0048
"P0_Nopol";"2020";35199597.4879;37028326.082;-1828728.59410001
"P0_Nopol";"2021";33424183.5583;35199597.4879;-1775413.9296
"P0_Nopol";"2022";31677083.2451;33424183.5583;-1747100.3132
"P0_Nopol";"2023";29959297.0586;31677083.2451;-1717786.1865
"P0_Nopol";"2024";28391785.549;29959297.0586;-1567511.5096
"P0_Nopol";"2025";26864632.9476;28391785.549;-1527152.6014
"P0_Nopol";"2026";25474229.0597;26864632.9476;-1390403.8879
"P0_Nopol";"2027";24199781.3987;25474229.0597;-1274447.661
"P0_Nopol";"2028";23096654.9001;24199781.3987;-1103126.4986
"P0_Nopol";"2029";22019785.7548;23096654.9001;-1076869.1453
"P0_Nopol";"2030";21068656.8289;22019785.7548;-951128.925899997
"P0_Nopol";"2031";20085985.9733;21068656.8289;-982670.855600003
"P0_Nopol";"2032";19145758.3259;20085985.9733;-940227.647399995
"P0_Nopol";"2033";18233279.2156;19145758.3259;-912479.110300004
"P0_Nopol";"2034";17379511.8626;18233279.2156;-853767.352999996
"P0_Nopol";"2035";18033223.8431;17379511.8626;653711.980499998
"P0_Nopol";"2036";18657859.6373;18033223.8431;624635.794199999
"P0_Nopol";"2037";19168035.3166;18657859.6373;510175.679299999
"P0_Nopol";"2038";19542830.8628;19168035.3166;374795.5462
"P0_Nopol";"2039";20239644.431;19542830.8628;696813.5682
"P0_Nopol";"2040";21035253.922;20239644.431;795609.491
"P0_Nopol";"2041";21799794.1038;21035253.922;764540.1818
"P0_Nopol";"2042";22547430.7596;21799794.1038;747636.6558
"P0_Nopol";"2043";23279838.1878;22547430.7596;732407.428200003
"P0_Nopol";"2044";24051289.1585;23279838.1878;771450.970699996
"P0_Nopol";"2045";24791423.3097;24051289.1585;740134.1512
"P0_Nopol";"2046";25523583.3957;24791423.3097;732160.086000003
"P0_Nopol";"2047";26261191.4248;25523583.3957;737608.029100001
"P0_Nopol";"2048";27019499.8406;26261191.4248;758308.415799998
"P0_Nopol";"2049";27674712.403;27019499.8406;655212.562400002
"P0_Nopol";"2050";28331809.5886;27674712.403;657097.185599998
