usage;energie;Conso;scenario;Conso_cum
Autres usages;Autres;0,4612626779609;AMS3;0,4612626779609
Autres usages;Electricité;58,9336205133207;AMS3;59,3948831912816
Autres usages;Fioul;0,7011299016298;AMS3;60,0960130929114
Autres usages;Gaz;0,9522940450488;AMS3;61,0483071379602
Autres usages;Urbain;0;AMS3;61,0483071379602
Cuisson;Autres;0,238335759977;AMS3;0,238335759977
Cuisson;Electricité;12,134143001141;AMS3;12,372478761118
Cuisson;Fioul;0;AMS3;12,372478761118
Cuisson;Gaz;1,3503071793594;AMS3;13,7227859404774
Cuisson;Urbain;0;AMS3;13,7227859404774
ECS;Autres;3,2215516282541;AMS3;3,2215516282541
ECS;Electricité;4,7514678354567;AMS3;7,9730194637108
ECS;Fioul;0,0057681532099;AMS3;7,9787876169207
ECS;Gaz;1,9143609844996;AMS3;9,8931486014203
ECS;Urbain;0,874918107891;AMS3;10,7680667093113
Chauffage;Autres;3,2042534411822;AMS3;3,2042534411822
Chauffage;Electricité;11,4361657250678;AMS3;14,64041916625
Chauffage;Fioul;0,0100217027807;AMS3;14,6504408690307
Chauffage;Gaz;1,8311596718015;AMS3;16,4816005408322
Chauffage;Urbain;16,277454645629;AMS3;32,7590551864612
