"scenario";"Fact";"INV";"COFP";"CoutTot_COFP";"Em";"CoutTonne_COFP";"CoutTot";"CoutTonne"
"Nopol";150.850356424957;27.7756829333223;-2.79151934620474;175.834520012074;414.813826583902;NA;178.626039358279;NA
"TC600";152.685357880083;34.7268684284291;-7.49487926561636;179.917347042895;388.185484534421;153.326370197384;187.412226308512;329.956214844558
"TC600bis";144.89725305369;36.60620064038;-10.6907723265484;170.812681367521;371.992250324297;-117.273558873877;181.50345369407;67.1954324695173
"CEE";144.913044646899;35.0010443741255;-2.71868710223039;177.195401918794;403.333412263143;118.539441931031;179.914089021024;112.195398768525
"OR";147.445934543007;40.8538893176161;-2.7431618163582;185.556662044265;405.05817539972;996.565154764243;188.299823860623;991.608281160056
"AMS";145.78747501278;49.8251977620177;-4.60866021127646;191.004012563521;341.358138985439;206.512157838198;195.612672774798;231.250077044739
