"scenario";"TC";"Taxes_ener";"sub_elec";"COFP"
"Nopol";0;11.1660773848189;0;-2.79151934620474
"TC600";18.9293513049986;11.0501657574669;0;-7.49487926561636
"TC600bis";32.621175128178;10.1419141780156;0;-10.6907723265484
"CEE";0;10.8747484089215;0;-2.71868710223039
"OR";0;10.9726472654328;0;-2.7431618163582
"AMS";12.3108387925339;10.6212478080058;4.49744575543383;-4.60866021127646
