"scenario";"Fact";"INV";"COFP";"CoutTot_COFP";"Em";"CoutTonne_COFP";"CoutTot";"CoutTonne"
"REF";144.055949501617;40.8375119814513;-5.70745100226133;179.186010480807;388.230258816329;NA;184.893461483068;NA
"SIM";145.78747501278;49.8251977620177;-4.60866021127646;191.004012563521;341.358138985439;252.132869717712;195.612672774798;228.690559129899
"REF prix SIM";156.703602593817;40.8375119814513;-6.00708771132692;191.534026863941;349.8829734984;322.004968037756;197.541114575268;329.818733903615
"SIM prix REF";139.658373337683;49.8251977620177;-4.70978175034662;184.773789349354;361.000180205323;205.20612328636;189.483571099701;168.567622672136
