"scenario";"Fact";"INV";"CoutTot"
"Nopol";162.016433809776;27.7756829333223;189.792116743098
"TC600";182.664874942548;34.7268684284291;217.391743370977
"TC600bis";187.660342359883;36.60620064038;224.266543000263
"CEE";155.78779305582;35.0010443741255;190.788837429946
"OR";158.41858180844;40.8538893176161;199.272471126056
"AMS";168.838444179541;49.8251977620177;218.663641941559
