"scenario";"Fact";"INV";"CoutTot"
"REF";168.512517881766;40.8375119814513;209.350029863218
"SIM";168.838444179541;49.8251977620177;218.663641941559
"REF prix SIM";186.754346431098;40.8375119814513;227.591858412549
"SIM prix REF";159.931211414971;49.8251977620177;209.756409176988
