"BRANCHE";"BAT_TYPE";"PRODUCTION_CHAUD";"ENERGIE";"CINT";"COUT_VARIABLE"
Commerce;Grand commerce de gros;Autre système centralisé performant;Autres;9.90496;7.73597
Sport Loisir Culture;Immeuble péri urbain;DRV;Electricité;6.023426;7.159404
Sport Loisir Culture;Grand cinéma;Rooftop performant;Electricité;11.44866;2.705771
Café Hôtel Restaurant;Petit Hotel sans restaurant Luxe;Chaudière condensation fioul;Fioul;1.92252;16.69538
Café Hôtel Restaurant;Grand Hotel avec restaurant Bas de gamme;Chaudière gaz;Gaz;4.999995;5.089125
Enseignement Recherche;Préélémentaire;Chaudière condensation fioul;Fioul;3.00418;9.82841
Sport Loisir Culture;Piscine;Autre système centralisé;Urbain;3.686728;8.833782
Café Hôtel Restaurant;Moyen Hotel sans restaurant Luxe;PAC;Electricité;-1.47799;16.80164
Café Hôtel Restaurant;Petite cantine;Autre système centralisé performant;Urbain;14.24513;24.76086
Bureaux Administration;immeuble peri urbain;Autre système centralisé;Autres;7.45743;14.32216
Habitat Communautaire;Résidentiel;Electrique direct;Electricité;4.18498;11.14835
Enseignement Recherche;Lycée professionnel (LP);Chaudière condensation gaz;Gaz;6.798124;3.711176
Café Hôtel Restaurant;Grand restaurant rapide;Rooftop;Electricité;4.62473;17.11742
Commerce;Complexe brico;Autre système centralisé performant;Autres;9.327144;6.049656
Commerce;Grand librairie;PAC;Electricité;-3.65994;15.401
Bureaux Administration;immeuble peri urbain;Chaudière condensation fioul;Fioul;2.56541;15.90359
Sport Loisir Culture;Petit cinéma;Cassette rayonnante;Electricité;-3.61784;19.9928
Commerce;Petit mode;Chaudière fioul;Fioul;1.10964;12.30409
Enseignement Recherche;Collège;Chaudière fioul;Fioul;2.497947;7.03023
Café Hôtel Restaurant;Moyen Hotel sans restaurant Haut de gamme;Electrique direct;Electricité;-1.80537;14.61429
Commerce;Grand Mode;Autre système centralisé;Autres;8.737281;6.663059
Enseignement Recherche;R&D sciences physiques et naturelles;PAC performant;Electricité;3.17888;11.5312
Enseignement Recherche;Préélémentaire;Autre système centralisé;Autres;8.630809;8.450501
Commerce;Hypermarché;Chaudière fioul;Fioul;0.31972;11.60327
Café Hôtel Restaurant;Grand Hotel sans restaurant Haut de gamme;Electrique direct;Electricité;-0.518257;9.546974
Café Hôtel Restaurant;Petit Hotel sans restaurant Luxe;Autre système centralisé;Autres;3.18241;14.93901
Commerce;Entrepôt;Electrique direct performant;Electricité;3.432796;8.180564
Enseignement Recherche;R&D en sciences humaines et sociales;Electrique direct performant;Electricité;3.02129;10.51391
Enseignement Recherche;école;Electrique direct;Electricité;1.90638;9.9413
Habitat Communautaire;Résidence universitaire;PAC performant;Electricité;3.8093;10.57437
Café Hôtel Restaurant;Petit Hotel avec restaurant Haut de gamme;Electrique direct performant;Electricité;1.52543;18.98954
Sport Loisir Culture;Grand cinéma;Cassette rayonnante performant;Electricité;3.43658;8.64666
Commerce;Grand alimentaire;Chaudière condensation gaz;Gaz;7.399793;5.241027
Enseignement Recherche;Lycée d’enseignement général et technologique (LEGT);Autre système centralisé;Urbain;2.76353;8.77844
Commerce;Grand process;Chaudière fioul;Fioul;-0.36117;11.78415
Café Hôtel Restaurant;Moyen Hotel avec restaurant Bas de gamme;Chaudière gaz;Gaz;5.000002;9.372208
Café Hôtel Restaurant;Moyen Hotel sans restaurant Luxe;Rooftop;Electricité;5.399184;9.924466
Café Hôtel Restaurant;Moyen Hotel sans restaurant Bas de gamme;Chaudière fioul;Fioul;2.10326;17.92037
Enseignement Recherche;Cantine élémentaire;Autre système centralisé performant;Urbain;-1.20165;24.27938
Santé Action Sociale;Hopital maison;Autre système centralisé;Urbain;0.74503;11.69188
Commerce;Petit brico;Autre système centralisé performant;Urbain;10.78344;9.479365
Café Hôtel Restaurant;Grand bar café tabac;Rooftop performant;Electricité;9.992279;9.780981
Habitat Communautaire;Foyers;Chaudière condensation fioul;Fioul;2.20453;10.46584
Sport Loisir Culture;Salle non spécialisée;Electrique direct performant;Electricité;5.82672;11.14622
Sport Loisir Culture;Grande salle de spectacle;Autre système centralisé;Urbain;2.240009;5.784432
Café Hôtel Restaurant;Petit Hotel avec restaurant Luxe;Rooftop performant;Electricité;9.94025;14.91251
Commerce;Hypermarché;Autre système centralisé;Urbain;5.41192;9.85631
Santé Action Sociale;Cabinet médical;PAC;Electricité;4.201095;7.301015
Café Hôtel Restaurant;Petit Hotel sans restaurant Bas de gamme;Chaudière gaz;Gaz;5;13.34017
Commerce;Grand alimentaire;Autre système centralisé;Autres;9.12113;6.89613
Santé Action Sociale;Hopital pavillonnaire;Electrique direct;Electricité;-6.2159;19.93854
Café Hôtel Restaurant;Petit Hotel sans restaurant Haut de gamme;PAC;Electricité;-4.44603;24.26828
Café Hôtel Restaurant;Grand Hotel sans restaurant Luxe;Rooftop;Electricité;5.101495;8.164895
Café Hôtel Restaurant;Grand Hotel sans restaurant Bas de gamme;Chaudière fioul;Fioul;0.86263;10.40497
Bureaux Administration;plateau mince;Chaudière gaz;Gaz;4.999998;5.376122
Bureaux Administration;immeuble résidentiel;Autre système centralisé performant;Autres;19.38361;14.88749
Sport Loisir Culture;Patinoire;Chaudière condensation gaz;Gaz;6.975617;3.484073
Enseignement Recherche;Cantine LP;PAC performant;Electricité;-2.10709;33.42963
Café Hôtel Restaurant;Grand restaurant rapide;PAC;Electricité;-7.50287;29.24502
Enseignement Recherche;université;PAC;Electricité;-1.63136;14.0607
Sport Loisir Culture;Petite salle multisport;Rooftop;Electricité;14.12977;7.59473
Sport Loisir Culture;Musée;PAC;Electricité;-1.68082;13.09024
Enseignement Recherche;Internat college;Chaudière gaz;Gaz;5;4.905098
Café Hôtel Restaurant;Moyen Hotel sans restaurant Bas de gamme;Autre système centralisé;Urbain;0.07314;17.49331
Enseignement Recherche;Cantine préélémentaire;Autre système centralisé performant;Autres;17.70628;22.86251
Café Hôtel Restaurant;Grand restaurant traditionnel;Autre système centralisé performant;Autres;12.71874;12.64775
Habitat Communautaire;Foyers;Autre système centralisé;Autres;10.94148;5.706798
Café Hôtel Restaurant;Grand bar café tabac;PAC performant;Electricité;3.53782;16.23544
Enseignement Recherche;Préélémentaire;Autre système centralisé performant;Urbain;6.290931;9.696039
Café Hôtel Restaurant;Grande cantine;Chaudière condensation gaz;Gaz;8.024179;6.469211
Enseignement Recherche;Cantine collége;PAC performant;Electricité;-4.45208;33.7802
Sport Loisir Culture;Petite salle multisport;PAC;Electricité;8.44214;13.28236
Commerce;ZAC Mode;Rooftop performant;Electricité;5.3229;11.11688
Bureaux Administration;plateau large bureaux cloisonnés;Autre système centralisé;Urbain;0.77536;11.33106
Santé Action Sociale;Centre accueil;PAC performant;Electricité;3.66884;11.61133
Bureaux Administration;immeuble rénové;PAC performant;Electricité;2.85915;13.05172
Café Hôtel Restaurant;Hotel d'affaire sans restaurant Haut de Gamme;Chaudière fioul;Fioul;-0.61347;11.34863
Enseignement Recherche;Internat LEGT;Electrique direct;Electricité;-2.46248;14.78535
Commerce;Petit poissonnerie;Electrique direct;Electricité;-1.10198;15.24469
Enseignement Recherche;Cantine LEGT;Chaudière condensation gaz;Gaz;9.35129;14.47084
Sport Loisir Culture;Immeuble péri urbain;Autre système centralisé performant;Autres;9.058475;9.300025
Café Hôtel Restaurant;Petit restaurant rapide;Electrique direct performant;Electricité;14.44575;13.79136
Sport Loisir Culture;Patinoire;Cassette rayonnante;Electricité;2.191534;7.481732
Commerce;Supermarché;Rooftop;Electricité;4.06781;10.12299
Commerce;Grand Mode;Chaudière condensation fioul;Fioul;3.248266;9.302454
Habitat Communautaire;Maison de pré-retraite;Electrique direct performant;Electricité;2.54959;11.47905
Commerce;Grand commerce de gros;Chaudière condensation gaz;Gaz;7.362215;4.107695
Sport Loisir Culture;Petite salle de spectacle;Autre système centralisé performant;Autres;9.8531;13.29674
Sport Loisir Culture;Vestiaire et rangement;Chaudière fioul;Fioul;-3.76635;23.43459
Sport Loisir Culture;Grand cinéma;PAC;Electricité;6.046575;5.855835
Commerce;Petit commerce de gros;Rooftop performant;Electricité;4.353359;9.652651
Commerce;Petit brico;Autre système centralisé performant;Autres;14.72663;8.800988
Habitat Communautaire;Foyers;Autre système centralisé;Urbain;6.640094;6.501186
Café Hôtel Restaurant;Grand Hotel avec restaurant Bas de gamme;Electrique direct;Electricité;-0.002523;9.510873
Café Hôtel Restaurant;Grand Hotel avec restaurant Haut de gamme;PAC;Electricité;1.16967;11.03462
Café Hôtel Restaurant;Petite cantine;Autre système centralisé;Autres;19.77614;20.40774
Café Hôtel Restaurant;Grand Hotel avec restaurant Luxe;Rooftop;Electricité;5.191405;8.448725
Enseignement Recherche;Cantine élémentaire;Autre système centralisé performant;Autres;13.50303;22.42015
Commerce;Grand process;Autre système centralisé;Urbain;6.551638;8.569572
Santé Action Sociale;Hopital bloc;PAC;Electricité;3.18808;9.63913
Enseignement Recherche;Lycée d’enseignement général et technologique (LEGT);Chaudière fioul;Fioul;2.501571;7.717699
Enseignement Recherche;Internat LP;PAC;Electricité;1.55479;12.38817
Café Hôtel Restaurant;Grand Hotel avec restaurant Luxe;PAC;Electricité;-1.26791;14.90804
Sport Loisir Culture;Grand bar café tabac;PAC performant;Electricité;12.23561;5.299791
Santé Action Sociale;Hopital maison;Chaudière fioul;Fioul;-1.48755;12.10086
Café Hôtel Restaurant;Grand restaurant traditionnel;Autre système centralisé performant;Urbain;5.24991;14.90475
Commerce;Grand brico;Rooftop performant;Electricité;5.34747;12.09052
Commerce;Grand alimentaire;Electrique direct performant;Electricité;3.15981;10.49929
Café Hôtel Restaurant;Petite cantine;Chaudière condensation fioul;Fioul;4.79846;27.79033
Commerce;Entrepôt;Chaudière condensation gaz;Gaz;6.983822;3.164918
Enseignement Recherche;R&D en sciences humaines et sociales;Chaudière condensation gaz;Gaz;7.408581;4.599419
Enseignement Recherche;Cantine LP;Chaudière fioul;Fioul;-6.9676;29.58355
Sport Loisir Culture;Piscine;Autre système centralisé;Autres;3.91109;7.63333
Café Hôtel Restaurant;Petit Hotel avec restaurant Haut de gamme;Chaudière condensation gaz;Gaz;10.1905;10.27197
Café Hôtel Restaurant;Hotel d'affaire avec restaurant Luxe;Chaudière condensation gaz;Gaz;7.407331;3.770949
Sport Loisir Culture;Piscine;Chaudière condensation fioul;Fioul;5.661705;7.509885
Bureaux Administration;immeuble peri urbain;Autre système centralisé performant;Urbain;3.61402;16.62176
Sport Loisir Culture;Grande salle multisport;Chaudière fioul;Fioul;4.213913;4.781996
Café Hôtel Restaurant;Moyen Hotel avec restaurant Bas de gamme;Electrique direct;Electricité;-1.1465;16.35608
Commerce;Petit mode;Autre système centralisé;Urbain;6.021094;8.656896
Café Hôtel Restaurant;Moyen Hotel avec restaurant Luxe;Rooftop;Electricité;4.800649;9.572681
Commerce;Petit boulangerie;PAC;Electricité;-8.77684;25.66356
Sport Loisir Culture;Salle non spécialisée;Chaudière condensation gaz;Gaz;8.011127;8.346223
Bureaux Administration;plateau large bureau paysagés;Chaudière condensation gaz;Gaz;7.317101;3.148989
Café Hôtel Restaurant;Hotel d'affaire avec restaurant Luxe;PAC;Electricité;-1.19177;12.91656
Café Hôtel Restaurant;Petit bar café tabac;PAC performant;Electricité;11.46972;18.70844
Café Hôtel Restaurant;Hotel d'affaire sans restaurant Haut de Gamme;Autre système centralisé;Urbain;1.13445;11.28678
Bureaux Administration;plateau large bureaux cloisonnés;Chaudière condensation fioul;Fioul;4.557807;8.900663
Sport Loisir Culture;Petite salle de spectacle;Tube radiant performant;Gaz;11.07357;7.210177
Bureaux Administration;plateau large bureaux cloisonnés;Autre système centralisé;Autres;6.832158;9.154542
Café Hôtel Restaurant;Hotel d'affaire sans restaurant Luxe;Chaudière gaz;Gaz;5;4.664961
Bureaux Administration;plateau mince;Electrique direct;Electricité;-1.98255;12.76364
Café Hôtel Restaurant;Moyen Hotel avec restaurant Haut de gamme;Electrique direct;Electricité;-1.83221;14.96172
Sport Loisir Culture;Patinoire;Electrique direct performant;Electricité;4.565596;6.937924
Café Hôtel Restaurant;Petit restaurant traditionnel;Rooftop performant;Electricité;1.64527;33.74316
Sport Loisir Culture;Grande salle multisport;Autre système centralisé;Urbain;6.28315;4.0356
Enseignement Recherche;Internat college;Electrique direct;Electricité;-2.49294;13.15712
Café Hôtel Restaurant;Petit Hotel avec restaurant Bas de gamme;Chaudière condensation gaz;Gaz;10.59362;11.08734
Café Hôtel Restaurant;Petit Hotel avec restaurant Luxe;PAC performant;Electricité;-0.74816;25.60092
Sport Loisir Culture;Grand cinéma;Rooftop;Electricité;8.981032;2.921378
Café Hôtel Restaurant;Petit Hotel sans restaurant Haut de gamme;Rooftop performant;Electricité;6.71997;16.8528
Sport Loisir Culture;Petite salle multisport;Chaudière condensation gaz;Gaz;9.632304;9.734626
Café Hôtel Restaurant;Petit bar café tabac;Rooftop performant;Electricité;11.17926;18.9989
Café Hôtel Restaurant;Grand Hotel avec restaurant Haut de gamme;Rooftop;Electricité;5.794982;6.409308
Sport Loisir Culture;Grande salle de spectacle;Chaudière fioul;Fioul;2.320449;4.791659
Commerce;Petit librairie;PAC;Electricité;-0.64562;15.87461
Enseignement Recherche;Internat LEGT;Chaudière gaz;Gaz;5.000003;5.595747
Commerce;Superette;PAC;Electricité;-2.78738;18.66944
Habitat Communautaire;Maison retraite médicalisée;PAC performant;Electricité;1.67457;12.55754
Café Hôtel Restaurant;Grande cantine;Electrique direct performant;Electricité;5.21842;10.68365
Café Hôtel Restaurant;Grand Hotel sans restaurant Bas de gamme;Autre système centralisé;Urbain;2.31903;10.30344
Café Hôtel Restaurant;Petit restaurant rapide;Chaudière condensation gaz;Gaz;8.91903;21.52886
Enseignement Recherche;Cantine LEGT;Electrique direct performant;Electricité;-0.70422;30.63914
Café Hôtel Restaurant;Petit restaurant traditionnel;PAC performant;Electricité;21.85432;13.53411
Habitat Communautaire;Maison de pré-retraite;Chaudière condensation gaz;Gaz;7.09588;5.07183
Sport Loisir Culture;Salle non spécialisée;Cassette rayonnante;Electricité;1.78088;12.4916
Commerce;Grand Mode;Autre système centralisé;Urbain;5.76317;7.38801
Commerce;Complexe brico;Electrique direct;Electricité;0.834823;7.913786
Sport Loisir Culture;Patinoire;Rooftop;Electricité;8.421499;2.909861
Enseignement Recherche;Préélémentaire;Autre système centralisé performant;Autres;11.84058;8.472644
Commerce;Hypermarché;Chaudière condensation fioul;Fioul;3.22445;10.95445
Sport Loisir Culture;Petite salle multisport;Cassette rayonnante;Electricité;-2.7441;21.2897
Enseignement Recherche;Lycée professionnel (LP);Chaudière gaz;Gaz;5;3.837232
Enseignement Recherche;école;Electrique direct performant;Electricité;4.456594;9.632746
Bureaux Administration;immeuble peri urbain;Autre système centralisé performant;Autres;12.28707;13.61337
Commerce;Petit mode;Autre système centralisé;Autres;11.35346;8.044955
Habitat Communautaire;Maison de pré-retraite;Chaudière gaz;Gaz;5;5.23178
Café Hôtel Restaurant;Moyen Hotel sans restaurant Bas de gamme;Chaudière condensation fioul;Fioul;8.69567;15.11657
Enseignement Recherche;Lycée d’enseignement général et technologique (LEGT);Autre système centralisé performant;Urbain;5.039384;8.686406
Sport Loisir Culture;Immeuble péri urbain;Autre système centralisé;Autres;6.123978;9.313622
Commerce;Entrepôt;Electrique direct;Electricité;1.402791;8.362841
Enseignement Recherche;Collège;PAC performant;Electricité;1.70273;12.66627
Enseignement Recherche;R&D sciences physiques et naturelles;Chaudière fioul;Fioul;3.568861;9.203509
Café Hôtel Restaurant;Grande cantine;Rooftop;Electricité;6.00237;11.07944
Commerce;Grand Mode;Chaudière fioul;Fioul;1.118663;9.435197
Santé Action Sociale;Hopital maison;Autre système centralisé performant;Urbain;3.93603;10.85403
Bureaux Administration;plateau mince;Autre système centralisé performant;Autres;10.77758;10.07231
Café Hôtel Restaurant;Petite cantine;Autre système centralisé;Urbain;8.977;23.82299
Sport Loisir Culture;Patinoire;PAC;Electricité;5.584638;5.746722
Habitat Communautaire;Résidentiel;Autre système centralisé performant;Autres;17.53507;7.196591
Commerce;Hypermarché;Autre système centralisé;Autres;8.214243;8.586337
Bureaux Administration;immeuble rénové;Chaudière fioul;Fioul;-1.40714;14.54392
Café Hôtel Restaurant;Moyen Hotel sans restaurant Haut de gamme;Electrique direct performant;Electricité;1.30055;13.93191
Café Hôtel Restaurant;Hotel d'affaire sans restaurant Haut de Gamme;PAC performant;Electricité;-2.30961;17.70036
Café Hôtel Restaurant;Grand Hotel sans restaurant Luxe;PAC performant;Electricité;-0.89184;16.66833
Café Hôtel Restaurant;Moyen Hotel sans restaurant Bas de gamme;Autre système centralisé;Autres;9.72815;13.41634
Commerce;Petit mode;Chaudière condensation fioul;Fioul;3.60154;12.35016
Commerce;Grand process;Autre système centralisé;Autres;8.90502;7.68807
Café Hôtel Restaurant;Petit Hotel sans restaurant Bas de gamme;Electrique direct performant;Electricité;-1.0062;20.55861
Enseignement Recherche;Cantine préélémentaire;Autre système centralisé performant;Urbain;-1.16689;24.27613
Café Hôtel Restaurant;Grand restaurant rapide;Rooftop performant;Electricité;7.42682;18.4291
Café Hôtel Restaurant;Petit Hotel sans restaurant Luxe;Chaudière fioul;Fioul;-3.27814;18.93387
Café Hôtel Restaurant;Grand Hotel sans restaurant Haut de gamme;Electrique direct performant;Electricité;1.467045;9.269965
Enseignement Recherche;Elémentaire;PAC performant;Electricité;1.15421;15.97056
Santé Action Sociale;Centre accueil;PAC;Electricité;2.29429;10.55475
Sport Loisir Culture;Musée;PAC performant;Electricité;-0.97587;14.54403
Café Hôtel Restaurant;Grand Hotel sans restaurant Bas de gamme;Autre système centralisé;Autres;8.614244;7.968626
Café Hôtel Restaurant;Petit bar café tabac;Chaudière fioul;Fioul;-0.80385;22.4107
Café Hôtel Restaurant;Hotel d'affaire avec restaurant Haut de gamme;Chaudière gaz;Gaz;4.999996;6.133964
Sport Loisir Culture;Grande salle multisport;Tube radiant performant;Gaz;5.917415;3.14247
Café Hôtel Restaurant;Moyen Hotel avec restaurant Luxe;PAC;Electricité;-2.05949;16.43282
Sport Loisir Culture;Grand cinéma;Electrique direct performant;Electricité;3.43658;8.64666
Bureaux Administration;immeuble résidentiel;Chaudière condensation fioul;Fioul;5.19429;20.14037
Café Hôtel Restaurant;Grand Hotel sans restaurant Luxe;Rooftop performant;Electricité;7.063165;8.713325
Commerce;Petit brico;Autre système centralisé;Urbain;8.192366;8.846554
Santé Action Sociale;Hopital pavillonnaire;Electrique direct performant;Electricité;-2.45996;18.77902
Commerce;Supermarché;Rooftop performant;Electricité;6.02353;10.85227
Café Hôtel Restaurant;Moyen Hotel avec restaurant Haut de gamme;Chaudière gaz;Gaz;5;8.45883
Sport Loisir Culture;Patinoire;Cassette rayonnante performant;Electricité;4.565596;6.937924
Sport Loisir Culture;Petit cinéma;Rooftop;Electricité;11.91294;7.268852
Commerce;Petit poissonnerie;Electrique direct performant;Electricité;2.30675;14.51186
Café Hôtel Restaurant;Petit restaurant rapide;Electrique direct;Electricité;9.28295;14.46153
Enseignement Recherche;Cantine préélémentaire;Chaudière condensation fioul;Fioul;-4.63525;27.54447
Santé Action Sociale;Cabinet médical;PAC performant;Electricité;5.737441;7.940949
Santé Action Sociale;Garderie;PAC;Electricité;3.537588;8.947792
Café Hôtel Restaurant;Petit Hotel avec restaurant Bas de gamme;Electrique direct performant;Electricité;-1.50194;20.4973
Commerce;Grand commerce de gros;Chaudière gaz;Gaz;5;4.645009
Habitat Communautaire;Foyers;Chaudière fioul;Fioul;-1.22518;11.87965
Commerce;Hypermarché;Autre système centralisé performant;Urbain;7.81433;10.34276
Enseignement Recherche;université;PAC performant;Electricité;-1.17111;15.95217
Café Hôtel Restaurant;Grand Hotel sans restaurant Bas de gamme;Chaudière condensation fioul;Fioul;4.627831;8.771679
Habitat Communautaire;Résidence universitaire;PAC;Electricité;2.51637;9.5788
Café Hôtel Restaurant;Hotel d'affaire avec restaurant Luxe;Rooftop;Electricité;4.776824;6.947966
Commerce;ZAC Mode;Rooftop;Electricité;3.46942;10.35473
Bureaux Administration;immeuble résidentiel;Autre système centralisé;Autres;13.22169;15.59676
Café Hôtel Restaurant;Grand Hotel avec restaurant Bas de gamme;Autre système centralisé performant;Autres;9.992228;7.950302
Café Hôtel Restaurant;Grand restaurant rapide;PAC performant;Electricité;-7.23322;33.08914
Enseignement Recherche;Cantine préélémentaire;Autre système centralisé;Autres;10.92477;23.18938
Sport Loisir Culture;Grand bar café tabac;Autre système centralisé;Urbain;4.48505;9.8121
Café Hôtel Restaurant;Grand restaurant traditionnel;Electrique direct;Electricité;0.22911;12.68443
Café Hôtel Restaurant;Petit Hotel avec restaurant Luxe;Autre système centralisé;Urbain;3.77221;19.29844
Sport Loisir Culture;Immeuble péri urbain;Chaudière condensation fioul;Fioul;1.50785;12.69694
Café Hôtel Restaurant;Moyen Hotel sans restaurant Bas de gamme;Autre système centralisé performant;Urbain;3.99272;16.89742
Sport Loisir Culture;Petite salle de spectacle;Chaudière gaz;Gaz;5;10.37474
Enseignement Recherche;Internat LP;PAC performant;Electricité;3.0696;13.51146
Café Hôtel Restaurant;Petite cantine;Chaudière fioul;Fioul;-1.20375;28.60754
Commerce;Complexe brico;Chaudière gaz;Gaz;5;3.694331
Enseignement Recherche;Cantine élémentaire;Electrique direct;Electricité;-7.96809;28.74315
Sport Loisir Culture;Vestiaire et rangement;PAC performant;Electricité;10.15114;14.67119
Habitat Communautaire;Résidentiel;Autre système centralisé performant;Urbain;12.61352;7.846361
Santé Action Sociale;Hopital bloc;PAC performant;Electricité;4.76749;10.48672
Sport Loisir Culture;Petit cinéma;PAC;Electricité;8.03674;11.14505
Habitat Communautaire;Maison retraite médicalisée;PAC;Electricité;1.04942;10.91831
Café Hôtel Restaurant;Grand Hotel avec restaurant Luxe;Rooftop performant;Electricité;7.303543;8.917397
Sport Loisir Culture;Petit cinéma;PAC performant;Electricité;11.19099;11.62013
Enseignement Recherche;Lycée d’enseignement général et technologique (LEGT);Autre système centralisé;Autres;6.347512;7.736708
Enseignement Recherche;Lycée professionnel (LP);Electrique direct performant;Electricité;3.409256;9.437684
Café Hôtel Restaurant;Petit Hotel avec restaurant Haut de gamme;Rooftop;Electricité;5.86278;16.17415
Sport Loisir Culture;Grande salle multisport;Chaudière condensation fioul;Fioul;5.855303;4.842697
Café Hôtel Restaurant;Moyen Hotel sans restaurant Haut de gamme;Chaudière gaz;Gaz;5;8.30209
Commerce;Entrepôt;Chaudière gaz;Gaz;5;3.534042
Sport Loisir Culture;Grand bar café tabac;Chaudière fioul;Fioul;-1.66411;13.78604
Commerce;Petit mode;Autre système centralisé performant;Urbain;8.146534;9.308626
Santé Action Sociale;Hopital maison;Autre système centralisé;Autres;6.521867;9.352823
Bureaux Administration;plateau large bureau paysagés;PAC;Electricité;0.66514;10.05997
Commerce;Petit brico;Chaudière condensation fioul;Fioul;3.53704;12.51811
Sport Loisir Culture;Immeuble péri urbain;Autre système centralisé performant;Urbain;4.04848;10.85596
Habitat Communautaire;Maison de pré-retraite;Electrique direct;Electricité;-0.26931;12.06595
Café Hôtel Restaurant;Grand bar café tabac;Chaudière fioul;Fioul;-0.7343;13.05914
Sport Loisir Culture;Grande salle de spectacle;PAC performant;Electricité;4.07348;6.85005
Café Hôtel Restaurant;Moyen Hotel avec restaurant Haut de gamme;Chaudière condensation gaz;Gaz;8.927797;7.077543
Sport Loisir Culture;Grande salle multisport;Tube radiant;Gaz;4.514693;3.103732
Sport Loisir Culture;Piscine;Chaudière fioul;Fioul;3.638613;7.437327
Enseignement Recherche;école;Chaudière gaz;Gaz;5;4.730314
Enseignement Recherche;Cantine collége;Chaudière fioul;Fioul;-7.2892;29.22951
Café Hôtel Restaurant;Petit Hotel avec restaurant Haut de gamme;PAC;Electricité;-2.57595;24.61288
Bureaux Administration;immeuble résidentiel;Autre système centralisé performant;Urbain;7.10248;18.1931
Sport Loisir Culture;Petit cinéma;Rooftop performant;Electricité;16.07878;6.732335
Café Hôtel Restaurant;Grand Hotel avec restaurant Luxe;PAC performant;Electricité;-0.5163;16.73724
Sport Loisir Culture;Grande salle multisport;Autre système centralisé;Autres;5.607648;4.320599
Enseignement Recherche;Lycée d’enseignement général et technologique (LEGT);Chaudière condensation fioul;Fioul;4.380976;7.771854
Enseignement Recherche;Internat college;Autre système centralisé performant;Autres;6.464859;8.139781
Café Hôtel Restaurant;Petit Hotel avec restaurant Bas de gamme;Electrique direct;Electricité;-5.77747;21.7506
Santé Action Sociale;Hopital maison;Chaudière condensation fioul;Fioul;2.25228;10.36914
Café Hôtel Restaurant;Petit Hotel sans restaurant Haut de gamme;Rooftop;Electricité;4.08335;15.7389
Commerce;Grand commerce de gros;Electrique direct performant;Electricité;1.56905;10.28637
Café Hôtel Restaurant;Grand bar café tabac;Autre système centralisé;Urbain;2.94899;12.30008
Café Hôtel Restaurant;Petit Hotel sans restaurant Bas de gamme;Electrique direct;Electricité;-5.37569;21.81724
Commerce;Grand process;Autre système centralisé performant;Autres;11.49331;8.239308
Café Hôtel Restaurant;Hotel d'affaire avec restaurant Haut de gamme;Electrique direct;Electricité;-1.01482;11.81672
Enseignement Recherche;Cantine collége;Autre système centralisé;Urbain;-7.51276;27.48063
Café Hôtel Restaurant;Moyen Hotel avec restaurant Bas de gamme;Autre système centralisé performant;Autres;14.49183;14.23176
Santé Action Sociale;Hopital pavillonnaire;Chaudière gaz;Gaz;4.999999;6.701911
Café Hôtel Restaurant;Grand Hotel sans restaurant Bas de gamme;Autre système centralisé performant;Urbain;4.99848;10.01225
Bureaux Administration;plateau large bureaux cloisonnés;Chaudière fioul;Fioul;0.10866;11.20852
Sport Loisir Culture;Grand cinéma;Chaudière condensation gaz;Gaz;7.29394;4.02858
Café Hôtel Restaurant;Petit restaurant traditionnel;PAC;Electricité;17.33188;12.42612
Café Hôtel Restaurant;Grand Hotel sans restaurant Luxe;PAC;Electricité;-1.48419;14.75058
Café Hôtel Restaurant;Grand Hotel sans restaurant Haut de gamme;Chaudière gaz;Gaz;5.000001;4.808202
Café Hôtel Restaurant;Petit restaurant rapide;Chaudière gaz;Gaz;4.99999;20.60353
Sport Loisir Culture;Salle non spécialisée;Cassette rayonnante performant;Electricité;5.82672;11.14622
Enseignement Recherche;Elémentaire;PAC;Electricité;0.21057;14.18959
Café Hôtel Restaurant;Moyen Hotel avec restaurant Luxe;Rooftop performant;Electricité;6.97437;10.11849
Commerce;Petit commerce de gros;Rooftop;Electricité;2.85444;8.92316
Café Hôtel Restaurant;Petit Hotel avec restaurant Luxe;Chaudière fioul;Fioul;-3.58532;21.00589
Sport Loisir Culture;Petite salle multisport;Cassette rayonnante performant;Electricité;3.51794;18.53662
Commerce;Petit boulangerie;PAC performant;Electricité;-9.60061;29.68241
Sport Loisir Culture;Grand cinéma;Cassette rayonnante;Electricité;0.644809;9.515941
Commerce;Petit process;PAC;Electricité;-1.08713;17.72296
Sport Loisir Culture;Petite salle de spectacle;Electrique direct;Electricité;-3.71548;18.32125
Commerce;Petit poissonnerie;Chaudière gaz;Gaz;4.999997;9.877253
Café Hôtel Restaurant;Petit restaurant traditionnel;Rooftop;Electricité;0.22004;29.53796
Commerce;Petit brico;Autre système centralisé;Autres;11.73259;8.0517
Sport Loisir Culture;Grande salle multisport;Autre système centralisé performant;Urbain;7.788585;4.482555
Enseignement Recherche;Cantine élémentaire;Chaudière gaz;Gaz;5;13.459
Commerce;Complexe brico;Chaudière fioul;Fioul;2.296313;6.832919
Commerce;Petit librairie;Electrique direct;Electricité;2.178;10.82256
Café Hôtel Restaurant;Grand Hotel avec restaurant Haut de gamme;Autre système centralisé;Urbain;2.473129;9.557301
Sport Loisir Culture;Vestiaire et rangement;Autre système centralisé performant;Urbain;7.26858;20.63099
