"COD_BRANCHE";"COD_BAT_TYPE";"COD_PRODUCTION_CHAUD";"COD_ENERGIE";"ANNEE";"SURFACES";"BESOIN";"CONSOMMATION_EF"
"01";"42";"01";"01";"2015";674984.1226000001;98018096.50149998;147715326.0059
"01";"42";"01";"06";"2015";3716524.533499999;330346187.3631;488012098.7741999
"01";"42";"03";"03";"2015";3575381.411100001;405312366.44629997;735465091.6496001
"01";"42";"04";"04";"2015";12270331.081000008;1876606887.6222992;2581614699.588199
"01";"42";"05";"02";"2015";8513811.3167;1474640936.1235006;600179460.3817002
"01";"42";"06";"02";"2015";9835394.614099996;720470832.7957002;783120477.4501001
"01";"42";"21";"01";"2015";125109.3991;3838185.2226999993;5010156.6514
"01";"42";"21";"06";"2015";153470.2763;4709381.647299999;6039300.7272
"01";"42";"23";"03";"2015";37640.6372;1122189.6528999999;1558261.7256999994
"01";"42";"24";"04";"2015";1216735.3199;69423447.682;73043751.9945
"01";"42";"25";"02";"2015";1318646.8376999996;155863619.8261;49055367.2208
"01";"42";"26";"02";"2015";291108.8805;9013773.110100001;9013772.687299998
"01";"44";"01";"01";"2015";1017903.6125000003;110688824.62490003;166693719.4106
"01";"44";"01";"06";"2015";4654355.5075;306731975.4457999;453111075.9274
"01";"44";"03";"03";"2015";6343299.9215;279357120.3625001;504072734.9907001
"01";"44";"04";"04";"2015";23224963.87779999;2521119474.0936007;3446416386.7710996
"01";"44";"06";"02";"2015";16844681.0271;990870234.7674003;1077032873.0359
"01";"44";"09";"02";"2015";11419689.377700003;1090944088.4989;370452001.3368999
"01";"44";"21";"01";"2015";184212.2847;3179071.7019;4144656.8483999996
"01";"44";"21";"06";"2015";141297.1367;2432414.5367;3128944.0790999997
"01";"44";"23";"03";"2015";54791.9115;936858.5995;1295407.7522
"01";"44";"24";"04";"2015";3100631.8862999994;285986322.5744;299556216.52880013
"01";"44";"26";"02";"2015";576624.4102000003;24343887.2375;24343886.9602
"01";"44";"29";"02";"2015";2236278.6846000007;142995896.2965;42082369.327400014
"01";"45";"01";"01";"2015";293511.5871;47588455.56379999;71293566.5355
"01";"45";"01";"06";"2015";2221431.6128;375651599.8824001;553976695.6060001
"01";"45";"03";"03";"2015";1096946.8641;180279094.25269994;331517317.21400005
"01";"45";"04";"04";"2015";8247253.197200001;1390197397.3448997;1937017381.1055994
"01";"45";"06";"02";"2015";5074477.426300001;805078560.8592001;875085397.2262
"01";"45";"21";"01";"2015";100090.8189;10922519.112599999;14181405.159000004
"01";"45";"21";"06";"2015";139700.7571;15245668.757600002;19485772.243200004
"01";"45";"23";"03";"2015";41953.01;4573721.9746;6364767.619199999
"01";"45";"24";"04";"2015";1065558.5609000002;131789910.83030002;138930976.21150002
"01";"45";"26";"02";"2015";900325.5904;117009414.2292;117009413.77310002
"01";"83";"01";"01";"2015";186712.433;12449793.3955;18634625.209200002
"01";"83";"01";"06";"2015";1437439.4958000001;86528326.72419998;126818599.85889998
"01";"83";"03";"03";"2015";1329297.0019;90266772.43779999;162730803.39659998
"01";"83";"04";"04";"2015";5848205.3933999995;418546095.2651;571628143.4507
"01";"83";"06";"02";"2015";1693092.6014;91597984.25039999;99563026.48279996
"01";"83";"09";"02";"2015";3458129.3855999997;259354383.1975;88068997.2958
"01";"83";"21";"01";"2015";58179.8936;1791982.7239;2324533.2126
"01";"83";"21";"06";"2015";81737.2251;2517647.372;3197824.7141
"01";"83";"23";"03";"2015";30048.3509;925068.902;1275605.1619
"01";"83";"24";"04";"2015";1185133.9335;67200963.9527;70198434.15410003
"01";"83";"26";"02";"2015";185732.3162;6876353.2402;6876353.4923
"01";"83";"29";"02";"2015";126230.7226;5346985.6641;1573568.3832
"01";"84";"01";"01";"2015";935652.0851999999;77608605.6014;117481644.04399997
"01";"84";"01";"06";"2015";6988595.0754999975;510623769.08390003;752949040.3237997
"01";"84";"03";"03";"2015";5165955.0498;433861671.8873;782155509.5456
"01";"84";"04";"04";"2015";22582600.310200006;2141042872.5214002;2924123046.028801
"01";"84";"06";"02";"2015";6051065.606299999;388002153.95189995;421741464.753
"01";"84";"09";"02";"2015";14728002.899100004;1318099137.4715;447587067.59840006
"01";"84";"21";"01";"2015";154213.6996;6141699.9008;8058535.790099999
"01";"84";"21";"06";"2015";332458.6922000001;13346856.728699999;17049403.6105
"01";"84";"23";"03";"2015";61012.8252;2257666.4122;3113018.8030999997
"01";"84";"24";"04";"2015";3006705.8129999996;259277372.76250002;270842338.4244
"01";"84";"26";"02";"2015";425293.4910999999;17315012.7736;17315013.359900005
"01";"84";"29";"02";"2015";1263540.7275;55231737.67110001;16254190.3279
"01";"85";"01";"01";"2015";176402.6496;16402947.0649;24300662.445100002
"01";"85";"01";"06";"2015";1403649.7248000002;126142638.16540003;185913989.94639996
"01";"85";"03";"03";"2015";976866.7074000002;94302924.44989999;170007081.72000003
