ID_AGREG_PARC;ID_AGREG;ID_GESTE_BATI;BRANCHE;SS_BRANCHE;BAT_TYPE;OCCUPANT;PERIODE_DETAIL;GESTE;CINT;COUT_VARIABLE
01014203;0101420311;0101420311FENBBC;Bureaux Administration;Administration;immeuble peri urbain;Etat;PERIODE_1999_2008;FENBBC;-0.731792;9.586689
01014203;0101420317;0101420317ENSMOD;Bureaux Administration;Administration;immeuble peri urbain;Etat;PERIODE_BEFORE_1980;ENSMOD;21.88139;9.269758
01014203;0101420317;0101420317FENMOD;Bureaux Administration;Administration;immeuble peri urbain;Etat;PERIODE_BEFORE_1980;FENMOD;8.62584;19.9399
01014203;0101420317;0101420317FEN_MURMOD;Bureaux Administration;Administration;immeuble peri urbain;Etat;PERIODE_BEFORE_1980;FEN_MURMOD;7.17959;21.38615
01014203;0101420317;0101420317FEN_MURBBC;Bureaux Administration;Administration;immeuble peri urbain;Etat;PERIODE_BEFORE_1980;FEN_MURBBC;20.32325;21.21748
01014203;0101420317;0101420317GTB;Bureaux Administration;Administration;immeuble peri urbain;Etat;PERIODE_BEFORE_1980;GTB;8.57499;17.83208
01014203;0101420317;0101420317Etat initial;Bureaux Administration;Administration;immeuble peri urbain;Etat;PERIODE_BEFORE_1980;Etat initial;0;15.69358
01014203;0101420317;0101420317ENSBBC;Bureaux Administration;Administration;immeuble peri urbain;Etat;PERIODE_BEFORE_1980;ENSBBC;37.34869;7.951797
01014203;0101420317;0101420317FENBBC;Bureaux Administration;Administration;immeuble peri urbain;Etat;PERIODE_BEFORE_1980;FENBBC;21.85645;19.68428
01014204;0101420407;0101420407Etat initial;Bureaux Administration;Administration;immeuble peri urbain;Para public;PERIODE_1981_1998;Etat initial;0;5.38168
01014204;0101420407;0101420407FEN_MURBBC;Bureaux Administration;Administration;immeuble peri urbain;Para public;PERIODE_1981_1998;FEN_MURBBC;-0.10975;14.37704
01014204;0101420407;0101420407FENBBC;Bureaux Administration;Administration;immeuble peri urbain;Para public;PERIODE_1981_1998;FENBBC;2.0549;12.21239
01014204;0101420407;0101420407ENSBBC;Bureaux Administration;Administration;immeuble peri urbain;Para public;PERIODE_1981_1998;ENSBBC;6.88867;8.66992
01014204;0101420407;0101420407FENMOD;Bureaux Administration;Administration;immeuble peri urbain;Para public;PERIODE_1981_1998;FENMOD;-0.61843;10.42942
