ID_segment;ID_AGREG2;ID_AGREG;ID_AGREG_RDT_COUT;ID;ID_BRANCHE;ID_BAT_TYPE;ID_PRODUCTION_CHAUD;ID_ENERGIE;BESOIN;SURFACES 2009;SURFACES 2009 recal;BESOIN_U;RDT systeme;Système chaud
0142;01420502;01024205;0102420502;010242051102050202;01;42;05;02;12683600,1886833;231327,569005907;241971,736607923;54,8296091261;2,4570171105;DRV
0142;01420502;01024203;0102420502;010242031703050202;01;42;05;02;535852,564049757;2170,3441241484;2270,2090330771;246,897511822;2,4570171105;DRV
0142;01420404;01024205;0102420404;010242050701040204;01;42;04;04;188116036,244545;2201352,85047753;2259920,31352001;85,4547403447;0,7267969569;Chaudière gaz
0142;01420106;01024205;0102420106;010242051703010206;01;42;01;06;179690466,904082;657458,53361799;733552,590965365;273,3107226021;0,6774240351;Autre système centralisé
0142;01420101;01014203;0101420101;010142031703010201;01;42;01;01;5088702,56133217;24199,7347533402;27000,6049374694;210,2792701325;0,6604349309;Autre système centralisé
0142;01420502;01014203;0101420502;010142031703050102;01;42;05;02;24042620,2694187;107399,169038529;112340,969795248;223,8622559621;2,4570171105;DRV
0142;01420106;01024205;0102420106;010242051703010106;01;42;01;06;124626863,999584;459206,949250127;512355,426521023;271,395858018;0,6774240351;Autre système centralisé
0142;01420502;01014203;0101420502;010142030701050102;01;42;05;02;4052947,60073859;48445,9416436319;50675,1040591118;83,6591768729;2,4570171105;DRV
0142;01420404;01014201;0101420404;010142011102040104;01;42;04;04;4947331,38665376;103800,444785402;106562,077802318;47,6619478547;0,7273019441;Chaudière gaz
0142;01420303;01014201;0101420303;010142011102030103;01;42;03;03;2856751,9519223;60459,2891281314;57413,5768223526;47,2508359446;0,5515851421;Chaudière fioul
0142;01420602;01014201;0101420602;010142010701060202;01;42;06;02;24884314,1206571;330295,29969008;345493,308916423;75,3395950351;0,92;Electrique direct
0142;01420404;01024204;0102420404;010242040701040104;01;42;04;04;3405141,64457348;43941,3706979551;45110,4402561724;77,4928408124;0,7267969569;Chaudière gaz
0142;01420303;01014203;0101420303;010142030701030103;01;42;03;03;2650614,34687138;35297,2751099617;33519,1307302778;75,094021808;0,5515851421;Chaudière fioul
0142;01420404;01024204;0102420404;010242041703040104;01;42;04;04;21325108,7739819;92503,765062619;94964,8475012746;230,5323330304;0,7267969569;Chaudière gaz
0142;01420404;01014203;0101420404;010142031703040104;01;42;04;04;47661357,0556953;216423,038040246;222181,019219507;220,2231217493;0,7273019441;Chaudière gaz
0142;01420106;01014205;0101420106;010142051102010206;01;42;01;06;165424,353716079;2640,4883668375;2946,097713948;62,6491507381;0,6730903273;Autre système centralisé
0142;01420602;01014202;0101420602;010142020701060202;01;42;06;02;715391,760035633;8494,7400935437;8885,6119540825;84,2158502977;0,92;Electrique direct
0142;01420101;01014203;0101420101;010142030701010201;01;42;01;01;1562315,19650091;18693,8129033986;20857,4293116979;83,5739185245;0,6604349309;Autre système centralisé
0142;01420502;01014205;0101420502;010142051703050202;01;42;05;02;1955455,409848;7717,0524547791;8072,1402641363;253,3940803573;2,4570171105;DRV
0142;01420602;01014205;0101420602;010142051703060202;01;42;06;02;9764681,33339158;42104,4102762086;44041,7772821817;231,9158793422;0,92;Electrique direct
0142;01420602;01024201;0102420602;010242011703060202;01;42;06;02;1921036,34679342;9499,6495305425;9936,7606893985;202,2218125645;0,92;Electrique direct
0142;01420404;01014205;0101420404;010142050701040204;01;42;04;04;1738639,17677368;20104,7419856331;20639,6329427855;86,4790594187;0,7273019441;Chaudière gaz
0142;01420404;01014205;0101420404;010142051102040104;01;42;04;04;331171,333292912;7325,9905186777;7520,9000620792;45,2049907038;0,7273019441;Chaudière gaz
0142;01420602;01014205;0101420602;010142050701060202;01;42;06;02;1144290,96222016;13396,682881132;14013,109788269;85,4159923298;0,92;Electrique direct
0142;01420404;01024204;0102420404;010242041102040204;01;42;04;04;3027875,41891697;58375,5850552036;59928,6799711603;51,8688663429;0,7267969569;Chaudière gaz
0142;01420404;01024201;0102420404;010242011102040104;01;42;04;04;66165,8706190062;1480,8818964043;1520,2810757404;44,6800455726;0,7267969569;Chaudière gaz
0142;01420303;01024201;0102420303;010242011703030203;01;42;03;03;404943,657400414;1828,7784894041;1736,6514857618;221,4284888775;0,5507872177;Chaudière fioul
0142;01420303;01014205;0101420303;010142051703030103;01;42;03;03;1753443,2834325;7952,0988005112;7551,5018778091;220,5006913797;0,5515851421;Chaudière fioul
0142;01420106;01024204;0102420106;010242041703010106;01;42;01;06;2275604,6457658;8151,9735137196;9095,4805310119;279,1476986445;0,6774240351;Autre système centralisé
0142;01420404;01014202;0101420404;010142021102040104;01;42;04;04;86167,3983791092;1555,8057955954;1597,1983412816;55,3844179158;0,7273019441;Chaudière gaz
0142;01420106;01014205;0101420106;010142051703010206;01;42;01;06;2021898,07567544;7323,1110566582;8170,6857769071;276,0982402195;0,6730903273;Autre système centralisé
0142;01420303;01024203;0102420303;010242031703030203;01;42;03;03;1008359,89463505;4328,9225941357;4110,8477043073;232,9355336594;0,5507872177;Chaudière fioul
0142;01420101;01014201;0101420101;010142011102010201;01;42;01;01;924901,325742132;20043,6292871255;22363,4730467477;46,1444039147;0,6604349309;Autre système centralisé
0142;01420101;01014205;0101420101;010142051703010201;01;42;01;01;365391,287069043;1460,6012866651;1629,6508500764;250,1649768523;0,6604349309;Autre système centralisé
0142;01420602;01014206;0101420602;010142061102060202;01;42;06;02;10502,121554604;271,1565998;283,6334364653;38,7308351054;0,92;Electrique direct
0142;01420404;01014204;0101420404;010142040701040204;01;42;04;04;99103,5962731127;1233,6269690286;1266,4478781805;80,3351408174;0,7273019441;Chaudière gaz
0142;01420404;01014204;0101420404;010142041703040204;01;42;04;04;1285000,76950056;6186,7373022704;6351,3367703773;207,7024943388;0,7273019441;Chaudière gaz
0142;01420106;01014202;0101420106;010142020701010106;01;42;01;06;39239,4695954104;421,0752584219;469,8103850095;93,1887324429;0,6730903273;Autre système centralisé
0142;01420602;01014204;0101420602;010142041102060202;01;42;06;02;71293,4441462691;1828,8541848736;1913,0059811645;38,9825743003;0,92;Electrique direct
0142;01420303;01014204;0101420303;010142041102030203;01;42;03;03;22908,8389462726;441,393211026;419,1574759736;51,9012036751;0,5515851421;Chaudière fioul
0142;01420602;01014206;0101420602;010142061703060202;01;42;06;02;228044,295334034;1055,9681372831;1104,5568199201;215,9575533413;0,92;Electrique direct
0142;01420106;01014204;0101420106;010142040701010206;01;42;01;06;10123,0153441021;109,5775282859;122,2599991871;92,3822201729;0,6730903273;Autre système centralisé
0142;01420502;01024204;0102420502;010242041703050202;01;42;05;02;7601496,28828485;31344,6383296973;32786,9116620097;242,5134470632;2,4570171105;DRV
0142;01420502;01014203;0101420502;010142030701050202;01;42;05;02;2856387,93792359;32512,9694955046;34009,001715255;87,8538005678;2,4570171105;DRV
0142;01420106;01024205;0102420106;010242050701010206;01;42;01;06;33717375,7299734;352224,455525564;392990,810432265;95,7269581968;0,6774240351;Autre système centralisé
0142;01420101;01024201;0102420101;010242011703010201;01;42;01;01;138914,65047213;545,368366268;608,4891406078;254,7171032723;0,665399002;Autre système centralisé
0142;01420303;01014201;0101420303;010142011102030203;01;42;03;03;6534538,75648263;131317,163936985;124701,897566333;49,7614977401;0,5515851421;Chaudière fioul
0142;01420303;01014201;0101420303;010142010701030203;01;42;03;03;13947433,3037306;171250,675420389;162623,708464237;81,444544785;0,5515851421;Chaudière fioul
0142;01420602;01014201;0101420602;010142011102060202;01;42;06;02;13261269,5969648;301675,833253502;315556,963567659;43,9586739645;0,92;Electrique direct
0142;01420106;01014203;0101420106;010142030701010206;01;42;01;06;1690686,93451787;17789,2318083963;19848,152266763;95,0399068789;0,6730903273;Autre système centralisé
0142;01420404;01024204;0102420404;010242041703040204;01;42;04;04;45564899,6931114;185951,253996929;190898,526849532;245,0367970837;0,7267969569;Chaudière gaz
0142;01420502;01024201;0102420502;010242010701050102;01;42;05;02;45726,4377658845;655,2914036498;685,4435880979;69,7803107308;2,4570171105;DRV
0142;01420602;01014203;0101420602;010142031703060202;01;42;06;02;76660929,8854237;360014,722411312;376580,22327663;212,938319222;0,92;Electrique direct
0142;01420502;01024204;0102420502;010242041102050202;01;42;05;02;716933,697005666;13355,9059858112;13970,4566094168;53,6791512135;2,4570171105;DRV
0142;01420602;01024203;0102420602;010242031703060202;01;42;06;02;2434539,58530505;10609,3873996614;11097,5613692492;229,4703260042;0,92;Electrique direct
0142;01420502;01014205;0101420502;010142050701050102;01;42;05;02;447982,526321747;5004,3238654124;5234,5898133369;89,5190915636;2,4570171105;DRV
0142;01420502;01014205;0101420502;010142051703050102;01;42;05;02;2972796,74192135;12272,0769668314;12836,7569339496;242,2407184991;2,4570171105;DRV
0142;01420602;01014203;0101420602;010142030701060202;01;42;06;02;12366273,4865013;156775,571948234;163989,348805398;78,8788287156;0,92;Electrique direct
0142;01420602;01024202;0102420602;010242020701060202;01;42;06;02;10444,8583961735;160,0985085055;167,4651849665;65,240198011;0,92;Electrique direct
0142;01420101;01024201;0102420101;010242011703010101;01;42;01;01;59526,6493223731;267,4809853186;298,4391559034;222,5453493506;0,665399002;Autre système centralisé
0142;01420101;01014203;0101420101;010142030701010101;01;42;01;01;608583,818364754;7277,9534718373;8120,3016664982;83,6201853611;0,6604349309;Autre système centralisé
0142;01420303;01024201;0102420303;010242011703030103;01;42;03;03;232066,778621716;1132,5982469026;1075,5421936833;204,8977024787;0,5507872177;Chaudière fioul
0142;01420106;01014204;0101420106;010142041703010106;01;42;01;06;136081,801610451;470,1874417571;524,6067980018;289,4203237371;0,6730903273;Autre système centralisé
0142;01420106;01024204;0102420106;010242041102010206;01;42;01;06;374818,49928399;6135,0834951042;6845,1562547327;61,094278437;0,6774240351;Autre système centralisé
0142;01420303;01014204;0101420303;010142041703030203;01;42;03;03;167561,385992317;808,4541483954;767,7272595428;207,261458581;0,5515851421;Chaudière fioul
0142;01420404;01024202;0102420404;010242021102040104;01;42;04;04;3444,7386602641;107,7401362896;110,6065856409;31,9726592048;0,7267969569;Chaudière gaz
0142;01420106;01024203;0102420106;010242031102010106;01;42;01;06;25014,8634325849;466,2839876237;520,2515592348;53,6472709691;0,6774240351;Autre système centralisé
0142;01420502;01024202;0102420502;010242021703050102;01;42;05;02;105825,06690285;700,9787271353;733,2331406025;150,9675868986;2,4570171105;DRV
0142;01420101;01024204;0102420101;010242041102010101;01;42;01;01;71679,6144777689;1279,1934962461;1427,2469753395;56,0350054062;0,665399002;Autre système centralisé
0142;01420106;01014202;0101420106;010142021703010206;01;42;01;06;412715,961354344;1467,1395632745;1636,9458648979;281,3065448479;0,6730903273;Autre système centralisé
0142;01420101;01014205;0101420101;010142051102010201;01;42;01;01;139185,908271814;2624,6368745656;2928,4115746218;53,0305390512;0,6604349309;Autre système centralisé
0142;01420101;01024201;0102420101;010242010701010101;01;42;01;01;13542,8539802811;286,340469309;319,481431025;47,2963322752;0,665399002;Autre système centralisé
0142;01420303;01014204;0101420303;010142040701030203;01;42;03;03;45770,2716699241;517,8016429366;491,7167375633;88,3934462053;0,5515851421;Chaudière fioul
0142;01420502;01024205;0102420502;010242050701050202;01;42;05;02;25681648,6340446;283724,830797217;296779,974483018;90,5160417644;2,4570171105;DRV
0142;01420502;01014201;0101420502;010142011703050102;01;42;05;02;102083372,861711;463115,948146142;484425,486790488;220,4272456398;2,4570171105;DRV
