"scenario";"BRANCHE";"usage";"2015";"2020";"2025";"2030";"2050"
"S2";"Bureaux Administration";"Autre";24.5738968731609;24.4729564344563;24.3849326155095;24.3001499314448;24.0722561990471
"S2";"Bureaux Administration";"Auxiliaires";4.51997154173361;3.7976004634426;2.96250768740346;2.11704266225859;1.12336660547668
"S2";"Bureaux Administration";"Bureautique";38.8485917321544;40.6974908069794;42.567316735584;44.5071354587475;43.5849813661083
"S2";"Bureaux Administration";"Chauffage";109.914992850543;94.4269783605936;78.988959935317;64.0001862417329;42.0995968608981
"S2";"Bureaux Administration";"Climatisation";36.4143048681808;38.3795703773626;40.0337265560815;41.6819882064554;46.4165636913716
"S2";"Bureaux Administration";"Cuisson";3.97989730510873;3.88959674488162;3.81085007639213;3.73500268174838;3.53112281433659
"S2";"Bureaux Administration";"ECS";5.5177192257283;5.52169896796321;5.53552039681239;5.56235575635079;5.59321016788393
"S2";"Bureaux Administration";"Eclairage";19.5869203535664;18.3392316376412;16.4962509096355;14.5232270310902;9.95322527585756
"S2";"Bureaux Administration";"Froid_alimentaire";0.611386018611255;0.580073182258748;0.552068654963408;0.525730361986377;0.505723938370752
"S2";"Bureaux Administration";"Process";0.520433383992024;0.518295748934789;0.516431586871035;0.5146360528681;0.509809613576181
"S2";"Bureaux Administration";"Ventilation";4.00263800935366;4.03170988845887;4.074628454757;4.14670406840967;4.23625932918322
"S2";"Café Hôtel Restaurant";"Autre";5.39942485456321;5.36770026673059;5.34996118497005;5.33260760741586;5.27085667285528
"S2";"Café Hôtel Restaurant";"Auxiliaires";12.1330912256396;14.2224465292499;16.161589703901;17.6019799280499;15.503754479776
"S2";"Café Hôtel Restaurant";"Bureautique";3.17143826546695;3.31962699766143;3.47618382337253;3.63900993978041;3.56281681316808
"S2";"Café Hôtel Restaurant";"Chauffage";109.711275241325;100.959236619363;96.1244949689157;91.6786146197885;75.6839255205198
"S2";"Café Hôtel Restaurant";"Climatisation";29.7153186188552;32.234303215345;33.6929874201699;35.0932979570535;39.4482464350415
"S2";"Café Hôtel Restaurant";"Cuisson";98.4156363912714;95.7596208120178;94.2740334527584;92.8207293383278;87.6523421839303
"S2";"Café Hôtel Restaurant";"ECS";32.6131951456375;32.9358419243603;33.2712933401759;33.5915678520862;34.4246234383106
"S2";"Café Hôtel Restaurant";"Eclairage";23.4998711964054;22.3912491375921;20.9360081122838;19.5205523862415;13.9234820047374
"S2";"Café Hôtel Restaurant";"Froid_alimentaire";14.1418016244143;13.370592387234;12.7739194499078;12.2075514003027;11.7333204488691
"S2";"Café Hôtel Restaurant";"Process";1.98333123231965;1.97300342707882;1.96722693083437;1.96157623744893;1.94145897481688
"S2";"Café Hôtel Restaurant";"Ventilation";10.3853309635415;10.3928021228805;10.3967021028196;10.40049409064;10.4173117519453
"S2";"Commerce";"Autre";15.5594194127356;15.4653432406722;15.3885205137166;15.3131077607759;15.0661788432229
"S2";"Commerce";"Auxiliaires";7.96061696401738;8.73288373054823;9.57249977574267;9.98422836862676;6.60710531320682
"S2";"Commerce";"Bureautique";3.18799188883949;3.33914314109818;3.49398518702952;3.65467115944094;3.56723412075736
"S2";"Commerce";"Chauffage";91.412246901133;85.249825251936;80.8989710024346;76.8375034821377;62.7175738826191
"S2";"Commerce";"Climatisation";15.8041416392611;17.6776016147161;18.7932871144215;19.9434232977868;22.8805558343149
"S2";"Commerce";"Cuisson";5.44184737536235;5.32153984477247;5.22335744357656;5.1270840759631;4.80137824174281
"S2";"Commerce";"ECS";12.4342838244157;12.6734488212534;12.9039626817932;13.1167143156595;13.4323880159124
"S2";"Commerce";"Eclairage";47.7328285571404;45.7685167665267;42.6642922809105;39.6797413091179;28.0817838507594
"S2";"Commerce";"Froid_alimentaire";22.7418008378174;21.1839883490697;19.4339841883564;17.8463260060439;14.9070968560397
"S2";"Commerce";"Process";7.97751933595489;7.9418119054603;7.91267580319797;7.88410943461584;7.78678816922923
"S2";"Commerce";"Ventilation";3.11922674366697;3.11621720922596;3.1137640709204;3.11124771039308;3.11250599501734
"S2";"Enseignement Recherche";"Autre";4.71335942641149;4.68850366094568;4.67532747571922;4.66241999452244;4.61719543258861
"S2";"Enseignement Recherche";"Auxiliaires";4.30417229802382;3.65404194474651;3.02553496219018;2.33809354312677;1.20066805323169
"S2";"Enseignement Recherche";"Bureautique";2.74225767702798;2.86985029187062;3.00576849281241;3.14729815516244;3.08783258783061
"S2";"Enseignement Recherche";"Chauffage";79.7843093948492;70.7860256673352;64.1698264240834;57.6137146411301;42.3818647062884
"S2";"Enseignement Recherche";"Climatisation";1.33202032897135;1.44166705828313;1.54244629529093;1.64375084525692;2.01044764957473
"S2";"Enseignement Recherche";"Cuisson";12.5711998056882;15.1994289948744;16.5917857869399;17.9546056052727;22.7495395195472
"S2";"Enseignement Recherche";"ECS";9.96197532927446;9.94224076952336;9.95492806317757;9.97168237242206;9.82591725258605
"S2";"Enseignement Recherche";"Eclairage";11.3706172613708;10.7519617211055;9.972433751385;9.19866562294906;6.42497179369352
"S2";"Enseignement Recherche";"Froid_alimentaire";1.31000407920071;1.24036924781248;1.18665902180876;1.13557638834399;1.09673084743376
"S2";"Enseignement Recherche";"Process";1.09792112343761;1.09213203847149;1.08906321405854;1.08605687059049;1.0755236955117
"S2";"Enseignement Recherche";"Ventilation";1.21995256798753;1.22171712898553;1.22916195288247;1.24298894826209;1.27044434454707
"S2";"Habitat Communautaire";"Autre";4.7752527061275;4.7387478315928;4.718377752523;4.69844793469341;4.62788392097159
