"scenario";"annee";"surface";"surface_lag";"raccordement"
"Réf";"2009";56476789.6076;0;56476789.6076
"Réf";"2010";54501911.4817;56476789.6076;-1974878.12590001
"Réf";"2011";52472724.1478;54501911.4817;-2029187.3339
"Réf";"2012";50498054.3238;52472724.1478;-1974669.824
"Réf";"2013";48702004.1649;50498054.3238;-1796050.15889999
"Réf";"2014";46756170.3889;48702004.1649;-1945833.77600001
"Réf";"2015";44817783.3616;46756170.3889;-1938387.02729999
"Réf";"2016";42980220.9634;44817783.3616;-1837562.39820001
"Réf";"2017";41267079.417;42980220.9634;-1713141.5464
"Réf";"2018";39700446.3016;41267079.417;-1566633.1154
"Réf";"2019";38242685.7235;39700446.3016;-1457760.5781
"Réf";"2020";36837704.0693;38242685.7235;-1404981.6542
"Réf";"2021";34958024.4446;36837704.0693;-1879679.6247
"Réf";"2022";33116209.5399;34958024.4446;-1841814.9047
"Réf";"2023";31373824.7977;33116209.5399;-1742384.7422
"Réf";"2024";29737007.0128;31373824.7977;-1636817.7849
"Réf";"2025";28172820.6779;29737007.0128;-1564186.3349
"Réf";"2026";26667755.7571;28172820.6779;-1505064.9208
"Réf";"2027";25255222.5343;26667755.7571;-1412533.2228
"Réf";"2028";23966657.1172;25255222.5343;-1288565.4171
"Réf";"2029";22792115.9574;23966657.1172;-1174541.1598
"Réf";"2030";21658996.0643;22792115.9574;-1133119.8931
"Réf";"2031";20531341.5098;21658996.0643;-1127654.5545
"Réf";"2032";19465245.2022;20531341.5098;-1066096.3076
"Réf";"2033";18443861.8033;19465245.2022;-1021383.3989
"Réf";"2034";17485072.4736;18443861.8033;-958789.329700004
"Réf";"2035";18019620.4374;17485072.4736;534547.963800006
"Réf";"2036";18529421.5453;18019620.4374;509801.107899997
"Réf";"2037";18930387.8151;18529421.5453;400966.2698
"Réf";"2038";19184937.5798;18930387.8151;254549.764700003
"Réf";"2039";19698344.2479;19184937.5798;513406.668099996
"Réf";"2040";20274057.9745;19698344.2479;575713.726600002
"Réf";"2041";20649136.8392;20274057.9745;375078.864700001
"Réf";"2042";20955943.4072;20649136.8392;306806.568
"Réf";"2043";21113197.5209;20955943.4072;157254.113699999
"Réf";"2044";21186017.7521;21113197.5209;72820.2311999984
"Réf";"2045";21266947.024;21186017.7521;80929.2719000019
"Réf";"2046";21813941.8585;21266947.024;546994.8345
"Réf";"2047";22405486.9169;21813941.8585;591545.058400001
"Réf";"2048";22934175.3813;22405486.9169;528688.464399997
"Réf";"2049";23420086.4523;22934175.3813;485911.071000002
"Réf";"2050";23881186.6884;23420086.4523;461100.236099999
