annee;branche;periodeSimple;energieChauffage;systeme_chauff;surface
2010;05;04;02;29;4416.174599999999
2010;05;04;04;04;161951.94939999998
2010;05;04;04;24;34260.978
2010;05;04;06;01;148730.73859999995
2010;05;04;06;21;21406.472499999996
2010;06;01;01;01;740483.4281
2010;06;01;02;06;2663696.9354000003
2010;06;01;02;09;1719828.2229
2010;06;01;03;03;5764699.9021000005
2010;06;01;04;04;1.57531850891E7
2010;06;01;04;24;3258.6071
2010;06;01;06;01;2414484.7156
2010;06;02;01;01;292150.6389
2010;06;02;02;06;1862565.9556999998
2010;06;02;02;09;1267015.9405
2010;06;02;03;03;3070703.4072
2010;06;02;04;04;9420763.9339
2010;06;02;04;24;3363.5933999999997
2010;06;02;06;01;1160978.7963
2010;06;03;01;01;1319898.1947
2010;06;03;02;06;4504110.903500001
2010;06;03;02;09;3941516.2148000007
2010;06;03;03;03;1.1612312815999998E7
2010;06;03;04;04;3.20922449118E7
2010;06;03;04;24;408827.49750000006
2010;06;03;06;01;5308833.6181
2010;06;04;01;01;16643.3498
2010;06;04;02;06;58082.913400000005
2010;06;04;02;09;197468.74279999998
2010;06;04;02;26;19168.194899999995
2010;06;04;02;29;9756.142200000002
2010;06;04;04;04;954520.7815000002
2010;06;04;04;24;298908.3019999999
2010;06;04;06;01;8157.798299999999
2010;07;01;01;01;1809938.5885000003
2010;07;01;01;21;50536.6435
2010;07;01;02;02;1620626.7982000008
2010;07;01;02;05;253462.19459999996
2010;07;01;02;06;2292860.2436
2010;07;01;02;09;1332326.2604
2010;07;01;02;10;425925.8869
2010;07;01;02;29;1646.6311
2010;07;01;02;30;109227.67490000001
2010;07;01;03;03;2574673.0646999995
2010;07;01;04;04;6917788.466500001
2010;07;01;04;11;2985606.8021000004
2010;07;01;04;31;145923.0033
2010;07;01;06;01;1033010.5451999998
2010;07;02;01;01;1242449.7297999996
2010;07;02;01;21;40603.9007
2010;07;02;02;02;903388.4918000001
2010;07;02;02;05;359472.11040000006
2010;07;02;02;06;1492072.1032999998
2010;07;02;02;09;666210.1968999997
2010;07;02;02;10;289579.00479999994
2010;07;02;02;29;1761.8608
2010;07;02;02;30;43120.9166
2010;07;02;03;03;1955708.3046999997
2010;07;02;04;04;4930545.847700001
2010;07;02;04;11;1896128.3264999997
2010;07;02;04;31;78829.5597
